"","Colony","Fragment","BTag","Phenotype","Treatment","Temperature","Tank","Tile","DaysAlive","Censored","MassG.day0","MassG.day8","MassG.day15","MassG.day22","FvFm.day1","FvFm.day8","FvFm.day15","FvFm.day22","CoralR.day0","CoralR.day1","CoralR.day22","Bacteria","MR.day8","MR.day15","MR.day22"
"1","S22",2,"B1","Sym","PDF","Elevated (30C)","E1",5,22,"N",0.242,0.248,0.252,0.241,0.134,0.296,0.066,0.052,0.32361,0.44335,0.47564,"SW",-0.0123,-0.00151,-0.00344
"2","A2",10,"B10","Apo","NDF","Elevated (30C)","G1",15,1,"N",0.177,0.149,NA,NA,0.167,0.517,NA,NA,0.255,0.3677,NA,"SW",-0.00483,NA,NA
"3","A3",4,"B11","Apo","NDF","Elevated (30C)","G1",15,19,"N",0.299,0.277,0.281,NA,0.236,0.265,0.072,NA,0.44351,0.58294,NA,"EC",NA,-0.00567,NA
"4","A3",12,"B12","Apo","NDF","Elevated (30C)","G1",15,21,"N",0.196,0.217,0.173,NA,0.081,0.2,0.051,NA,0.39961,0.55034,NA,"SW",-0.00631,-0.00436,NA
"5","S4",1,"B13","Sym","PDS","Elevated (30C)","A2",17,22,"N",0.051,0.041,0.035,0.033,0.259,0.089,0.158,0.076,0.39911,0.35877,0.61264,"EC",-0.01163,-0.00761,-0.01142
"6","S20",3,"B1315","Sym","Control","Ambient (19C)","Tray",87,22,"N",0.33,NA,NA,0.309,NA,NA,NA,0.275,0.33302,NA,0.32507,NA,NA,NA,NA
"7","S4",8,"B14","Sym","PDS","Elevated (30C)","A2",17,22,"N",0.119,0.093,0.091,0.089,0.219,0.11,0.201,0.045,0.45726,0.44589,0.63215,"SW",-0.00555,-0.00354,-0.00316
"8","S4",17,"B15","Sym","PDS","Elevated (30C)","A2",17,22,"N",0.261,0.243,0.24,0.236,0.322,0.129,0.172,0.093,0.34244,0.40593,0.48784,"EC",-0.02377,-0.00559,-0.0094
"9","S18",3,"B189","Sym","Control","Ambient (19C)","Tray",86,22,"N",0.291,NA,NA,0.282,NA,NA,NA,0.341,0.39524,NA,0.40509,NA,NA,NA,NA
"10","S19",1,"B1938","Sym","Control","Ambient (19C)","Tray",86,22,"N",0.252,NA,NA,0.252,NA,NA,NA,0.425,0.27166,NA,0.42406,"EC",NA,NA,-0.04253
"11","S25",1,"B2","Sym","PDF","Elevated (30C)","E1",5,22,"N",0.286,0.279,0.27,0.261,0.243,0.179,0.148,0.312,0.2748,0.4353,0.57612,"EC",-0.0457,-0.01148,-0.0545
"12","S5",2,"B20","Sym","PDS","Elevated (30C)","A2",17,22,"N",0.116,0.097,0.098,0.101,0.298,0.059,0.188,0.115,0.40641,0.44555,0.60432,"SW",-0.00443,-0.00294,-0.00094
"13","S6",3,"B21","Sym","PDS","Elevated (30C)","A2",17,13,"N",0.041,0.038,NA,NA,0.096,0.504,NA,NA,0.41699,0.41285,NA,"EC",-0.01354,NA,NA
"14","A1",7,"B22","Apo","NLF","Elevated (30C)","H1",16,22,"N",0.114,0.137,0.161,0.141,0.131,0.176,0.31,0.397,0.59692,0.49901,0.39409,"SW",-0.00562,-0.00601,-0.00608
"15","A2",3,"B23","Apo","NLF","Elevated (30C)","H1",16,18,"N",0.162,0.096,0.098,NA,0.176,0.176,0.067,NA,0.51963,0.52828,NA,"EC",-0.09761,-0.00976,NA
"16","S18",4,"B233","Sym","Control","Ambient (19C)","Tray",87,22,"N",0.387,NA,NA,0.35,NA,NA,NA,0.39,0.20135,NA,0.37731,"EC",NA,NA,-0.07215
"17","A2",11,"B24","Apo","NLF","Elevated (30C)","H1",16,22,"N",0.239,0.213,0.214,0.198,0.17,0.129,0.11,0.324,0.56253,0.52877,0.29233,"SW",-0.00628,-0.00487,-0.00534
"18","A3",5,"B25","Apo","NLF","Elevated (30C)","H1",16,22,"N",0.083,0.074,0.079,0.073,0.138,0.213,0.054,0.223,0.46201,0.50723,0.53875,"EC",-0.01141,-0.01007,-0.00857
"19","A3",13,"B26","Apo","NLF","Elevated (30C)","H1",16,22,"N",0.298,0.291,0.303,0.299,0.161,0.163,0.06,0.446,0.38638,0.37194,0.37554,"SW",-0.00903,-0.00628,-0.00856
"20","S17",7,"B266","Sym","Control","Ambient (19C)","Tray",87,22,"N",0.35,NA,NA,0.343,NA,NA,NA,0.363,0.16748,NA,0.34903,"SW",NA,NA,-0.00548
"21","S4",18,"B27","Sym","PLS","Elevated (30C)","B2",18,22,"N",0.177,0.182,0.167,0.169,0.335,0.046,0.099,0.072,0.26098,0.29448,0.49559,"EC",-0.00885,-0.03204,-0.00845
"22","S18",5,"B2759","Sym","Control","Ambient (19C)","Tray",88,22,"N",0.391,NA,NA,0.376,NA,NA,NA,0.377,0.30902,NA,0.4055,NA,NA,NA,NA
"23","S4",2,"B28","Sym","PLS","Elevated (30C)","B2",18,22,"N",0.169,0.161,0.152,0.147,0.304,0.039,0.157,0.051,0.27661,0.42035,0.48282,"SW",-0.01327,-0.00455,-0.00395
"24","S4",9,"B29","Sym","PLS","Elevated (30C)","B2",18,8,"N",0.175,NA,NA,NA,0.17,NA,NA,NA,0.34096,0.3782,NA,NA,NA,NA,NA
"25","S27",2,"B3","Sym","PDF","Elevated (30C)","E1",5,22,"N",0.071,0.069,0.063,0.049,0.324,0.223,0.081,0.413,0.39183,0.45901,0.56202,"SW",-0.00951,-0.00736,-0.00562
"26","S5",3,"B30","Sym","PLS","Elevated (30C)","B2",18,22,"N",0.173,0.165,0.107,0.098,0.157,0.094,0.353,0.211,0.18461,0.31117,0.44903,"EC",-0.02239,-0.00908,-0.0578
"27","S6",4,"B31","Sym","PLS","Elevated (30C)","B2",18,22,"N",0.116,0.107,0.106,0.107,0.167,0.14,0.211,0.036,0.48042,0.40576,0.46414,"SW",-0.01669,-0.00848,-0.0083
"28","S4",3,"B32","Sym","NDS","Elevated (30C)","C2",19,8,"Y",0.094,NA,NA,NA,0.12,0.069,NA,NA,0.41711,0.36393,NA,NA,NA,NA,NA
"29","S4",10,"B33","Sym","NDS","Elevated (30C)","C2",19,22,"N",0.197,0.191,0.187,0.183,0.255,0.078,0.199,0.334,0.29403,0.40305,0.3299,"SW",-0.01097,-0.00102,-0.0018
"30","A22",3,"B3366","Apo","Control","Ambient (19C)","Tray",89,22,"N",0.266,NA,NA,0.225,NA,NA,NA,0.074,0.50229,NA,0.55855,NA,NA,NA,NA
"31","S30",2,"B34","Sym","NDS","Elevated (30C)","C2",19,22,"N",0.093,0.077,0.068,0.056,0.159,0.128,0.125,0.12,0.52774,0.44739,0.54259,"EC",-0.00744,-0.00565,-0.00725
"32","S5",4,"B35","Sym","NDS","Elevated (30C)","C2",19,22,"N",0.196,0.208,0.183,0.177,0.244,0.159,0.221,0.113,0.49093,0.38592,0.58356,"SW",-0.00376,-0.00269,-0.00214
"33","S6",5,"B36","Sym","NDS","Elevated (30C)","C2",19,22,"N",0.174,0.16,0.152,0.146,0.341,0.146,0.129,0.147,0.37253,0.3461,0.37409,"EC",-0.00975,-0.00543,-0.00492
"34","S4",4,"B37","Sym","NLS","Elevated (30C)","D2",20,22,"N",0.09,0.071,0.074,0.052,0.291,0.187,0.229,0.353,0.46342,0.42721,0.55547,"EC",-0.03155,-0.00787,-0.01163
"35","S4",11,"B38","Sym","NLS","Elevated (30C)","D2",20,22,"N",0.184,0.166,0.171,0.172,0.15,0.223,0.156,0.155,0.27912,0.28515,0.43656,"SW",-0.01458,-0.0047,-0.02017
"36","S4",20,"B39","Sym","NLS","Elevated (30C)","D2",20,22,"N",0.144,0.158,0.145,0.139,0.127,0.17,0.233,0.121,0.32051,0.36966,0.45651,"EC",-0.02443,-0.08461,-0.01323
"37","S20",2,"B3941","Sym","Control","Ambient (19C)","Tray",86,22,"N",0.167,NA,NA,0.162,NA,NA,NA,0.376,0.29977,NA,0.33745,"EC",NA,NA,-0.27439
"38","A18",1,"B3998","Apo","Control","Ambient (19C)","Tray",89,22,"N",0.315,NA,NA,0.29,NA,NA,NA,0.148,0.50181,NA,0.57338,NA,NA,NA,NA
"39","S28",3,"B4","Sym","PDF","Elevated (30C)","E1",5,22,"N",0.19,0.185,0.185,0.175,0.216,0.075,0.083,0.312,0.35252,0.46046,0.59863,"EC",-0.01713,-0.019,-0.00931
"40","S5",5,"B40","Sym","NLS","Elevated (30C)","D2",20,22,"N",0.126,0.115,0.108,0.105,0.158,0.127,0.142,0.171,0.27555,0.45221,0.45412,"SW",-0.00649,-0.00545,-0.00575
"41","S30",5,"B4037","Sym","Control","Ambient (19C)","Tray",86,22,"N",0.283,NA,NA,0.276,NA,NA,NA,0.411,0.32595,NA,0.37785,NA,NA,NA,NA
"42","S6",6,"B41","Sym","NLS","Elevated (30C)","D2",20,22,"N",0.294,0.309,0.311,0.309,0.065,0.177,0.196,0.192,0.38273,0.44933,0.41911,"EC",-0.02032,-0.00874,-0.01824
"43","S4",5,"B42","Sym","PDF","Elevated (30C)","E2",21,21,"N",0.209,0.2,0.194,NA,0.239,0.064,0.099,NA,0.3089,0.38405,NA,"EC",-0.01616,-0.03754,NA
"44","S4",12,"B43","Sym","PDF","Elevated (30C)","E2",21,22,"N",0.164,0.158,0.15,0.149,0.111,0.105,0.238,0.342,0.25303,0.34087,0.37937,"SW",-0.01113,-0.00322,-0.00337
