BTag,Day,Mass.G,mass.mg,logmass.mg,Fvfm,Rcolor,MR,logMR,Colony,Fragment,Phenotype,Treatment,Temperature,Tank,Tile,DaysAlive,Censored,Bacteria
B1,Day0,0.242,242,5.48893773,NA,0.32361,NA,NA,S22,2,Sym,PDF,Elevated (30C),E1,5,22,N,SW
B1,Day1,NA,NA,NA,0.134,0.44335,NA,NA,S22,2,Sym,PDF,Elevated (30C),E1,5,22,N,SW
B1,Day15,0.252,252,5.52942909,0.066,NA,0.00151,-6.4956456,S22,2,Sym,PDF,Elevated (30C),E1,5,22,N,SW
B1,Day22,0.241,241,5.48479693,0.052,0.47564,0.00344,-5.6722838,S22,2,Sym,PDF,Elevated (30C),E1,5,22,N,SW
B1,Day8,0.248,248,5.51342875,0.296,NA,0.0123,-4.398156,S22,2,Sym,PDF,Elevated (30C),E1,5,22,N,SW
B10,Day0,0.177,177,5.17614973,NA,0.255,NA,NA,A2,10,Apo,NDF,Elevated (30C),G1,15,11,N,SW
B10,Day1,NA,NA,NA,0.167,0.3677,NA,NA,A2,10,Apo,NDF,Elevated (30C),G1,15,11,N,SW
B10,Day15,NA,NA,NA,NA,NA,NA,NA,A2,10,Apo,NDF,Elevated (30C),G1,15,11,N,SW
B10,Day22,NA,NA,NA,NA,NA,NA,NA,A2,10,Apo,NDF,Elevated (30C),G1,15,11,N,SW
B10,Day8,0.149,149,5.00394631,0.517,NA,0.00483,-5.3329088,A2,10,Apo,NDF,Elevated (30C),G1,15,11,N,SW
B11,Day0,0.299,299,5.70044357,NA,0.44351,NA,NA,A3,4,Apo,NDF,Elevated (30C),G1,15,19,N,EC
B11,Day1,NA,NA,NA,0.236,0.58294,NA,NA,A3,4,Apo,NDF,Elevated (30C),G1,15,19,N,EC
B11,Day15,0.281,281,5.63835467,0.072,NA,0.00567,-5.1725662,A3,4,Apo,NDF,Elevated (30C),G1,15,19,N,EC
B11,Day22,NA,NA,NA,NA,NA,NA,NA,A3,4,Apo,NDF,Elevated (30C),G1,15,19,N,EC
B11,Day8,0.277,277,5.62401751,0.265,NA,NA,NA,A3,4,Apo,NDF,Elevated (30C),G1,15,19,N,EC
B12,Day0,0.196,196,5.27811466,NA,0.39961,NA,NA,A3,12,Apo,NDF,Elevated (30C),G1,15,21,N,SW
B12,Day1,NA,NA,NA,0.081,0.55034,NA,NA,A3,12,Apo,NDF,Elevated (30C),G1,15,21,N,SW
B12,Day15,0.173,173,5.15329159,0.051,NA,0.00436,-5.4352832,A3,12,Apo,NDF,Elevated (30C),G1,15,21,N,SW
B12,Day22,NA,NA,NA,NA,NA,NA,NA,A3,12,Apo,NDF,Elevated (30C),G1,15,21,N,SW
