"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria"
"1","-0.187692545351011","-0.434061047342174","-0.824715989950131","-0.00410306462661757","%","min","umol/min/g","A2","G37","22","sym","EC"
"2","-0.0924301755377052","-0.213755632781722","-0.406135702285271","-0.00725242325509413","%","min","umol/min/g","A3","B34","22","sym","EC"
"3","-0.163439009572496","-0.377971898345419","-0.718146606856295","-0.00491881237572805","%","min","umol/min/g","A4","B36","22","sym","EC"
"4","-3.8054746882472","-8.80060700186897","-16.721153303551","-0.0668846132142041","%","min","umol/min/g","A5","W29","22","sym","EC"
"5","-1.4944131130766","-3.45600577695195","-6.56641097620871","-0.0370983670972244","%","min","umol/min/g","A6","W31","22","sym","EC"
"6","-3.43074430171399","-7.93399898744114","-14.281198177394","-0.0383903176811668","%","min","umol/min/g","B2","Y25","22","sym","EC"
"7","-0.199336812712918","-0.460989782722631","-0.875880587172998","-0.00684281708728905","%","min","umol/min/g","B3","Y27","22","sym","EC"
"8","-0.0863618411273878","-0.199721896999414","-0.379471604298886","-0.00291901234076066","%","min","umol/min/g","B4","Y29","22","sym","EC"
"9","-0.569360357144796","-1.31671267217994","-2.50175407714189","-0.0124465376972233","%","min","umol/min/g","C2","G75","22","apo","EC"
"10","-0.246829410290562","-0.570821990533549","-1.08456178201374","-0.00523942889861711","%","min","umol/min/g","C3","G77","22","apo","EC"
"11","-0.214442840847902","-0.495924246322073","-0.942256068011939","-0.00392606695004975","%","min","umol/min/g","C4","B76","22","apo","EC"
"12","-0.183151842653565","-0.423560139248906","-0.804764264572921","-0.00414826940501506","%","min","umol/min/g","C5","B80","22","apo","EC"
"13","-0.103525787303198","-0.23941553768005","-0.454889521592095","-0.00352627536117903","%","min","umol/min/g","C6","W73","22","apo","EC"
"14","-0.093311527422524","-0.218944072494216","-0.41599373773901","-0.0041599373773901","%","min","umol/min/g","D2","W75","22","apo","EC"
"15","-0.251275121262145","-0.58110321910817","-1.10409611630552","-0.00721631448565701","%","min","umol/min/g","D3","Y67","22","apo","EC"
"16","-0.324662524067881","-0.750820204212759","-1.42655838800424","-0.00801437296631596","%","min","umol/min/g","D4","Y71","22","apo","EC"
"17","-0.443896137574156","-1.02656193417938","-1.95046767494082","-0.00840718825405524","%","min","umol/min/g","D5","Y73","22","apo","EC"
