"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria","Treatment"
"1","-0.50647630318387","-1.1498428027293","-2.18470132518568","-0.00866944970311778","%","min","umol/min/g","A2","G55","8","sym","EC","NLF"
"2","-0.204231085684128","-0.463661660952839","-0.880957155810395","-0.00752954834025978","%","min","umol/min/g","A3","G57","8","sym","EC","NLF"
"3","-1.58222479682559","-3.59209262801238","-6.82497599322352","-0.0355467499647058","%","min","umol/min/g","A4","B57","8","sym","EC","NLF"
"4","-0.335822864687725","-0.762411788124533","-1.44858239743661","-0.00934569288668783","%","min","umol/min/g","A5","B59","8","sym","EC","NLF"
"5","-0.161795245799381","-0.367320440717042","-0.69790883736238","-0.00956039503236136","%","min","umol/min/g","A6","B62","8","sym","EC","NLF"
"6","-2.03906380892726","-4.62924490299328","-8.79556531568723","-0.0610803146922724","%","min","umol/min/g","B2","W54","8","sym","EC","NLF"
"7","-2.17209343309127","-4.93125934065444","-9.36939274724343","-0.0337028516087893","%","min","umol/min/g","B3","W56","8","sym","EC","NLF"
"8","-1.43796257158342","-3.26457704562944","-6.20269638669594","-0.0239486346976677","%","min","umol/min/g","B4","Y50","8","sym","EC","NLF"
"9","-0.480603609427865","-1.09110455472926","-2.07309865398559","-0.0124885461083469","%","min","umol/min/g","B5","Y52","8","sym","EC","NLF"
"10","-0.881411421163098","-2.00105034035494","-3.80199564667439","-0.016973194851225","%","min","umol/min/g","B6","Y54","8","sym","EC","NLF"
"11","-2.17229186319089","-4.93170983245524","-9.37024868166496","-0.0976067571006766","%","min","umol/min/g","C2","B23","8","apo","EC","NLF"
"12","-0.195705715756331","-0.444306687797218","-0.844182706814714","-0.011407874416415","%","min","umol/min/g","C3","B25","8","apo","EC","NLF"
"13","-0.278998792922779","-0.633405259033327","-1.20346999216332","-0.0122803060424829","%","min","umol/min/g","C4","W10","8","apo","EC","NLF"
"14","-0.253038278083577","-0.574467632622469","-1.09148850198269","-0.00887389026002188","%","min","umol/min/g","C5","W13","8","apo","EC","NLF"
"15","-0.199756317689862","-0.453502686604493","-0.861655104548537","-0.0066281161888349","%","min","umol/min/g","C6","Y8","8","apo","EC","NLF"
"16","-0.62983049831148","-1.42989131153872","-2.71679349192357","-0.0148458660760851","%","min","umol/min/g","D2","Y11","8","apo","EC","NLF"
"17","-0.62983049831148","-1.42989131153872","-2.71679349192357","-0.0167703301970591","%","min","umol/min/g","D3","O29","8","apo","EC","NLF"
"18","-1.43586187851225","-3.25980788507158","-6.19363498163601","-0.0220414056285979","%","min","umol/min/g","D4","O31","8","apo","EC","NLF"
