"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria","Treatment"
"1","-0.333179589423719","-0.756410814300402","-1.43718054717076","-0.00579508285149501","%","min","umol/min/g","A2","G54","8","sym","SW","NLF"
"2","-0.0951240931974605","-0.215958285198475","-0.410320741877103","-0.00191738664428553","%","min","umol/min/g","A3","G56","8","sym","SW","NLF"
"3","-0.194546396637184","-0.441674709288374","-0.839181947647911","-0.00413390121994045","%","min","umol/min/g","A4","G58","8","sym","SW","NLF"
"4","-0.12482376760331","-0.283384849174504","-0.538431213431558","-0.00640989539799473","%","min","umol/min/g","A5","B58","8","sym","SW","NLF"
"5","-0.226004099787647","-0.51309249000303","-0.974875731005757","-0.00738542220458907","%","min","umol/min/g","A6","B60","8","sym","SW","NLF"
"6","-0.209791135117825","-0.476284527578515","-0.904940602399178","-0.00459360711877755","%","min","umol/min/g","B2","W53","8","sym","SW","NLF"
"7","-0.378769134878786","-0.859911827855577","-1.6338324729256","-0.00600673703281469","%","min","umol/min/g","B3","W55","8","sym","SW","NLF"
"8","-1.83724756457947","-4.17106560698599","-7.92502465327337","-0.0320851200537383","%","min","umol/min/g","B4","W57","8","sym","SW","NLF"
"9","-0.166256256977353","-0.377448183246437","-0.717151548168231","-0.00731787294049215","%","min","umol/min/g","B5","Y51","8","sym","SW","NLF"
"10","-0.443872141380683","-1.00771385332382","-1.91465632131526","-0.00775164502556787","%","min","umol/min/g","B6","Y53","8","sym","SW","NLF"
"11","-0.178523642812138","-0.405298578658343","-0.770067299450851","-0.00562092919307191","%","min","umol/min/g","C2","B22","8","apo","SW","NLF"
"12","-0.310314350341818","-0.70450032919827","-1.33855062547671","-0.00628427523697987","%","min","umol/min/g","C3","B24","8","apo","SW","NLF"
"13","-0.608879769503247","-1.38232729999338","-2.62642186998742","-0.00902550470786054","%","min","umol/min/g","C4","B26","8","apo","SW","NLF"
"14","-0.117233682768736","-0.266153234656161","-0.505691145846705","-0.00712241050488318","%","min","umol/min/g","C5","W11","8","apo","SW","NLF"
"15","-0.207154046702499","-0.47029759963053","-0.893565439298006","-0.00449027858943722","%","min","umol/min/g","C6","W14","8","apo","SW","NLF"
"16","-3.033822849139","-6.88762602694121","-13.0864894511883","-0.0431897341623376","%","min","umol/min/g","D2","Y5","8","apo","SW","NLF"
"17","-3.033822849139","-6.88762602694121","-13.0864894511883","-0.145405438346537","%","min","umol/min/g","D3","Y10","8","apo","SW","NLF"
"18","-0.217261367405069","-0.493244043307497","-0.887839277953494","-0.00223637097721283","%","min","umol/min/g","D4","O27","8","apo","SW","NLF"
"19","-0.231194991300203","-0.524877264943023","-0.997266803391744","-0.00643397937672093","%","min","umol/min/g","D5","O30","8","apo","SW","NLF"
