"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria","Treatment"
"1","-1.26054599294428","-2.80463796477793","-5.32881213307806","-0.0566894907774262","%","min","umol/min/g","A2","G39","8","sym","SW","NLS"
"2","-0.203832302515734","-0.453514443172717","-0.861677442028162","-0.0101373816709196","%","min","umol/min/g","A3","G41","8","sym","SW","NLS"
"3","-1.21930582102606","-2.7128810971323","-5.15447408455136","-0.0264332004335967","%","min","umol/min/g","A4","G43","8","sym","SW","NLS"
"4","-0.572529445998158","-1.27384310385149","-2.42030189731783","-0.0145801319115532","%","min","umol/min/g","A5","B38","8","sym","SW","NLS"
"5","-0.176630482384842","-0.3929920521793","-0.74668489914067","-0.00649291216644061","%","min","umol/min/g","A6","B40","8","sym","SW","NLS"
"6","-0.291448092514779","-0.648454233010432","-1.23206304271982","-0.00892799306318711","%","min","umol/min/g","B2","W33","8","sym","SW","NLS"
"7","-0.366714570840583","-0.815917557450206","-1.55024335915539","-0.0123035187234555","%","min","umol/min/g","B3","W35","8","sym","SW","NLS"
"8","-0.955080517499104","-2.12499590954325","-4.03749222813217","-0.0143173483267098","%","min","umol/min/g","B4","W37","8","sym","SW","NLS"
"9","-1.9852661053695","-4.41709602067033","-8.39248243927362","-0.0346796795011307","%","min","umol/min/g","B5","Y31","8","sym","SW","NLS"
"10","-0.551213267846985","-1.22641590734983","-2.33019022396468","-0.0113116030289548","%","min","umol/min/g","B6","Y33","8","sym","SW","NLS"
"11","-1.01162502943232","-2.25080400044624","-4.27652760084786","-0.024577744832459","%","min","umol/min/g","C2","G79","8","apo","SW","NLS"
"12","-0.491841593333583","-1.0943175521095","-2.07920334900806","-0.00700068467679481","%","min","umol/min/g","C4","G84","8","apo","SW","NLS"
"13","-1.52079572779697","-3.38367775450142","-6.4289877335527","-0.0420195276702791","%","min","umol/min/g","C5","B83","8","apo","SW","NLS"
"14","-2.07843868016325","-4.62439931781722","-8.78635870385272","-0.0618757655200896","%","min","umol/min/g","C6","B85","8","apo","SW","NLS"
"15","-0.728652637910108","-1.62120768528642","-3.0802946020442","-0.0358173790935372","%","min","umol/min/g","D2","W77","8","apo","SW","NLS"
"16","-0.261274245124278","-0.581319262601975","-1.10450659894375","-0.00920422165786461","%","min","umol/min/g","D4","W82","8","apo","SW","NLS"
"17","-0.494524762971183","-1.10028744093044","-2.09054613776784","-0.0135749749205704","%","min","umol/min/g","D5","Y75","8","apo","SW","NLS"
"18","-0.341507646310049","-0.75983368751659","-1.2917172687782","-0.0125409443570699","%","min","umol/min/g","D6","Y77","8","apo","SW","NLS"
