"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria","Treatment"
"1","-0.0885963694568255","-0.200014628133972","-0.380027793454547","-0.00150804679942281","%","min","umol/min/g","A2","B1","15","sym","SW","PDF"
"2","-0.108150795582991","-0.244160582352832","-0.463905106470381","-0.00736357311857748","%","min","umol/min/g","A3","B3","15","sym","SW","PDF"
"3","-0.160502844621836","-0.362350251802649","-0.688465478425033","-0.00478101026684051","%","min","umol/min/g","A4","B5","15","sym","SW","PDF"
"4","-0.112699799222986","-0.25443038547244","-0.483417732397636","-0.0032227848826509","%","min","umol/min/g","A5","B43","15","sym","SW","PDF"
"5","-0.260123772473303","-0.587253856326564","-1.11578232702047","-0.00572196065138704","%","min","umol/min/g","A6","W38","15","sym","SW","PDF"
"6","-0.12191034908859","-0.275224067172636","-0.522925727628009","-0.00231383065322128","%","min","umol/min/g","B2","W40","15","sym","SW","PDF"
"7","-0.215361566553608","-0.486198970823078","-0.923778044563848","-0.00324132647215385","%","min","umol/min/g","B3","W42","15","sym","SW","PDF"
"8","-0.13521960778205","-0.305270969146521","-0.58001484137839","-0.00405604784180692","%","min","umol/min/g","B4","Y36","15","sym","SW","PDF"
"9","-0.125105698115708","-0.282437867820854","-0.536631948859622","-0.0041924371004658","%","min","umol/min/g","B5","Y38","15","sym","SW","PDF"
"10","-0.0681475973893518","-0.153849603924202","-0.292314247455983","-0.00512832013080673","%","min","umol/min/g","C2","G85","15","apo","SW","PDF"
"11","-0.212800940743191","-0.480418117472077","-0.912794423196947","-0.00736124534836248","%","min","umol/min/g","C3","G88","15","apo","SW","PDF"
"12","-0.112589195313574","-0.254180686755136","-0.482943304834759","-0.00497879695705937","%","min","umol/min/g","C4","G90","15","apo","SW","PDF"
"13","-1.08065103654775","-2.43967124773687","-4.63537537070005","-0.0282644839676832","%","min","umol/min/g","C5","B93","15","apo","SW","PDF"
"14","-0.104075528990381","-0.23496028512773","-0.446424541742687","-0.00340782092933349","%","min","umol/min/g","C6","W83","15","apo","SW","PDF"
"15","-0.192945223393966","-0.435591970009299","-0.827624743017668","-0.00514052635414701","%","min","umol/min/g","D2","W85","15","apo","SW","PDF"
"16","-0.192945223393966","-0.435591970009299","-0.827624743017668","-0.0188096532504016","%","min","umol/min/g","D3","Y79","15","apo","SW","PDF"
"17","-0.2740312693383","-0.618651337180249","-1.17543754064247","-0.00551848610630269","%","min","umol/min/g","D4","Y83","15","apo","SW","PDF"
