"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria"
"1","-0.140193299991647","-0.330191051660191","-0.627362998154362","-0.00426777549764872","%","min","umol/min/g","A2","G4","15","sym","SW"
"2","-0.241508349853468","-0.568813887878988","-1.02386499818218","-0.00297635173890168","%","min","umol/min/g","A3","G25","15","sym","SW"
"3","-0.133103925012473","-0.313493761703208","-0.595638147236095","-0.00315152458855077","%","min","umol/min/g","A4","G27","15","sym","SW"
"4","-0.0718970982843547","-0.169336041702718","-0.321738479235164","-0.0035355876839029","%","min","umol/min/g","A5","B14","15","sym","SW"
"5","-0.0643446966133388","-0.151548205547484","-0.28794159054022","-0.00293817949530837","%","min","umol/min/g","A6","B20","15","sym","SW"
"6","-0.0769602284958789","-0.181261007370373","-0.326269813266671","-0.00310733155492068","%","min","umol/min/g","B2","W15","15","sym","SW"
"7","-0.113983788497345","-0.268460953543383","-0.510075811732427","-0.00314861612180511","%","min","umol/min/g","B3","W20","15","sym","SW"
"8","-0.258774669757897","-0.609480484127769","-1.15801291984276","-0.00438641257516198","%","min","umol/min/g","B4","W22","15","sym","SW"
"9","-0.0877409806055454","-0.206652433900676","-0.392639624411284","-0.00302030480316372","%","min","umol/min/g","B5","Y15","15","sym","SW"
"10","-0.0393184016617396","-0.0926048847916493","-0.175949281104134","-0.00325832002044692","%","min","umol/min/g","C2","G59","15","apo","SW"
"11","-0.122028497624253","-0.287408299579695","-0.546075769201421","-0.00510351186169552","%","min","umol/min/g","C3","G63","15","apo","SW"
"12","-0.0918077772082712","-0.216230779279678","-0.410838480631389","-0.00228243600350772","%","min","umol/min/g","C4","B64","15","apo","SW"
"13","-0.0905596988902347","-0.213291235860618","-0.405253348135175","-0.00277570786393955","%","min","umol/min/g","C5","B67","15","apo","SW"
"14","-0.092930984191432","-0.218876218790868","-0.415864815702649","-0.00284838914864828","%","min","umol/min/g","C6","W58","15","apo","SW"
"15","-0.296972974577312","-0.699447254584779","-1.2590050582526","-0.00378079597072854","%","min","umol/min/g","D2","W60","15","apo","SW"
"16","-0.296972974577312","-0.699447254584779","-1.32894978371108","-0.0101446548374892","%","min","umol/min/g","D3","W63","15","apo","SW"
"17","-0.18091908587587","-0.426110685990795","-0.76699923478343","-0.00266319178744247","%","min","umol/min/g","D4","Y56","15","apo","SW"
"18","-0.199829125890948","-0.470648663197173","-0.894232460074628","-0.00478199176510496","%","min","umol/min/g","D5","Y58","15","apo","SW"
