"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria","Treatment"
"1","-0.699667490569867","-1.58866613273475","-2.85959903892256","-0.00814700580889617","%","min","umol/min/g","A2","G44","15","sym","SW","PLF"
"2","-0.221303762454954","-0.502492680019488","-0.954736092037027","-0.00672349360589456","%","min","umol/min/g","A3","G46","15","sym","SW","PLF"
"3","-0.125638581183438","-0.285275165105077","-0.542022813699646","-0.00630259085697263","%","min","umol/min/g","A4","G48","15","sym","SW","PLF"
"4","-0.184233705014742","-0.418321347797335","-0.794810560814937","-0.00362927196719149","%","min","umol/min/g","A5","B50","15","sym","SW","PLF"
"5","-0.119576450582141","-0.271510481582836","-0.515869915007388","-0.00419406434965356","%","min","umol/min/g","A6","W43","15","sym","SW","PLF"
"6","-0.0901502128639662","-0.204695218751929","-0.388920915628665","-0.00447035535205362","%","min","umol/min/g","B2","W45","15","sym","SW","PLF"
"7","-0.160289927610055","-0.363954568198094","-0.691513679576378","-0.00386320491383451","%","min","umol/min/g","B3","W47","15","sym","SW","PLF"
"8","-0.896303018227605","-2.03514707903089","-3.6632647422556","-0.0108060906851198","%","min","umol/min/g","B4","Y41","15","sym","SW","PLF"
"9","-0.638292807257773","-1.44930867780165","-2.60875562004298","-0.0115944694224132","%","min","umol/min/g","B5","Y43","15","sym","SW","PLF"
"10","-0.207927315834573","-0.472120098745452","-0.897028187616359","-0.00879439399623881","%","min","umol/min/g","C2","G93","15","apo","SW","PLF"
"11","-0.252512926949035","-0.57335625926384","-1.0893768926013","-0.00707387592598244","%","min","umol/min/g","C3","G95","15","apo","SW","PLF"
"12","-0.232203117080772","-0.527240772214825","-1.00175746720817","-0.00503395712164908","%","min","umol/min/g","C4","G98","15","apo","SW","PLF"
"13","-0.160282890898487","-0.363938590629457","-0.691483322195969","-0.0032162014985859","%","min","umol/min/g","C5","W2","15","apo","SW","PLF"
"14","-0.251709843216433","-0.571532776045125","-1.08591227448574","-0.00414470333773182","%","min","umol/min/g","C6","W93","15","apo","SW","PLF"
"15","-0.17812402235693","-0.404448692498862","-0.768452515747837","-0.00651230945549014","%","min","umol/min/g","D2","W95","15","apo","SW","PLF"
"16","-0.17812402235693","-0.404448692498862","-0.768452515747837","-0.00293302486926655","%","min","umol/min/g","D3","Y92","15","apo","SW","PLF"
