"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria","Treatment"
"1","-0.498299341206251","-1.12199400000654","-2.13178860001243","-0.00745380629374976","%","min","umol/min/g","A2","G28","8","sym","SW","PLS"
"2","-1.00931373940721","-2.27261781441996","-4.31797384739793","-0.014157291302944","%","min","umol/min/g","A3","G30","8","sym","SW","PLS"
"3","-0.27599378166938","-0.621440450478114","-1.18073685590842","-0.0112451129134135","%","min","umol/min/g","A4","G32","8","sym","SW","PLS"
"4","-0.499492594189808","-1.12468078398824","-2.13689348957765","-0.0132726303700475","%","min","umol/min/g","A5","B28","8","sym","SW","PLS"
"5","-0.417487851136331","-0.940035085971957","-1.78606666334672","-0.0166922118069787","%","min","umol/min/g","A6","B31","8","sym","SW","PLS"
"6","-1.11455399793286","-2.50958168103693","-4.76820519397016","-0.019622243596585","%","min","umol/min/g","B2","W24","8","sym","SW","PLS"
"7","-0.867872545152324","-1.95414223521574","-3.71287024690991","-0.0161429141169996","%","min","umol/min/g","B3","W26","8","sym","SW","PLS"
"8","-0.292302995494673","-0.658163035766919","-1.25050976795715","-0.00801608825613555","%","min","umol/min/g","B4","Y22","8","sym","SW","PLS"
"9","-0.181954786762977","-0.409697870613939","-0.778425954166484","-0.00786288842592408","%","min","umol/min/g","B5","Y24","8","sym","SW","PLS"
"10","-0.691182020154818","-1.55629762152368","-2.956965480895","-0.0118753633770883","%","min","umol/min/g","C2","G65","8","apo","SW","PLS"
"11","-0.419781898479755","-0.945200469792899","-1.79588089260651","-0.00764204635151705","%","min","umol/min/g","C3","G70","8","apo","SW","PLS"
"12","-0.738005690099231","-1.66172797711826","-3.15728315652469","-0.0201100837995203","%","min","umol/min/g","C4","G73","8","apo","SW","PLS"
"13","-0.162503282842391","-0.365899958625595","-0.695209921388631","-0.00790011274305263","%","min","umol/min/g","C5","B72","8","apo","SW","PLS"
"14","-0.157134379240344","-0.353811085271824","-0.672241062016466","-0.00513161116043104","%","min","umol/min/g","C6","B74","8","apo","SW","PLS"
"15","-1.97615937017863","-4.44961245790488","-8.45426367001927","-0.0469681315001071","%","min","umol/min/g","D2","W64","8","apo","SW","PLS"
"16","-1.97615937017863","-4.44961245790488","-8.45426367001927","-0.0528391479376204","%","min","umol/min/g","D3","W67","8","apo","SW","PLS"
"17","-0.32718046350144","-0.736694766802895","-1.3997200569255","-0.00858723961303988","%","min","umol/min/g","D4","W71","8","apo","SW","PLS"
"18","-2.44668951784693","-5.50908004866678","-10.4672520924669","-0.0343188593195635","%","min","umol/min/g","D5","Y62","8","apo","SW","PLS"
"19","-1.02417615056805","-2.30608271145901","-3.92034060948032","-0.024502128809252","%","min","umol/min/g","D6","Y64","8","apo","SW","PLS"
