"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria","Treatment"
"1","-0.46138162954588","-1.03864076281644","-1.97341744935124","-0.0106671213478445","%","min","umol/min/g","A2","G29","22","sym","EC","PLS"
"2","-2.60914443566639","-5.87358402116296","-11.1598096402096","-0.0487327931886883","%","min","umol/min/g","A3","G31","22","sym","EC","PLS"
"3","-0.333979638812299","-0.751839355118216","-1.42849477472461","-0.0084526318031042","%","min","umol/min/g","A4","B27","22","sym","EC","PLS"
"4","-1.32442596037117","-2.98148582796364","-5.66482307313092","-0.0578043170727645","%","min","umol/min/g","A5","B30","22","sym","EC","PLS"
"5","-0.174243440512591","-0.392248690412506","-0.745272511783761","-0.00621060426486467","%","min","umol/min/g","A6","W23","22","sym","EC","PLS"
"6","-4.91534833518962","-11.0652024645949","-21.0238846827303","-0.12152534498688","%","min","umol/min/g","B2","W25","22","sym","EC","PLS"
"7","-1.48787250423165","-3.34942904920123","-6.36391519348233","-0.0277900226789621","%","min","umol/min/g","B3","W27","22","sym","EC","PLS"
"8","-0.423985405693214","-0.954456131306476","-1.8134666494823","-0.0120097129104788","%","min","umol/min/g","B4","Y23","22","sym","EC","PLS"
"9","-2.45439798553927","-5.52522604435889","-10.4979294842819","-0.0406896491638833","%","min","umol/min/g","C2","G67","22","apo","EC","PLS"
"10","-0.322290067195313","-0.725524337779503","-1.37849624178106","-0.00835452267746094","%","min","umol/min/g","C3","G71","22","apo","EC","PLS"
"11","-2.18843432918188","-4.9265010903715","-8.86770196266871","-0.0218416304499229","%","min","umol/min/g","C4","B73","22","apo","EC","PLS"
"12","-3.70218794195966","-8.33419248163725","-15.8349657151108","-0.142657348784782","%","min","umol/min/g","C5","B75","22","apo","EC","PLS"
"13","-1.5249023314452","-3.43278886571993","-6.52229884486788","-0.031972053161117","%","min","umol/min/g","C6","W65","22","apo","EC","PLS"
"14","-0.274012590958242","-0.616844339412255","-1.17200424488328","-0.00881206199160364","%","min","umol/min/g","D2","Y60","22","apo","EC","PLS"
"15","-0.274012590958242","-0.616844339412255","-1.17200424488328","-0.0101913412598546","%","min","umol/min/g","D3","Y65","22","apo","EC","PLS"
