Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
28.10.21 11:12:10,0.08,112.95,123.04,137.6,34.64,123.2,110.32,127.22,113.1,109.86,123.04,129.99,109.55,118.9,103.62,114.97,124.64,146.93,105.74,108.79,100.17,131.63,128.69,113.57,115.6,,23.5,1015.7,35,23.46,
28.10.21 11:12:25,0.33,112.64,122.72,138.77,34.28,123.52,110.01,127.55,114.35,111.25,123.04,128.69,109.55,117.17,104.83,114.5,124,145.56,105.28,108.02,100.32,130.65,125.61,113.73,116.22,,23.5,1015.7,35,23.48,
28.10.21 11:12:40,0.58,112.95,122.88,138.94,34.76,123.36,110.17,127.39,113.41,110.94,122.88,128.69,109.71,116.69,103.92,114.5,124.32,145.05,104.07,106.95,99.13,132.29,124.8,113.1,116.22,,23.5,1015.7,35,23.52,
28.10.21 11:12:56,0.85,113.41,122.24,138.94,35,123.04,109.25,127.39,113.26,110.01,122.88,127.87,110.63,115.75,103.62,113.88,124.16,144.87,101.36,106.8,98.98,132.45,124.96,113.73,114.97,,23.5,1015.7,35,23.52,
28.10.21 11:13:11,1.1,113.73,123.04,139.61,35,123.2,108.63,127.06,112.64,110.01,123.2,128.04,110.32,114.82,103.62,113.73,122.08,143.68,100.77,105.74,97.64,131.47,124.48,112.79,115.13,,23.5,1015.7,35,23.54,
28.10.21 11:13:26,1.35,113.26,123.2,139.61,35,122.56,108.02,127.71,112.48,110.01,122.08,128.04,110.17,115.6,103.32,114.04,121.6,144.02,99.13,104.22,97.05,130.16,124.48,112.64,113.73,,23.5,1015.7,35,23.54,
28.10.21 11:13:41,1.6,113.41,123.2,139.95,35.12,122.56,107.56,127.22,111.71,111.09,121.92,127.55,109.71,113.73,103.17,113.26,121.6,142.66,96.46,104.07,96.46,130.48,122.88,111.56,113.88,,23.5,1015.7,35,23.55,
28.10.21 11:13:56,1.85,113.26,123.2,139.95,34.88,121.6,105.89,127.87,110.78,111.25,121.28,126.58,109.71,112.95,102.26,114.04,120.33,142.49,95.58,102.87,95.28,128.85,122.56,111.56,113.26,,23.5,1015.7,35,23.57,
28.10.21 11:14:11,2.1,113.26,122.72,139.45,34.52,121.44,105.43,127.71,111.4,110.32,120.48,125.28,108.79,112.64,101.66,113.57,120.48,141.3,93.38,100.62,94.4,128.2,121.76,111.09,112.79,,23.5,1015.7,35,23.57,
28.10.21 11:14:26,2.35,113.1,122.88,139.78,34.64,120.33,103.92,127.22,110.63,111.4,119.53,125.61,108.63,111.71,100.92,112.95,119.37,140.79,91.63,100.32,93.09,127.06,120.8,110.17,112.33,,23.5,1015.7,35,23.57,
28.10.21 11:14:41,2.6,113.26,122.88,139.45,35.25,120.64,102.71,127.71,109.86,109.55,119.69,124.48,108.94,111.09,101.21,112.33,119.22,139.61,89.75,99.42,92.65,125.77,119.69,109.71,112.64,,23.5,1015.7,35,23.59,
28.10.21 11:14:56,2.85,113.26,122.88,139.45,35.12,119.37,101.51,127.71,109.09,110.48,118.58,123.84,108.02,110.01,100.32,111.86,118.11,138.44,88.17,99.28,91.63,125.28,118.74,109.09,111.09,,23.5,1015.7,35,23.59,
28.10.21 11:15:11,3.1,113.41,123.2,139.95,35,118.74,101.07,127.87,108.94,109.86,117.48,122.4,107.87,108.94,100.47,111.56,117.8,138.44,86.59,97.05,91.05,124,116.54,108.94,111.25,,23.5,1015.7,35,23.61,
28.10.21 11:15:26,3.35,113.57,123.68,139.28,35.37,118.74,99.57,126.9,108.79,109.09,116.85,122.56,107.41,108.17,99.87,111.25,117.48,137.27,84.59,97.05,90.04,123.52,116.07,107.71,110.63,,23.5,1015.7,35,23.59,
28.10.21 11:15:42,3.62,113.41,123.2,139.78,35.12,117.8,98.83,127.71,107.41,109.55,115.91,121.92,107.56,108.02,99.72,109.71,116.54,137.93,83.03,95.28,89.61,123.68,114.19,106.95,110.17,,23.5,1015.7,35,23.61,
28.10.21 11:15:57,3.87,113.41,123.04,139.95,35,116.38,97.35,127.39,107.71,107.87,114.66,122.4,106.5,106.95,98.83,108.48,115.75,137.77,81.06,95.43,89.03,123.68,113.26,106.95,109.86,,23.5,1015.7,35,23.59,
28.10.21 11:16:12,4.12,113.26,123.52,139.28,34.76,115.91,97.35,126.41,107.1,108.33,113.88,120.96,105.89,107.1,98.68,108.17,114.82,137.77,79.38,94.26,87.59,123.84,112.79,106.19,108.02,,23.5,1015.7,35,23.61,
28.10.21 11:16:27,4.37,112.95,123.2,139.11,35,114.66,96.46,125.45,105.89,107.71,113.1,120.96,105.89,106.5,98.53,106.8,114.19,137.43,78.26,93.38,88.6,123.52,110.94,105.74,108.94,,23.5,1015.7,35,23.63,
