"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria","Treatment"
"1","-1.00617517445441","-2.15567777982443","-3.88022000368398","-0.0107485318661606","%","min","umol/min/g","A2","O79","22","apo","EC","Control"
"2","-2.62507423297513","-5.62408449153259","-10.6857605339119","-0.075785535701503","%","min","umol/min/g","A3","B6947","22","apo","EC","Control"
"3","-0.319576455888979","-0.684675871960829","-1.30088415672557","-0.00850251082827173","%","min","umol/min/g","A4","O83","22","apo","EC","Control"
"4","-2.64518646691775","-5.66717390271413","-10.7676304151568","-0.0403282038020855","%","min","umol/min/g","A5","G9116","22","apo","EC","Control"
"5","-1.1058404144426","-2.36920535307221","-4.26456963552997","-0.0182246565620939","%","min","umol/min/g","A6","O94","22","apo","EC","Control"
"6","-1.61447825652031","-3.45893537422812","-6.57197721103342","-0.0252768354270516","%","min","umol/min/g","B2","G1991","22","apo","EC","Control"
"7","-1.2966262783408","-2.7779541057265","-5.27811280088035","-0.0235630035753587","%","min","umol/min/g","B3","O97","22","apo","EC","Control"
"8","-3.41567486258045","-7.31790506395877","-13.1722291151258","-0.0542067041774724","%","min","umol/min/g","B4","G7673","22","apo","EC","Control"
"9","-0.439709405739317","-0.942054444988691","-1.78990344547851","-0.00972773611673105","%","min","umol/min/g","B5","Y156","22","apo","EC","Control"
"10","-0.30621762961591","-0.65605528412233","-1.24650503983243","-0.00966282976614284","%","min","umol/min/g","B6","G8180","22","apo","EC","Control"
"11","-1.08610683191294","-2.32692718277388","-4.42116164727038","-0.0311349411779604","%","min","umol/min/g","C2","G9877","22","apo","EC","Control"
"12","-4.29905918989959","-9.21050986458864","-17.4999687427184","-0.174999687427184","%","min","umol/min/g","C3","Y2820","22","apo","EC","Control"
"13","-1.76888898952562","-3.78975230805521","-7.2005293853049","-0.0242442066845283","%","min","umol/min/g","C4","O986","22","apo","EC","Control"
"14","-0.623454653572992","-1.33571904530858","-2.53786618608629","-0.0109864337060013","%","min","umol/min/g","C5","O9659","22","apo","EC","Control"
"15","-0.664100470655313","-1.42280058632819","-2.70332111402355","-0.0132515740883508","%","min","umol/min/g","C6","Y2223","22","apo","EC","Control"
"16","-1.5403070797371","-3.30002750037633","-5.9400495006774","-0.0177845793433455","%","min","umol/min/g","D2","O646","22","apo","EC","Control"
"17","-1.5403070797371","-3.30002750037633","-6.27005225071503","-0.0246852450815553","%","min","umol/min/g","D3","O6719","22","apo","EC","Control"
"18","-1.11143939284914","-2.38120087199091","-4.52428165678273","-0.018169805850533","%","min","umol/min/g","D4","Y4350","22","apo","EC","Control"
"19","-0.292530926431752","-0.626732237119964","-1.19079125052793","-0.00788603477170815","%","min","umol/min/g","D5","W3","22","apo","EC","Control"
"20","-0.417685433953604","-0.894869235288317","-1.7002515470478","-0.0062972279520289","%","min","umol/min/g","D6","W8","22","apo","EC","Control"
