"","Time.Elapsed.Min","vial","value","sym.state"
"1",0,"A2",87.7938743455497,"apo"
"2",0.25,"A2",88.1138743455497,"apo"
"3",0.5,"A2",87.9538743455497,"apo"
"4",0.75,"A2",87.6338743455497,"apo"
"5",1,"A2",87.7938743455497,"apo"
"6",1.25,"A2",87.1538743455497,"apo"
"7",1.5,"A2",87.1538743455497,"apo"
"8",1.75,"A2",86.1938743455497,"apo"
"9",2,"A2",86.0338743455497,"apo"
"10",2.25,"A2",84.9238743455497,"apo"
"11",2.5,"A2",85.2338743455497,"apo"
"12",2.75,"A2",83.9638743455497,"apo"
"13",3,"A2",83.3338743455497,"apo"
"14",3.25,"A2",83.3338743455497,"apo"
"15",3.5,"A2",82.3938743455497,"apo"
"16",3.75,"A2",80.9738743455497,"apo"
"17",4,"A2",80.5038743455497,"apo"
"18",4.25,"A2",79.2538743455497,"apo"
"19",4.5,"A2",79.2538743455497,"apo"
"20",4.75,"A2",78.9438743455497,"apo"
"21",5,"A2",77.8538743455497,"apo"
"22",5.25,"A2",77.3838743455497,"apo"
"23",5.5,"A2",77.2338743455497,"apo"
"24",5.75,"A2",76.1538743455497,"apo"
"25",6,"A2",76.1538743455497,"apo"
"26",6.25,"A2",75.6838743455497,"apo"
"27",6.5,"A2",75.2238743455497,"apo"
"28",6.75,"A2",74.7638743455497,"apo"
"29",7,"A2",74.4538743455497,"apo"
"30",7.25,"A2",74.7638743455497,"apo"
"31",7.5,"A2",73.6838743455497,"apo"
"32",7.75,"A2",73.6838743455497,"apo"
"33",8,"A2",73.5338743455497,"apo"
"34",8.25,"A2",73.2238743455497,"apo"
"35",8.5,"A2",72.9238743455497,"apo"
"36",8.75,"A2",72.7638743455497,"apo"
"37",9,"A2",70.9338743455497,"apo"
"38",9.25,"A2",70.6338743455497,"apo"
"39",9.5,"A2",70.4838743455497,"apo"
"40",9.75,"A2",69.2738743455497,"apo"
"41",10,"A2",69.1138743455497,"apo"
"42",10.25,"A2",68.3638743455497,"apo"
"43",10.5,"A2",67.3038743455497,"apo"
"44",10.75,"A2",66.7038743455497,"apo"
"45",11,"A2",67.4638743455497,"apo"
"46",11.25,"A2",65.6638743455497,"apo"
"47",11.5,"A2",65.5138743455497,"apo"
"48",11.75,"A2",63.8738743455497,"apo"
"49",12,"A2",64.0138743455497,"apo"
"50",12.25,"A2",63.7238743455497,"apo"
"51",12.5,"A2",63.7238743455497,"apo"
"52",12.75,"A2",63.2738743455497,"apo"
"53",13,"A2",62.6838743455497,"apo"
"54",13.25,"A2",63.5738743455497,"apo"
"55",13.5,"A2",62.8338743455497,"apo"
"56",13.75,"A2",63.5738743455497,"apo"
"57",14,"A2",63.8738743455497,"apo"
"58",14.25,"A2",64.0138743455497,"apo"
"59",14.5,"A2",64.1638743455497,"apo"
"60",14.75,"A2",64.1638743455497,"apo"
"61",15,"A2",63.8738743455497,"apo"
"62",15.25,"A2",64.3138743455497,"apo"
"63",15.5,"A2",64.7638743455497,"apo"
"64",15.75,"A2",63.7238743455497,"apo"
"65",16,"A2",64.9138743455497,"apo"
"66",16.25,"A2",64.9138743455497,"apo"
"67",16.5,"A2",64.0138743455497,"apo"
"68",16.75,"A2",63.2738743455497,"apo"
"69",17,"A2",64.0138743455497,"apo"
"70",17.25,"A2",63.8738743455497,"apo"
"71",17.5,"A2",62.6838743455497,"apo"
"72",17.75,"A2",62.9738743455497,"apo"
"73",18,"A2",62.6838743455497,"apo"
"74",18.25,"A2",62.0938743455497,"apo"
"75",18.5,"A2",61.9438743455497,"apo"
"76",18.75,"A2",61.0538743455497,"apo"
"77",19,"A2",60.1738743455497,"apo"
"78",19.25,"A2",60.0238743455497,"apo"
"79",19.5,"A2",59.1438743455497,"apo"
"80",19.75,"A2",58.9938743455497,"apo"
"81",20,"A2",57.5338743455497,"apo"
"82",20.25,"A2",57.9738743455497,"apo"
"83",20.5,"A2",57.3938743455497,"apo"
"84",20.75,"A2",56.2238743455497,"apo"
"85",21,"A2",56.9538743455497,"apo"
"86",21.25,"A2",57.2438743455497,"apo"
"87",21.5,"A2",55.9338743455497,"apo"
"88",21.75,"A2",56.9538743455497,"apo"
"89",22,"A2",56.9538743455497,"apo"
"90",22.25,"A2",56.9538743455497,"apo"
"91",22.5,"A2",58.1238743455497,"apo"
"92",22.75,"A2",57.9738743455497,"apo"
"93",23,"A2",58.4138743455497,"apo"
"94",23.25,"A2",57.8238743455497,"apo"
"95",23.5,"A2",57.9738743455497,"apo"
"96",23.75,"A2",57.9738743455497,"apo"
"97",24,"A2",57.8238743455497,"apo"
"98",24.25,"A2",58.1238743455497,"apo"
"99",24.5,"A2",58.7038743455497,"apo"
"100",24.75,"A2",57.9738743455497,"apo"
"101",25,"A2",59.1438743455497,"apo"
"102",25.25,"A2",58.7038743455497,"apo"
"103",25.5,"A2",58.8538743455497,"apo"
"104",25.75,"A2",58.9938743455497,"apo"
"105",26,"A2",57.6838743455497,"apo"
"106",26.25,"A2",58.4138743455497,"apo"
"107",26.5,"A2",57.1038743455497,"apo"
"108",26.75,"A2",57.5338743455497,"apo"
"109",27,"A2",56.8038743455497,"apo"
"110",27.25,"A2",56.8038743455497,"apo"
"111",27.5,"A2",57.2438743455497,"apo"
"112",27.75,"A2",56.3738743455497,"apo"
"113",28,"A2",56.6638743455497,"apo"
"114",28.25,"A2",56.6638743455497,"apo"
"115",28.5,"A2",55.7938743455497,"apo"
"116",28.75,"A2",55.7938743455497,"apo"
"117",29,"A2",55.7938743455497,"apo"
"118",29.25,"A2",54.9238743455497,"apo"
"119",29.5,"A2",55.9338743455497,"apo"
"120",29.75,"A2",56.0838743455497,"apo"
"121",30,"A2",55.2138743455497,"apo"
"122",30.25,"A2",55.7938743455497,"apo"
"123",30.5,"A2",55.3538743455497,"apo"
"124",30.75,"A2",55.2138743455497,"apo"
"125",31,"A2",56.5138743455497,"apo"
"126",31.25,"A2",56.6638743455497,"apo"
"127",31.5,"A2",56.8038743455497,"apo"
"128",31.75,"A2",57.5338743455497,"apo"
"129",32,"A2",57.6838743455497,"apo"
"130",32.25,"A2",58.8538743455497,"apo"
"131",32.5,"A2",58.7038743455497,"apo"
"132",32.75,"A2",58.7038743455497,"apo"
"133",33,"A2",58.9938743455497,"apo"
"134",33.25,"A2",59.2938743455497,"apo"
"135",33.5,"A2",58.9938743455497,"apo"
"136",33.75,"A2",59.7338743455497,"apo"
"137",34,"A2",60.1738743455497,"apo"
"138",34.25,"A2",60.0238743455497,"apo"
"139",34.5,"A2",59.8738743455497,"apo"
"140",34.75,"A2",60.6138743455497,"apo"
"141",35,"A2",60.6138743455497,"apo"
"142",35.25,"A2",60.9038743455497,"apo"
"143",35.5,"A2",60.4638743455497,"apo"
"144",35.75,"A2",60.6138743455497,"apo"
"145",36,"A2",60.1738743455497,"apo"
"146",36.25,"A2",59.4338743455497,"apo"
"147",36.5,"A2",59.4338743455497,"apo"
"148",36.75,"A2",59.1438743455497,"apo"
"149",37,"A2",58.5538743455497,"apo"
"150",37.25,"A2",58.8538743455497,"apo"
"151",37.5,"A2",58.1238743455497,"apo"
"152",37.75,"A2",58.7038743455497,"apo"
"153",38,"A2",58.2638743455497,"apo"
"154",38.25,"A2",58.9938743455497,"apo"
"155",38.5,"A2",58.5538743455497,"apo"
"156",38.75,"A2",58.8538743455497,"apo"
"157",39,"A2",58.9938743455497,"apo"
"158",39.25,"A2",58.7038743455497,"apo"
"159",39.5,"A2",58.9938743455497,"apo"
"160",39.75,"A2",58.9938743455497,"apo"
"161",40,"A2",58.8538743455497,"apo"
"162",40.25,"A2",58.7038743455497,"apo"
"163",40.5,"A2",58.8538743455497,"apo"
"164",40.75,"A2",58.5538743455497,"apo"
"165",41,"A2",59.1438743455497,"apo"
"166",41.25,"A2",58.8538743455497,"apo"
"167",41.5,"A2",59.5838743455497,"apo"
"168",41.75,"A2",59.2938743455497,"apo"
"169",42,"A2",58.4138743455497,"apo"
"170",42.25,"A2",58.5538743455497,"apo"
"171",42.5,"A2",57.9738743455497,"apo"
"172",42.75,"A2",57.6838743455497,"apo"
"173",43,"A2",58.1238743455497,"apo"
"174",43.25,"A2",56.5138743455497,"apo"
"175",43.5,"A2",57.6838743455497,"apo"
"176",43.75,"A2",56.3738743455497,"apo"
"177",44,"A2",57.5338743455497,"apo"
"178",44.25,"A2",56.9538743455497,"apo"
"179",44.5,"A2",56.3738743455497,"apo"
"180",44.75,"A2",57.2438743455497,"apo"
"181",45,"A2",57.3938743455497,"apo"
"182",45.25,"A2",56.8038743455497,"apo"
"183",45.5,"A2",56.3738743455497,"apo"
"184",45.75,"A2",56.3738743455497,"apo"
"185",46,"A2",55.9338743455497,"apo"
"186",46.25,"A2",55.5038743455497,"apo"
"187",46.5,"A2",55.6438743455497,"apo"
"188",46.75,"A2",56.2238743455497,"apo"
"189",47,"A2",56.2238743455497,"apo"
"190",47.25,"A2",55.6438743455497,"apo"
"191",47.5,"A2",55.7938743455497,"apo"
"192",47.75,"A2",56.0838743455497,"apo"
"193",48,"A2",56.2238743455497,"apo"
"194",48.25,"A2",56.0838743455497,"apo"
"195",48.5,"A2",56.5138743455497,"apo"
"196",48.75,"A2",55.9338743455497,"apo"
"197",49,"A2",56.0838743455497,"apo"
"198",49.25,"A2",56.3738743455497,"apo"
"199",49.5,"A2",56.8038743455497,"apo"
"200",49.75,"A2",57.2438743455497,"apo"
"201",50,"A2",57.1038743455497,"apo"
"202",50.25,"A2",57.3938743455497,"apo"
"203",50.5,"A2",57.6838743455497,"apo"
"204",50.75,"A2",57.8238743455497,"apo"
"205",51,"A2",57.1038743455497,"apo"
"206",51.25,"A2",57.8238743455497,"apo"
"207",51.5,"A2",57.5338743455497,"apo"
"208",51.75,"A2",58.1238743455497,"apo"
"209",52,"A2",58.1238743455497,"apo"
"210",52.25,"A2",57.6838743455497,"apo"
"211",52.5,"A2",57.2438743455497,"apo"
"212",52.75,"A2",56.9538743455497,"apo"
"213",53,"A2",56.3738743455497,"apo"
"214",53.25,"A2",56.3738743455497,"apo"
"215",53.5,"A2",56.3738743455497,"apo"
"216",53.75,"A2",56.8038743455497,"apo"
"217",54,"A2",56.6638743455497,"apo"
"218",54.25,"A2",56.3738743455497,"apo"
"219",54.5,"A2",56.2238743455497,"apo"
"220",54.75,"A2",56.5138743455497,"apo"
"221",55,"A2",56.5138743455497,"apo"
"222",55.25,"A2",55.9338743455497,"apo"
"223",55.5,"A2",56.0838743455497,"apo"
"224",55.75,"A2",56.3738743455497,"apo"
"225",56,"A2",55.7938743455497,"apo"
"226",56.25,"A2",56.0838743455497,"apo"
"227",56.5,"A2",56.8038743455497,"apo"
"228",56.75,"A2",56.6638743455497,"apo"
"229",57,"A2",56.6638743455497,"apo"
"230",57.25,"A2",57.1038743455497,"apo"
"231",57.5,"A2",56.9538743455497,"apo"
"232",57.75,"A2",57.2438743455497,"apo"
"233",58,"A2",57.3938743455497,"apo"
"234",58.25,"A2",57.3938743455497,"apo"
"235",58.5,"A2",57.6838743455497,"apo"
"236",58.75,"A2",57.6838743455497,"apo"
"237",59,"A2",57.8238743455497,"apo"
"238",59.25,"A2",57.5338743455497,"apo"
"239",59.5,"A2",57.2438743455497,"apo"
"240",59.75,"A2",57.3938743455497,"apo"
"241",60,"A2",57.3938743455497,"apo"
"242",60.25,"A2",56.2238743455497,"apo"
"243",60.5,"A2",56.8038743455497,"apo"
"244",60.75,"A2",55.6438743455497,"apo"
"245",61,"A2",55.6438743455497,"apo"
"246",61.25,"A2",55.3538743455497,"apo"
"247",61.5,"A2",54.7738743455497,"apo"
"248",61.75,"A2",54.3438743455497,"apo"
"249",62,"A2",54.7738743455497,"apo"
"250",62.25,"A2",53.6238743455497,"apo"
"251",62.5,"A2",54.0538743455497,"apo"
"252",62.75,"A2",53.1938743455497,"apo"
"253",63,"A2",53.1938743455497,"apo"
"254",63.25,"A2",52.4738743455497,"apo"
"255",63.5,"A2",53.0438743455497,"apo"
"256",63.75,"A2",53.1938743455497,"apo"
"257",64,"A2",53.6238743455497,"apo"
"258",64.25,"A2",52.7638743455497,"apo"
"259",64.5,"A2",53.0438743455497,"apo"
"260",64.75,"A2",53.4738743455497,"apo"
"261",65,"A2",53.7638743455497,"apo"
