Date,Colony#,Colony,Sym.State,Tile#,Frag#,B.TAG,TANK.ID,Treat.ID,Sump,Temperature,Plastic,Light,Food,Initial.Mass (g),Final.Mass (g),Days.In.Treatment,EColi,Crush?,Photo.ID.Pre,Photo.ID.Post,
08/02/2021,5,A1,APO,9,8,G60,A1,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.173,0.149,22,EC,,G60.08.02.PDS,,
08/02/2021,6,A2,APO,9,4,G62,A1,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.228,NA,7,NA,,G62.08.02.PDS,,
08/02/2021,6,A2,APO,9,12,G63,A1,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.144,0.104,22,SW,,G63.08.02.PDS,,
08/03/2021,7,A3,APO,9,6,G64,A1,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.205,0.161,22,EC,,G64.08.03.PDS,,
08/02/2021,4,M1,APO,9,8,G59,A1,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.062,0.051,22,SW,,G59.08.02.PDS,,
08/09/2021,42,S21,SYM,1,1,G4,A1,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.160,0.147,22,SW,,G4-A1-08.09.PDF,,
08/09/2021,44,S23,SYM,1,2,G24,A1,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.159,0.137,22,EC,,G24-C1.08.09.PDS,,
08/09/2021,47,S26,SYM,1,1,G25,A1,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.364,0.348,22,SW,,G25-E1.08.09.PDS,,
08/09/2021,48,S27,SYM,1,6,G26,A1,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.224,0.184,22,EC,,G26-G3.08.09.PDS,,
08/09/2021,50,S29,SYM,1,1,G27,A1,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.193,0.190,22,SW,,G27-I5.08.09.PDS,,
08/03/2021,11,A4,APO,25,1,B63,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.173,0.150,22,EC,,B63.08.03.PDS,,
08/03/2021,11,A4,APO,25,9,B64,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.193,0.175,22,SW,,B64.08.03.PDS,,
08/03/2021,12,A5,APO,25,5,B65,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.311,0.267,22,EC,,B65.08.03.PDS,,
08/04/2021,12,A5,APO,25,13,B67,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.172,0.160,22,SW,,B67.08.04.PDS,,
08/04/2021,13,A6,APO,25,2,B70,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.122,0.110,22,EC,,B70.08.04.PDS,,
08/03/2021,8,S4,SYM,17,1,B13,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.051,0.033,22,EC,,B13.08.03.PDS,,
08/03/2021,9,S5,SYM,17,2,B20,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.116,0.101,22,SW,,B20.08.03.PDS,,
08/03/2021,10,S6,SYM,17,3,B21,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.041,0.038,8,EC,,B21.08.03.PDS,,
08/03/2021,8,S4,SYM,17,8,B14,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.119,0.089,22,SW,,B14.08.03.PDS,,
08/03/2021,8,S4,SYM,17,17,B15,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.261,0.236,22,EC,,B15.08.03.PDS,,
08/04/2021,19,A10,APO,41,7,W60,A3,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.351,0.329,22,SW,,W60.08.04.PDS,,
08/04/2021,20,A11,APO,41,5,W62,A3,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.335,0.285,22,EC,,W62.08.04.PDS,,
08/04/2021,20,A11,APO,41,13,W63,A3,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.212,0.131,15,SW,,W63.08.04.PDS,,
08/04/2021,18,A9,APO,41,1,W58,A3,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.156,0.150,22,SW,,W58.08.04.PDS,,
08/04/2021,18,A9,APO,41,9,W59,A3,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.228,0.203,22,EC,,W59.08.04.PDS,,
08/31/2021,51,S30,SYM,33,11,W15,A3,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.125,0.106,22,SW,,W15(XS1-4).08.31,,replaced
08/04/2021,16,S7,SYM,33,9,W17,A3,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.071,0.062,8,EC,,W17.08.04.PDS,,
08/04/2021,16,S7,SYM,33,17,W20,A3,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.167,0.156,22,SW,,W20.08.04.PDS,,
08/04/2021,16,S7,SYM,33,25,W21,A3,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.164,0.174,22,EC,,W21.08.04.PDS,,
08/04/2021,16,S7,SYM,33,33,W22,A3,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.375,0.264,22,SW,,W22.08.04.PDS,,
08/05/2021,26,A12,APO,57,1,Y55,A4,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.115,0.098,8,EC,,Y55.08.05.PDS,,
08/05/2021,26,A12,APO,57,17,Y57,A4,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.191,0.177,8,EC,,Y57.08.05.PDS,,
08/05/2021,27,A13,APO,57,7,Y58,A4,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.211,0.183,22,SW,,Y58.08.05.PDS,,
08/05/2021,27,A13,APO,57,14,Y59,A4,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.164,0.148,22,EC,,Y59.08.05.PDS,,
08/31/2021,52,A25,APO,57,2,Y56,A4,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.315,0.269,22,SW,,Y56(XA1-1).08.31,,replaced
08/04/2021,22,S10,SYM,49,1,Y13,A4,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.167,0.148,8,SW,,Y13.08.04.PDS,,
08/04/2021,23,S11,SYM,49,2,Y14,A4,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.144,0.131,8,EC,Y,Y14.08.04.PDS,,
08/04/2021,23,S11,SYM,49,10,Y15,A4,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.156,0.129,22,SW,,Y15.08.04.PDS,,
08/04/2021,24,S12,SYM,49,6,Y17,A4,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.222,0.196,22,EC,,Y17.08.04.PDS,,
08/04/2021,21,S9,SYM,49,1,Y12,A4,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.203,0.186,8,EC,,Y12.08.04.PDS,,
08/02/2021,5,A1,APO,10,1,G65,B1,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.265,0.232,22,SW,,G65.8.02.PLS,,
08/02/2021,5,A1,APO,10,9,G67,B1,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.302,0.258,22,EC,,G67.08.02.PLS,,
08/02/2021,6,A2,APO,10,5,G70,B1,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.244,0.216,22,SW,,G70.08.02.PLS,,
08/03/2021,6,A2,APO,10,13,G71,B1,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.229,0.165,22,EC,,G71.08.03.PLS,,
08/03/2021,7,A3,APO,10,7,G73,B1,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.159,0.112,22,SW,,G73.08.03.PLS,,
08/09/2021,42,S21,SYM,2,2,G28,B1,PLS,Orange,ELEVATED,PLASTIC,LIGHT,STARVED,0.302,0.272,22,SW,,G28-A2.08.09.PLS,,
