"","Colony","Sym.State","B.TAG","Treatment","Plastic","Temperature","Food","Light","term.x","Slope","std.error","statistic","p.value","term.y","Log.Slope","Log.std.error","Log.statistic","Log.pvalue"
"1","S22","SYM","B1","PDF","PLASTIC","ELEVATED","FED","DARK","Day",0.0142857142857143,0.405824934609765,0.0352016671904382,0.975116369910328,"Day",5.11137621191132e-05,0.00164778252319115,0.031019725843508,0.978071016016512
"2","A2","APO","B10","NDF","NOPLASTIC","ELEVATED","FED","DARK","Day",-4,NA,NA,NA,"Day",-0.0246004895183384,NA,NA,NA
"3","A3","APO","B11","NDF","NOPLASTIC","ELEVATED","FED","DARK","Day",-1.2857142857143,1.07222192849503,-1.19911209754769,0.44251588684258,"Day",-0.00443492171835325,0.00374301253392526,-1.1848535579715,0.446265584198196
"4","A3","APO","B12","NDF","NOPLASTIC","ELEVATED","FED","DARK","Day",-1.64285714285715,2.68055482123755,-0.612879516524374,0.649963564242481,"Day",-0.00891593319519566,0.0135425115672786,-0.658366297189533,0.629338222179557
"5","S4","SYM","B13","PDS","PLASTIC","ELEVATED","STARVED","DARK","Day",-0.857142857142857,0.18070158058105,-4.74341649025257,0.0416851525000901,"Day",-0.0209168316998347,0.00362265210370316,-5.77390019826995,0.0287103527387674
"6","S20","SYM","B1315","Control","NOPLASTIC","AMBIENT","FED","LIGHT","Day",-0.999999999999997,NA,NA,NA,"Day",-0.00313101797917999,NA,NA,NA
"7","S4","SYM","B14","PDS","PLASTIC","ELEVATED","STARVED","DARK","Day",-1.31428571428571,0.593845991166472,-2.21317603189357,0.157345198735591,"Day",-0.012760019382494,0.00555399912032436,-2.297447137829,0.148407859513212
"8","S4","SYM","B15","PDS","PLASTIC","ELEVATED","STARVED","DARK","Day",-1.11428571428571,0.355137225561602,-3.1376201481656,0.0883270646862405,"Day",-0.00449269038414012,0.00139079883740225,-3.23029489478982,0.0839426163327821
"9","S18","SYM","B189","Control","NOPLASTIC","AMBIENT","FED","LIGHT","Day",-0.428571428571424,NA,NA,NA,"Day",-0.00149600934444662,NA,NA,NA
"10","S19","SYM","B1938","Control","NOPLASTIC","AMBIENT","FED","LIGHT","Day",1.91401747344308e-15,NA,NA,NA,"Day",0,NA,NA,NA
