Date,Colony#,Colony,Sym.State,Tile#,Frag#,B.TAG,TANK.ID,Treat.ID,Sump,Temperature,Plastic,Light,Food,Mass,Day,Days.In.Treatment
08/02/2021,5,A1,APO,9,8,G60,A1,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.173,Initial,22
08/02/2021,6,A2,APO,9,4,G62,A1,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.228,Initial,7
08/02/2021,6,A2,APO,9,12,G63,A1,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.144,Initial,22
08/03/2021,7,A3,APO,9,6,G64,A1,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.205,Initial,22
08/02/2021,4,M1,APO,9,8,G59,A1,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.062,Initial,22
08/09/2021,42,S21,SYM,1,1,G4,A1,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.160,Initial,22
08/09/2021,44,S23,SYM,1,2,G24,A1,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.159,Initial,22
08/09/2021,47,S26,SYM,1,1,G25,A1,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.364,Initial,22
08/09/2021,48,S27,SYM,1,6,G26,A1,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.224,Initial,22
08/09/2021,50,S29,SYM,1,1,G27,A1,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.193,Initial,22
08/03/2021,11,A4,APO,25,1,B63,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.173,Initial,22
08/03/2021,11,A4,APO,25,9,B64,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.193,Initial,22
08/03/2021,12,A5,APO,25,5,B65,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.311,Initial,22
