Date,Colony#,Colony,Sym.State,Tile,Frag,B.TAG,TANK.ID,Treat.ID,Sump,Temperature,Plastic,Light,Food,Mass,Day
08/09/2021,43,S22,SYM,5,2,B1,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.242,1
10/8/2021,43,S22,SYM,5,2,B1,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.248,8
10/15/2021,43,S22,SYM,5,2,B1,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.252,15
10/22/2021,43,S22,SYM,5,2,B1,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.241,22
08/02/2021,6,A2,APO,15,10,B10,G1,NDF,Blue,ELEVATED,NOPLASTIC,DARK,FED,0.177,1
10/11/2021,6,A2,APO,15,10,B10,G1,NDF,Blue,ELEVATED,NOPLASTIC,DARK,FED,0.149,8
10/17/2021,6,A2,APO,15,10,B10,G1,NDF,Blue,ELEVATED,NOPLASTIC,DARK,FED,NA,15
08/03/2021,7,A3,APO,15,4,B11,G1,NDF,Blue,ELEVATED,NOPLASTIC,DARK,FED,0.299,1
10/11/2021,7,A3,APO,15,4,B11,G1,NDF,Blue,ELEVATED,NOPLASTIC,DARK,FED,0.277,8
10/17/2021,7,A3,APO,15,4,B11,G1,NDF,Blue,ELEVATED,NOPLASTIC,DARK,FED,0.281,15
08/03/2021,7,A3,APO,15,12,B12,G1,NDF,Blue,ELEVATED,NOPLASTIC,DARK,FED,0.196,1
10/11/2021,7,A3,APO,15,12,B12,G1,NDF,Blue,ELEVATED,NOPLASTIC,DARK,FED,0.217,8
10/17/2021,7,A3,APO,15,12,B12,G1,NDF,Blue,ELEVATED,NOPLASTIC,DARK,FED,0.173,15
08/03/2021,8,S4,SYM,17,1,B13,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.051,1
10/4/2021,8,S4,SYM,17,1,B13,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.041,8
10/11/2021,8,S4,SYM,17,1,B13,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.035,15
10/18/2021,8,S4,SYM,17,1,B13,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.033,22
08/06/2021,34,S20,SYM,87,3,B1315,Tray,Control,Tray,AMBIENT,NOPLASTIC,LIGHT,FED,0.33,1
10/27/2021,34,S20,SYM,87,3,B1315,Tray,Control,Tray,AMBIENT,NOPLASTIC,LIGHT,FED,0.309,22
08/03/2021,8,S4,SYM,17,8,B14,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.119,1
10/4/2021,8,S4,SYM,17,8,B14,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.093,8
10/11/2021,8,S4,SYM,17,8,B14,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.091,15
10/18/2021,8,S4,SYM,17,8,B14,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.089,22
08/03/2021,8,S4,SYM,17,17,B15,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.261,1
10/4/2021,8,S4,SYM,17,17,B15,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.243,8
10/11/2021,8,S4,SYM,17,17,B15,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.24,15
10/18/2021,8,S4,SYM,17,17,B15,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.236,22
08/06/2021,32,S18,SYM,86,3,B189,Tray,Control,Tray,AMBIENT,NOPLASTIC,LIGHT,FED,0.291,1
10/27/2021,32,S18,SYM,86,3,B189,Tray,Control,Tray,AMBIENT,NOPLASTIC,LIGHT,FED,0.282,22
08/06/2021,33,S19,SYM,86,1,B1938,Tray,Control,Tray,AMBIENT,NOPLASTIC,LIGHT,FED,0.252,1
10/27/2021,33,S19,SYM,86,1,B1938,Tray,Control,Tray,AMBIENT,NOPLASTIC,LIGHT,FED,0.252,22
08/09/2021,46,S25,SYM,5,1,B2,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.286,1
10/8/2021,46,S25,SYM,5,1,B2,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.279,8
10/15/2021,46,S25,SYM,5,1,B2,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.27,15
10/22/2021,46,S25,SYM,5,1,B2,E1,PDF,Green,ELEVATED,PLASTIC,DARK,FED,0.261,22
08/03/2021,9,S5,SYM,17,2,B20,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.116,1
10/4/2021,9,S5,SYM,17,2,B20,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.097,8
10/11/2021,9,S5,SYM,17,2,B20,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.098,15
10/18/2021,9,S5,SYM,17,2,B20,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.101,22
08/03/2021,10,S6,SYM,17,3,B21,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.041,1
10/4/2021,10,S6,SYM,17,3,B21,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,0.038,8
10/11/2021,10,S6,SYM,17,3,B21,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,NA,15
10/18/2021,10,S6,SYM,17,3,B21,A2,PDS,Orange,ELEVATED,PLASTIC,DARK,STARVED,NA,22
10/26/2021,5,A1,APO,16,7,B22,H1,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.141,22
08/02/2021,5,A1,APO,16,7,B22,H1,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.114,1
10/12/2021,5,A1,APO,16,7,B22,H1,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.137,8
10/19/2021,5,A1,APO,16,7,B22,H1,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.161,15
08/02/2021,6,A2,APO,16,3,B23,H1,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.162,1
10/12/2021,6,A2,APO,16,3,B23,H1,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.096,8
10/19/2021,6,A2,APO,16,3,B23,H1,NLF,Blue,ELEVATED,NOPLASTIC,LIGHT,FED,0.098,15
08/06/2021,32,S18,SYM,87,4,B233,Tray,Control,Tray,AMBIENT,NOPLASTIC,LIGHT,FED,0.387,1
