"","Treatment","Day","N","Logmass","sd","se","ci"
"1","Control",0,160,-1.55179015431136,0.494777462924335,0.0391155929440103,0.0772531479245745
"2","Control",22,157,-1.62743514334226,0.514176115457867,0.0410357214053433,0.0810573478615735
"3","PDS",0,40,-1.77351480886778,0.496456545990961,0.0784966722315785,0.158774506175916
"4","PDS",8,39,-1.90491929820829,0.517433503621167,0.0828556716517553,0.16773253813882
"5","PDS",15,32,-1.85244023045871,0.487514387121464,0.0861811822648977,0.175767680055598
"6","PDS",22,31,-1.85457502210626,0.500138060044363,0.0898274473293531,0.183452121500588
"7","PLS",0,40,-1.7241137183491,0.400483817234469,0.0633220514249759,0.1280809384554
"8","PLS",8,38,-1.7283965234543,0.380753338843328,0.0617663477274474,0.125150508234189
"9","PLS",15,33,-1.79630138977423,0.367947614877347,0.0640514583123384,0.130468551133647
"10","PLS",22,31,-1.8077501263959,0.361696699324787,0.064962644924316,0.132671420417408
"11","NDS",0,40,-1.74229409201636,0.443006567890992,0.0700454886474775,0.141680373876791
"12","NDS",8,37,-1.74464208706289,0.415012416533327,0.0682276209972281,0.138372028845646
"13","NDS",15,36,-1.78458431442227,0.373610243306359,0.0622683738843932,0.126411519501963
"14","NDS",22,36,-1.79106534762837,0.377403728219016,0.062900621369836,0.127695050134777
"15","NLS",0,40,-1.75870098631614,0.385957954411528,0.061025310849993,0.123435342148702
"16","NLS",8,38,-1.77902674056951,0.409635192682637,0.0664516031021511,0.13464373736178
"17","NLS",15,38,-1.78872717844472,0.39354220785481,0.0638409762331452,0.129354104876019
"18","NLS",22,37,-1.86081870436939,0.431765183023126,0.0709817588427141,0.14395767928795
"19","PDF",0,40,-1.84754043902656,0.559900506751928,0.0885280432209288,0.179064869191595
"20","PDF",8,36,-1.89265269174384,0.461569441626542,0.0769282402710904,0.156172630480688
"21","PDF",15,36,-1.93261238750362,0.481256947861021,0.0802094913101701,0.162833924229703
"22","PDF",22,33,-2.00603607231556,0.530948178701477,0.0924262143823001,0.188266037885099
"23","PLF",0,40,-1.75881562501561,0.448709608959035,0.0709472186157022,0.143504294895844
"24","PLF",8,33,-1.83780056925449,0.444430116108098,0.0773653528482164,0.157588066845088
"25","PLF",15,31,-1.87150910098136,0.46375508206101,0.0832928715800195,0.17010673743411
"26","PLF",22,28,-1.83912259813016,0.425905389715455,0.0804885530877958,0.165148869452883
"27","NDF",0,40,-1.65118650171385,0.409943846411872,0.0648178133715879,0.131106402563348
"28","NDF",8,36,-1.71245051146382,0.390966688256943,0.0651611147094906,0.132284095585367
"29","NDF",15,23,-1.76625098720161,0.385389380114197,0.0803592407783312,0.166654865207396
"30","NLF",0,40,-1.64716876582321,0.485087462497073,0.076699062294113,0.155138496877636
"31","NLF",8,37,-1.78657635718591,0.460919519625595,0.0757747022557196,0.153678219070905
"32","NLF",15,32,-1.72548297996575,0.427007000560283,0.075484886427576,0.153952440868747
