Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
11.10.21 18:19:40,0.03,103.45,110.3,112.04,11.88,103.45,102.22,110.3,95.39,107.64,128.06,128.39,133.74,103.92,127.23,100.85,115.69,108.89,138.31,96.44,105.46,104.23,108.11,121.33,No Sensor,,19.6,1019.8,0,19.04,
11.10.21 18:19:55,0.28,103.45,110.15,112.04,12.11,102.68,101.3,110.3,95.69,107.48,127.56,127.89,136.27,103.3,127.06,100.54,115.53,107.64,139,95.84,105,104.69,107.17,121,No Sensor,,19.6,1019.8,0,19.07,
11.10.21 18:20:10,0.53,103.3,110.62,112.83,11.99,101.46,101,109.67,95.39,107.8,126.73,127.72,141.57,102.84,127.72,99.62,114.89,106.86,137.12,96.89,105.15,102.99,107.02,121.17,No Sensor,,19.6,1019.8,0,19.09,
11.10.21 18:20:25,0.78,103.15,110.62,112.35,11.76,100.54,100.23,109.05,95.54,107.95,126.73,127.06,144.17,102.68,126.24,99.32,115.21,107.02,137.46,95.69,105.46,104.53,106.71,121.33,No Sensor,,19.6,1019.8,0,19.11,
11.10.21 18:20:40,1.03,103.45,110.15,112.83,11.64,99.17,100.08,109.83,95.69,106.24,127.39,126.9,144.52,101.76,125.91,99.17,114.89,106.08,136.78,96.44,104.84,103.61,105.62,120.68,No Sensor,,19.6,1019.8,0,19.14,
11.10.21 18:20:55,1.28,102.99,110.3,113.14,11.99,97.8,99.62,109.36,95.54,105.93,126.07,125.74,147.83,102.07,125.09,97.95,114.89,105.15,134.41,96.29,104.23,103.3,106.08,121.33,No Sensor,,19.6,1019.8,0,19.15,
11.10.21 18:21:10,1.53,103.15,110.3,112.83,11.99,97.35,99.62,109.67,95.84,105.46,126.24,126.07,145.91,101.92,124.27,97.35,114.57,104.69,134.75,95.99,103.3,103.15,104.84,121,No Sensor,,19.6,1019.8,0,19.16,
11.10.21 18:21:25,1.78,103.15,110.15,112.19,11.88,95.69,98.86,109.36,94.64,104.69,126.24,125.25,148.36,101.3,122.96,96.59,114.73,104.38,134.92,96.29,102.68,102.99,104.38,121.17,No Sensor,,19.6,1019.8,0,19.18,
11.10.21 18:21:40,2.03,103.15,110.46,112.51,12.11,94.49,98.56,109.05,94.64,103.92,126.4,125.42,148.89,102.38,122.14,95.99,114.73,103.76,134.58,95.69,101.46,102.53,104.23,120.84,No Sensor,,19.6,1019.8,0,19.18,
11.10.21 18:21:55,2.28,102.68,110.46,112.04,11.76,92.24,98.11,108.58,94.49,103.92,126.24,124.76,147.48,101.46,120.36,94.79,114.57,103.15,133.57,95.69,101,102.07,103.15,120.84,No Sensor,,19.6,1019.8,0,19.2,
11.10.21 18:22:10,2.53,102.99,110.15,112.19,11.64,90.91,97.8,109.2,94.04,103.15,125.74,124.59,148.89,101.61,119.55,93.74,114.89,102.53,132.39,95.09,100.39,101.46,102.53,120.68,No Sensor,,19.6,1019.8,0,19.22,
11.10.21 18:22:25,2.78,102.99,110.3,112.67,11.88,88.83,97.65,109.36,93.44,102.68,126.4,123.12,146.08,101.76,119.06,93.74,114.26,101.76,131.72,95.09,99.47,101.3,102.07,120.68,No Sensor,,19.6,1019.8,0,19.23,
11.10.21 18:22:40,3.03,103.3,110.3,112.51,11.99,86.92,96.89,109.67,93.29,102.53,125.42,122.96,147.31,101.92,117.77,92.09,114.26,101.76,131.72,94.94,98.56,99.78,102.53,120.52,No Sensor,,19.6,1019.8,0,19.23,
11.10.21 18:22:55,3.28,102.84,110.15,112.51,11.76,84.88,96.74,109.36,92.99,101.61,125.25,122.31,146.26,101.92,116.33,91.65,114.1,101.15,131.89,94.79,98.26,101,102.22,120.36,No Sensor,,19.6,1019.8,0,19.25,
11.10.21 18:23:10,3.53,103.15,110.15,112.51,11.76,83.57,96.74,108.89,92.84,101.15,124.76,121.98,145.91,101,115.21,90.46,113.78,101,134.24,94.04,97.2,100.39,101.46,120.03,No Sensor,,19.6,1019.8,0,19.25,
11.10.21 18:23:25,3.78,103.15,109.83,112.67,11.88,82.26,95.69,109.2,92.54,101.3,124.76,122.14,145.21,101.3,114.73,90.16,113.14,100.23,133.4,94.04,96.74,100.54,101.3,119.87,No Sensor,,19.6,1019.8,0,19.25,
11.10.21 18:23:40,4.03,102.99,109.67,112.83,11.3,80.53,95.84,109.05,91.8,101,124.43,121.82,143.3,101.15,113.62,88.83,112.67,100.39,131.39,93.89,95.24,99.78,101.61,119.39,No Sensor,,19.6,1019.8,0,19.27,
11.10.21 18:23:55,4.28,102.84,109.99,112.83,11.76,78.95,95.84,109.2,91.5,100.23,124.59,120.52,141.75,101.15,113.46,89.28,113.14,99.93,131.22,93.59,94.64,100.23,101.3,119.87,No Sensor,,19.6,1019.8,0,19.27,
