Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
18.10.21 11:56:09,0.03,102.46,111.44,100.33,14.28,108.25,120.98,102.95,No Sensor,100.49,109.25,109.59,No Sensor,93.86,111.77,106.59,No Sensor,99.68,No Sensor,114.82,No Sensor,106.92,No Sensor,104.6,No Sensor,,19,1006.5,35,19.86,
18.10.21 11:56:24,0.28,102.95,111.1,99.68,14.15,107.92,121.5,102.62,No Sensor,99.35,109.42,109.59,No Sensor,93.54,111.6,107.42,No Sensor,99.68,No Sensor,119.77,No Sensor,106.92,No Sensor,105.43,No Sensor,,19,1006.5,35,19.88,
18.10.21 11:56:39,0.53,103.28,111.1,99.68,15.18,108.09,122.71,102.62,No Sensor,99.84,108.59,109.42,No Sensor,94.18,111.94,107.59,No Sensor,99.51,No Sensor,125.67,No Sensor,106.42,No Sensor,105.76,No Sensor,,19,1006.5,35,19.9,
18.10.21 11:56:54,0.78,102.95,110.93,99.35,14.41,108.25,121.5,102.46,No Sensor,99.03,108.25,109.09,No Sensor,93.86,111.77,107.42,No Sensor,99.19,No Sensor,128.48,No Sensor,105.92,No Sensor,104.27,No Sensor,,19,1006.5,35,19.93,
18.10.21 11:57:09,1.03,103.28,110.76,100,13.64,107.42,121.15,101.47,No Sensor,98.7,108.59,107.25,No Sensor,94.02,111.1,107.92,No Sensor,98.7,No Sensor,131.85,No Sensor,104.43,No Sensor,104.43,No Sensor,,19,1006.5,35,19.93,
18.10.21 11:57:24,1.28,102.95,110.6,99.19,14.41,107.75,121.15,100.82,No Sensor,98.54,108.42,107.92,No Sensor,93.86,110.09,107.09,No Sensor,99.19,No Sensor,135.24,No Sensor,103.77,No Sensor,103.45,No Sensor,,19,1006.5,35,19.95,
18.10.21 11:57:39,1.53,102.95,110.09,99.19,14.41,107.59,120.12,100.66,No Sensor,97.89,107.92,106.92,No Sensor,94.18,110.43,107.59,No Sensor,98.54,No Sensor,137.22,No Sensor,103.94,No Sensor,102.95,No Sensor,,19,1006.5,35,19.97,
18.10.21 11:57:54,1.78,103.12,110.26,98.38,15.05,107.42,120.81,101.64,No Sensor,97.73,108.09,105.92,No Sensor,93.54,109.92,109.09,No Sensor,99.19,No Sensor,139.03,No Sensor,103.61,No Sensor,102.29,No Sensor,,19,1006.5,35,19.99,
18.10.21 11:58:09,2.03,103.12,109.92,98.54,14.15,107.42,119.95,101.15,No Sensor,97.89,107.59,105.43,No Sensor,94.02,110.26,110.6,No Sensor,97.89,No Sensor,139.03,No Sensor,104.1,No Sensor,102.95,No Sensor,,19,1006.5,35,19.99,
18.10.21 11:58:24,2.28,102.79,109.76,98.54,14.28,106.75,119.6,100.33,No Sensor,97.56,106.92,104.43,No Sensor,94.02,109.42,110.6,No Sensor,98.21,No Sensor,140.3,No Sensor,101.64,No Sensor,102.13,No Sensor,,19,1006.5,35,20,
18.10.21 11:58:39,2.53,102.95,109.42,98.38,14.67,106.75,118.74,100.49,No Sensor,97.24,106.42,102.95,No Sensor,93.06,109.76,110.09,No Sensor,98.54,No Sensor,141.03,No Sensor,100.98,No Sensor,101.8,No Sensor,,19,1006.5,35,20,
18.10.21 11:58:54,2.78,102.95,109.92,98.38,14.02,107.25,119.43,100.66,No Sensor,96.59,106.42,101.8,No Sensor,93.86,109.25,110.26,No Sensor,98.21,No Sensor,140.84,No Sensor,100.33,No Sensor,101.47,No Sensor,,19,1006.5,35,20.04,
18.10.21 11:59:09,3.03,103.12,109.42,98.54,14.15,106.42,119.26,100,No Sensor,96.76,107.09,100.49,No Sensor,93.06,108.92,110.09,No Sensor,98.54,No Sensor,140.84,No Sensor,99.51,No Sensor,100.98,No Sensor,,19,1006.5,35,20.04,
18.10.21 11:59:24,3.28,103.12,110.09,98.7,15.44,106.26,118.4,100.33,No Sensor,96.11,105.76,99.51,No Sensor,93.38,108.59,109.76,No Sensor,98.21,No Sensor,139.75,No Sensor,99.68,No Sensor,101.15,No Sensor,,19,1006.5,35,20.04,
18.10.21 11:59:39,3.53,102.95,109.59,98.54,13.9,105.92,118.23,99.35,No Sensor,95.63,105.26,98.54,No Sensor,94.82,108.59,108.92,No Sensor,98.21,No Sensor,141.21,No Sensor,98.7,No Sensor,100.49,No Sensor,,19,1006.5,35,20.06,
18.10.21 11:59:54,3.78,103.12,109.09,99.03,14.02,105.76,117.37,99.35,No Sensor,95.95,105.43,97.4,No Sensor,93.7,107.92,107.92,No Sensor,98.05,No Sensor,139.03,No Sensor,97.56,No Sensor,100.17,No Sensor,,19,1006.5,35,20.08,
18.10.21 12:00:09,4.03,102.62,110.09,98.05,14.41,105.76,116.18,99.51,No Sensor,95.63,104.27,96.59,No Sensor,93.54,109.09,107.09,No Sensor,97.4,No Sensor,138.12,No Sensor,97.24,No Sensor,100,No Sensor,,19,1006.5,35,20.06,
18.10.21 12:00:24,4.28,102.95,109.59,98.38,14.41,105.59,116.01,99.84,No Sensor,94.98,104.27,95.79,No Sensor,93.54,108.75,106.75,No Sensor,97.56,No Sensor,137.22,No Sensor,96.27,No Sensor,99.68,No Sensor,,19,1006.5,35,20.09,
18.10.21 12:00:39,4.53,103.12,109.09,98.05,13.77,105.43,115.33,99.19,No Sensor,95.95,105.1,95.14,No Sensor,93.22,108.25,105.43,No Sensor,96.76,No Sensor,136.68,No Sensor,95.79,No Sensor,99.03,No Sensor,,19,1006.5,35,20.09,
18.10.21 12:00:54,4.78,102.46,109.09,97.4,14.02,105.43,114.65,98.7,No Sensor,95.46,104.77,93.7,No Sensor,93.86,107.92,105.76,No Sensor,97.08,No Sensor,134.52,No Sensor,95.79,No Sensor,98.7,No Sensor,,19,1006.5,35,20.09,
18.10.21 12:01:09,5.03,102.29,109.76,97.24,14.54,105.26,114.48,98.7,No Sensor,95.14,103.94,93.7,No Sensor,93.38,107.59,105.1,No Sensor,97.08,No Sensor,132.91,No Sensor,95.14,No Sensor,98.7,No Sensor,,19,1006.5,35,20.11,
18.10.21 12:01:24,5.28,102.79,109.42,97.24,15.05,104.93,114.48,98.86,No Sensor,95.14,103.77,92.58,No Sensor,92.74,108.09,104.43,No Sensor,97.4,No Sensor,132.02,No Sensor,94.66,No Sensor,98.21,No Sensor,,19,1006.5,35,20.11,
18.10.21 12:01:39,5.53,102.95,109.42,97.73,14.15,105.26,113.46,98.05,No Sensor,94.82,103.94,92.42,No Sensor,92.74,107.59,103.77,No Sensor,96.76,No Sensor,129.72,No Sensor,94.02,No Sensor,97.56,No Sensor,,19,1006.5,35,20.13,
18.10.21 12:01:55,5.8,102.62,109.09,96.92,12.87,104.43,113.12,98.05,No Sensor,94.34,103.28,92.1,No Sensor,92.74,107.59,103.94,No Sensor,96.27,No Sensor,126.9,No Sensor,93.7,No Sensor,97.4,No Sensor,,19,1006.5,35,20.13,
18.10.21 12:02:10,6.05,102.95,108.75,97.56,13.9,104.93,113.12,97.73,No Sensor,94.34,102.13,91.3,No Sensor,92.74,106.75,103.28,No Sensor,95.95,No Sensor,126.55,No Sensor,92.74,No Sensor,97.08,No Sensor,,19,1006.5,35,20.13,
18.10.21 12:02:25,6.3,102.95,109.09,97.4,13.9,104.43,113.8,97.73,No Sensor,94.02,102.95,90.03,No Sensor,92.58,106.59,102.13,No Sensor,96.27,No Sensor,125.15,No Sensor,92.42,No Sensor,96.59,No Sensor,,19,1006.5,35,20.15,
18.10.21 12:02:40,6.55,102.62,109.09,97.24,14.28,104.43,113.12,97.24,No Sensor,94.98,102.29,90.19,No Sensor,92.9,105.43,102.62,No Sensor,95.63,No Sensor,122.71,No Sensor,92.1,No Sensor,96.11,No Sensor,,19,1006.5,35,20.15,
