Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
18.10.21 11:45:27,0.03,105.12,111.45,106.06,33.7,148.34,120.68,127.14,116.12,No Sensor,No Sensor,110.34,No Sensor,No Sensor,138.7,148.87,No Sensor,129.66,115.47,124.48,No Sensor,119.37,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.57,
18.10.21 11:45:42,0.28,105.59,111.45,105.44,33.57,147.99,121.51,127.31,116.77,No Sensor,No Sensor,109.54,No Sensor,No Sensor,138.7,147.99,No Sensor,129.32,115.63,124.31,No Sensor,118.72,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.57,
18.10.21 11:45:57,0.53,105.12,111.61,106.06,33.32,148.34,120.85,127.14,117.58,No Sensor,No Sensor,108.91,No Sensor,No Sensor,138.53,148.16,No Sensor,128.32,114.99,123.82,No Sensor,119.05,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.59,
18.10.21 11:46:12,0.78,105.28,111.61,106.06,33.57,148.16,120.03,127.14,117.91,No Sensor,No Sensor,109.38,No Sensor,No Sensor,138.01,147.45,No Sensor,128.15,115.31,124.48,No Sensor,120.36,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.64,
18.10.21 11:46:27,1.03,105.28,111.77,105.91,33.57,147.81,120.36,126.31,118.23,No Sensor,No Sensor,109.07,No Sensor,No Sensor,137.84,147.81,No Sensor,127.14,114.34,124.48,No Sensor,119.05,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.64,
18.10.21 11:46:43,1.3,105.44,111.61,106.22,33.7,148.16,119.7,125.64,117.74,No Sensor,No Sensor,109.07,No Sensor,No Sensor,137.32,147.28,No Sensor,126.98,114.02,123.82,No Sensor,118.72,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.64,
18.10.21 11:46:58,1.55,104.96,111.77,105.75,33.57,147.1,119.21,125.81,117.25,No Sensor,No Sensor,108.27,No Sensor,No Sensor,136.98,146.92,No Sensor,126.98,114.18,123.65,No Sensor,117.58,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.65,
18.10.21 11:47:13,1.8,105.28,111.77,106.22,33.44,147.1,119.54,124.98,117.91,No Sensor,No Sensor,108.91,No Sensor,No Sensor,134.92,146.92,No Sensor,126.64,113.86,123.82,No Sensor,116.93,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.68,
18.10.21 11:47:28,2.05,105.12,111.29,106.54,33.44,147.45,119.54,124.15,117.25,No Sensor,No Sensor,107.96,No Sensor,No Sensor,134.58,146.21,No Sensor,126.64,113.54,123.49,No Sensor,116.77,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.68,
18.10.21 11:47:43,2.3,105.44,111.61,106.22,33.57,146.92,119.37,123.82,116.93,No Sensor,No Sensor,108.91,No Sensor,No Sensor,134.07,146.57,No Sensor,125.98,113.22,123.49,No Sensor,115.8,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.7,
18.10.21 11:47:58,2.55,105.75,111.29,105.91,33.32,146.92,118.07,123.49,115.63,No Sensor,No Sensor,109.38,No Sensor,No Sensor,133.9,145.86,No Sensor,125.81,113.06,122.99,No Sensor,116.61,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.72,
18.10.21 11:48:13,2.8,105.12,111.45,106.06,33.95,146.39,118.72,122.99,115.47,No Sensor,No Sensor,108.27,No Sensor,No Sensor,133.9,145.69,No Sensor,124.98,112.57,123.32,No Sensor,115.63,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.72,
18.10.21 11:48:28,3.05,105.28,111.45,106.06,33.44,144.98,118.56,122.33,115.31,No Sensor,No Sensor,108.59,No Sensor,No Sensor,132.71,145.51,No Sensor,124.81,112.41,123.98,No Sensor,114.99,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.72,
18.10.21 11:48:43,3.3,105.91,111.93,106.22,33.44,146.39,117.91,121.67,114.66,No Sensor,No Sensor,108.11,No Sensor,No Sensor,132.71,144.98,No Sensor,125.31,112.41,122.99,No Sensor,114.5,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.75,
18.10.21 11:48:58,3.55,105.75,111.29,105.91,33.44,145.69,118.72,121.01,113.54,No Sensor,No Sensor,108.43,No Sensor,No Sensor,132.88,145.33,No Sensor,124.81,112.41,122.82,No Sensor,114.83,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.75,
18.10.21 11:49:14,3.82,106.06,111.61,106.22,33.19,144.98,118.39,120.85,113.06,No Sensor,No Sensor,109.07,No Sensor,No Sensor,132.2,145.16,No Sensor,123.82,112.09,122.66,No Sensor,114.18,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.75,
18.10.21 11:49:29,4.07,106.22,111.77,105.91,33.95,145.33,118.39,120.19,112.57,No Sensor,No Sensor,108.91,No Sensor,No Sensor,131.86,144.81,No Sensor,124.81,111.61,121.34,No Sensor,114.02,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.77,
18.10.21 11:49:44,4.32,105.75,111.45,105.91,33.06,146.21,118.72,119.54,112.25,No Sensor,No Sensor,107.96,No Sensor,No Sensor,131.52,144.28,No Sensor,124.48,111.93,122,No Sensor,114.66,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.77,
18.10.21 11:49:59,4.57,105.44,111.77,105.75,33.19,145.86,118.56,119.7,111.93,No Sensor,No Sensor,108.75,No Sensor,No Sensor,131.69,144.28,No Sensor,123.98,111.13,122.16,No Sensor,113.54,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.79,
18.10.21 11:50:14,4.82,105.44,111.61,105.91,33.19,145.69,118.56,118.72,111.77,No Sensor,No Sensor,107.64,No Sensor,No Sensor,131.35,144.28,No Sensor,123.65,111.45,121.83,No Sensor,114.34,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.79,
18.10.21 11:50:29,5.07,105.59,111.61,105.91,33.44,145.69,118.72,118.72,111.45,No Sensor,No Sensor,108.27,No Sensor,No Sensor,130.67,143.23,No Sensor,123.98,111.45,121.83,No Sensor,113.7,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.8,
18.10.21 11:50:44,5.32,106.06,111.45,105.59,33.44,144.98,118.23,118.07,110.97,No Sensor,No Sensor,107.32,No Sensor,No Sensor,130.17,143.75,No Sensor,123.49,111.61,121.83,No Sensor,113.86,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.82,
18.10.21 11:50:59,5.57,105.91,111.13,105.75,33.32,145.33,118.56,117.25,110.18,No Sensor,No Sensor,107.48,No Sensor,No Sensor,130.17,143.23,No Sensor,122.66,111.29,121.51,No Sensor,113.22,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.82,
18.10.21 11:51:15,5.83,106.54,111.29,105.59,33.19,144.98,117.91,116.61,110.34,No Sensor,No Sensor,106.38,No Sensor,No Sensor,130,142.7,No Sensor,123.15,110.5,121.51,No Sensor,113.7,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.84,
18.10.21 11:51:30,6.08,106.22,111.77,105.91,33.19,144.98,118.39,116.44,110.18,No Sensor,No Sensor,106.54,No Sensor,No Sensor,129.32,143.4,No Sensor,122.33,110.02,121.01,No Sensor,113.22,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.84,
18.10.21 11:51:45,6.33,106.06,111.29,105.59,33.19,144.28,118.07,116.28,110.18,No Sensor,No Sensor,105.75,No Sensor,No Sensor,129.66,142.88,No Sensor,122.49,110.66,121.67,No Sensor,113.22,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.84,
18.10.21 11:52:00,6.58,105.91,111.29,105.75,33.06,145.51,118.23,115.63,110.34,No Sensor,No Sensor,106.06,No Sensor,No Sensor,128.82,142.88,No Sensor,122.49,110.5,121.34,No Sensor,113.06,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.86,
18.10.21 11:52:15,6.83,106.06,111.45,106.06,33.19,144.1,118.56,115.47,109.86,No Sensor,No Sensor,105.91,No Sensor,No Sensor,128.32,143.23,No Sensor,122.66,110.18,121.18,No Sensor,113.06,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.86,
18.10.21 11:52:30,7.08,106.06,111.61,105.59,32.81,145.16,117.74,114.99,108.91,No Sensor,No Sensor,105.75,No Sensor,No Sensor,128.65,142.35,No Sensor,122,110.02,121.18,No Sensor,112.09,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.86,
18.10.21 11:52:45,7.33,105.75,111.61,105.75,33.32,144.63,117.74,115.31,109.54,No Sensor,No Sensor,105.28,No Sensor,No Sensor,128.32,142.88,No Sensor,122.16,109.86,120.85,No Sensor,112.41,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.88,
18.10.21 11:53:00,7.58,106.22,111.29,105.59,33.44,144.45,117.09,114.66,109.54,No Sensor,No Sensor,104.96,No Sensor,No Sensor,127.81,141.83,No Sensor,122.49,110.5,120.52,No Sensor,111.61,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.88,
18.10.21 11:53:15,7.83,105.75,111.13,105.75,33.32,144.1,118.39,113.86,109.54,No Sensor,No Sensor,104.49,No Sensor,No Sensor,127.31,142,No Sensor,121.67,110.18,120.68,No Sensor,111.93,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.89,
18.10.21 11:53:31,8.1,105.75,111.29,106.06,33.19,144.28,117.91,113.86,109.38,No Sensor,No Sensor,103.87,No Sensor,No Sensor,126.81,142,No Sensor,121.67,109.86,120.36,No Sensor,112.09,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.89,
18.10.21 11:53:46,8.35,106.22,111.45,105.44,33.19,144.1,117.58,113.22,109.54,No Sensor,No Sensor,103.56,No Sensor,No Sensor,127.65,141.48,No Sensor,121.51,109.54,120.85,No Sensor,112.57,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.89,
18.10.21 11:54:01,8.6,106.06,111.61,105.91,33.06,144.81,117.25,113.38,109.86,No Sensor,No Sensor,103.4,No Sensor,No Sensor,126.98,141.83,No Sensor,121.01,109.07,121.01,No Sensor,112.89,No Sensor,No Sensor,No Sensor,,19,1006.5,35,19.89,
