Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
25.10.21 11:59:03,0.05,117.74,121.78,108.85,46.63,123.41,No Sensor,122.92,118.22,132.69,No Sensor,118.22,No Sensor,111.68,No Sensor,111.84,No Sensor,120.48,No Sensor,127.36,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,19.75,
25.10.21 11:59:18,0.3,117.25,121.29,109.32,46.76,122.27,No Sensor,124.72,117.25,132.69,No Sensor,118.22,No Sensor,110.89,No Sensor,112.16,No Sensor,119.83,No Sensor,126.86,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,19.77,
25.10.21 11:59:33,0.55,117.41,121.13,109.32,46.37,121.62,No Sensor,125.05,117.09,132.02,No Sensor,116.29,No Sensor,112.95,No Sensor,112.47,No Sensor,121.29,No Sensor,126.36,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,19.79,
25.10.21 11:59:49,0.82,117.25,121.29,109.79,47.02,121.94,No Sensor,124.72,116.77,132.69,No Sensor,116.13,No Sensor,112.95,No Sensor,111.84,No Sensor,122.1,No Sensor,125.38,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,19.8,
25.10.21 12:00:04,1.07,117.25,120.97,110.26,46.24,122.59,No Sensor,124.88,117.09,132.02,No Sensor,115.01,No Sensor,113.11,No Sensor,112.16,No Sensor,122.76,No Sensor,124.39,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,19.82,
25.10.21 12:00:19,1.32,117.41,120.97,110.58,45.85,121.45,No Sensor,123.57,116.77,131.35,No Sensor,114.22,No Sensor,113.74,No Sensor,111.37,No Sensor,120.64,No Sensor,125.71,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,19.86,
25.10.21 12:00:34,1.57,116.93,120.97,110.58,46.37,122.43,No Sensor,122.76,115.65,130.68,No Sensor,113.42,No Sensor,114.06,No Sensor,111.84,No Sensor,120.8,No Sensor,124.88,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,19.86,
25.10.21 12:00:49,1.82,116.93,120.64,110.26,45.98,121.45,No Sensor,121.62,115.97,130.51,No Sensor,112.95,No Sensor,113.42,No Sensor,111.37,No Sensor,122.59,No Sensor,125.05,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,19.88,
25.10.21 12:01:04,2.07,116.93,120.48,110.11,46.76,121.62,No Sensor,120.32,116.45,130.34,No Sensor,111.84,No Sensor,113.58,No Sensor,111.21,No Sensor,123.57,No Sensor,124.23,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,19.88,
25.10.21 12:01:19,2.32,116.45,120.8,110.42,46.24,121.94,No Sensor,118.86,116.45,128.85,No Sensor,111.37,No Sensor,113.42,No Sensor,110.74,No Sensor,123.08,No Sensor,124.06,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,19.89,
25.10.21 12:01:34,2.57,116.93,120.64,109.64,46.76,121.94,No Sensor,118.38,115.49,129.68,No Sensor,109.64,No Sensor,112.47,No Sensor,110.42,No Sensor,121.78,No Sensor,123.57,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,19.91,
25.10.21 12:01:49,2.82,116.93,120.48,109.64,46.76,121.62,No Sensor,116.93,116.29,129.68,No Sensor,109.95,No Sensor,112.63,No Sensor,110.42,No Sensor,124.23,No Sensor,123.41,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,19.93,
25.10.21 12:02:04,3.07,116.77,120.48,109.48,46.76,121.29,No Sensor,116.13,115.65,128.51,No Sensor,109.48,No Sensor,112.47,No Sensor,109.79,No Sensor,123.25,No Sensor,122.92,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,19.93,
25.10.21 12:02:20,3.33,116.45,120.48,109.32,46.5,121.13,No Sensor,115.49,115.49,128.68,No Sensor,109.48,No Sensor,111.68,No Sensor,109.95,No Sensor,125.87,No Sensor,122.59,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,19.95,
25.10.21 12:02:35,3.58,116.45,120.8,108.7,46.76,121.13,No Sensor,114.85,115.81,127.19,No Sensor,108.38,No Sensor,110.74,No Sensor,109.95,No Sensor,124.88,No Sensor,122.27,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,19.95,
25.10.21 12:02:50,3.83,116.45,120.64,108.7,47.02,121.78,No Sensor,115.01,115.49,127.85,No Sensor,107.76,No Sensor,110.74,No Sensor,109.64,No Sensor,129.84,No Sensor,122.59,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,19.97,
25.10.21 12:03:05,4.08,115.97,120.16,108.7,46.5,120.64,No Sensor,114.38,115.17,127.69,No Sensor,106.82,No Sensor,110.11,No Sensor,109.95,No Sensor,129.51,No Sensor,122.92,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,19.97,
25.10.21 12:03:20,4.33,116.13,120.32,108.38,46.5,121.45,No Sensor,114.54,114.85,127.36,No Sensor,106.67,No Sensor,110.26,No Sensor,109.64,No Sensor,128.68,No Sensor,121.45,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,19.98,
25.10.21 12:03:35,4.58,115.97,119.99,108.07,46.63,120.48,No Sensor,113.74,115.33,127.36,No Sensor,106.05,No Sensor,109.79,No Sensor,109.64,No Sensor,128.02,No Sensor,122.43,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,20,
25.10.21 12:03:50,4.83,116.45,119.83,108.23,46.24,120.97,No Sensor,113.42,115.17,128.18,No Sensor,105.58,No Sensor,109.48,No Sensor,109.32,No Sensor,129.51,No Sensor,121.62,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,20,
25.10.21 12:04:05,5.08,116.29,120.16,107.91,45.72,121.62,No Sensor,112.95,115.33,127.02,No Sensor,104.81,No Sensor,109.32,No Sensor,109.32,No Sensor,129.84,No Sensor,121.62,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,20.02,
25.10.21 12:04:20,5.33,115.81,119.99,107.91,46.24,121.29,No Sensor,113.74,115.17,127.85,No Sensor,105.11,No Sensor,108.54,No Sensor,109.01,No Sensor,129.01,No Sensor,120.32,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,20.02,
25.10.21 12:04:35,5.58,115.49,119.99,107.6,45.98,120.48,No Sensor,112.95,115.65,127.85,No Sensor,104.34,No Sensor,108.7,No Sensor,109.48,No Sensor,127.85,No Sensor,119.83,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,20.02,
25.10.21 12:04:51,5.85,114.7,120.16,107.6,46.37,120.8,No Sensor,112.63,115.49,126.86,No Sensor,104.5,No Sensor,108.23,No Sensor,109.17,No Sensor,127.85,No Sensor,120.16,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,20.04,
25.10.21 12:05:06,6.1,115.33,120.32,107.6,46.11,120.32,No Sensor,112.47,114.54,127.52,No Sensor,103.42,No Sensor,108.23,No Sensor,109.17,No Sensor,127.52,No Sensor,119.67,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,20.05,
25.10.21 12:05:21,6.35,114.85,119.67,107.45,46.11,120.48,No Sensor,112.16,115.17,127.52,No Sensor,103.11,No Sensor,107.45,No Sensor,108.7,No Sensor,127.36,No Sensor,118.54,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,20.05,
25.10.21 12:05:36,6.6,114.54,119.83,107.13,45.72,121.13,No Sensor,112.47,115.17,126.2,No Sensor,102.8,No Sensor,108.38,No Sensor,108.7,No Sensor,126.69,No Sensor,117.9,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,20.05,
25.10.21 12:05:51,6.85,115.49,119.67,106.98,45.98,120.64,No Sensor,112,115.81,127.19,No Sensor,102.95,No Sensor,108.07,No Sensor,109.32,No Sensor,127.36,No Sensor,118.06,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,20.07,
25.10.21 12:06:06,7.1,114.85,119.83,107.29,45.85,121.29,No Sensor,111.84,115.17,127.85,No Sensor,101.88,No Sensor,107.6,No Sensor,108.38,No Sensor,126.36,No Sensor,117.74,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,20.07,
25.10.21 12:06:21,7.35,113.9,119.83,107.29,46.24,120.48,No Sensor,111.37,115.33,126.53,No Sensor,101.73,No Sensor,107.6,No Sensor,108.38,No Sensor,125.21,No Sensor,117.09,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,20.07,
25.10.21 12:06:36,7.6,114.54,120.16,106.98,45.98,120.97,No Sensor,110.89,115.33,127.02,No Sensor,101.27,No Sensor,107.29,No Sensor,108.38,No Sensor,126.2,No Sensor,116.93,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,20.09,
25.10.21 12:06:51,7.85,116.29,120.16,106.82,45.59,120.97,No Sensor,111.21,114.7,127.36,No Sensor,100.96,No Sensor,107.45,No Sensor,108.54,No Sensor,124.56,No Sensor,117.09,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,20.09,
25.10.21 12:07:06,8.1,114.22,119.99,106.36,46.11,120.97,No Sensor,110.89,115.01,126.86,No Sensor,100.65,No Sensor,107.29,No Sensor,108.54,No Sensor,123.57,No Sensor,116.93,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,20.09,
25.10.21 12:07:21,8.35,114.06,119.67,106.2,45.85,121.13,No Sensor,110.26,115.01,126.2,No Sensor,100.5,No Sensor,107.45,No Sensor,108.38,No Sensor,123.25,No Sensor,116.61,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,20.11,
25.10.21 12:07:36,8.6,114.22,119.83,106.67,45.59,120.48,No Sensor,109.95,114.85,127.19,No Sensor,100.04,No Sensor,107.13,No Sensor,108.38,No Sensor,122.92,No Sensor,116.13,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,20.11,
25.10.21 12:07:52,8.87,113.9,120.32,106.67,46.24,120.64,No Sensor,110.11,115.17,126.36,No Sensor,99.89,No Sensor,107.13,No Sensor,108.07,No Sensor,122.76,No Sensor,116.61,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,20.13,
25.10.21 12:08:07,9.12,113.9,119.83,106.36,46.5,119.99,No Sensor,109.79,114.38,127.69,No Sensor,99.28,No Sensor,106.67,No Sensor,108.7,No Sensor,122.43,No Sensor,116.13,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,20.13,
25.10.21 12:08:22,9.37,114.54,119.67,106.98,45.85,120.64,No Sensor,109.64,115.81,126.36,No Sensor,99.43,No Sensor,106.36,No Sensor,108.7,No Sensor,122.43,No Sensor,116.45,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,20.13,
25.10.21 12:08:37,9.62,114.85,120.16,106.82,45.85,119.67,No Sensor,109.32,114.22,126.69,No Sensor,98.52,No Sensor,105.89,No Sensor,109.01,No Sensor,121.78,No Sensor,115.97,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,20.14,
25.10.21 12:08:52,9.87,115.17,119.99,106.51,45.21,119.99,No Sensor,109.32,115.17,126.86,No Sensor,98.52,No Sensor,105.89,No Sensor,107.76,No Sensor,121.62,No Sensor,116.29,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,20.14,
25.10.21 12:09:07,10.12,114.85,120.16,106.2,45.59,119.99,No Sensor,109.32,114.85,126.53,No Sensor,97.61,No Sensor,105.58,No Sensor,109.01,No Sensor,120.64,No Sensor,117.25,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,,19.8,1017.7,35,20.14,
