Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
13.10.21 12:56:27,0.03,90.01,92.37,89.22,0.99,103.3,85.63,96.03,112.73,97.8,94.76,87.97,101.51,105.6,100.54,97.48,97.8,124.82,No Sensor,102.65,105.93,87.03,No Sensor,95.71,No Sensor,,19.2,1016.5,35,18.67,
13.10.21 12:56:42,0.28,90.01,92.69,89.38,0.99,103.14,85.47,95.87,112.56,97.48,94.92,88.91,101.84,105.93,100.54,97.16,97.8,124.99,No Sensor,103.14,105.76,87.34,No Sensor,95.08,No Sensor,,19.2,1016.5,35,18.7,
13.10.21 12:56:57,0.53,89.69,92.85,89.22,0.74,103.96,85.01,94.28,113.4,97.8,94.6,88.44,102.16,105.93,100.7,96.99,97.96,123.95,No Sensor,102.49,106.58,86.09,No Sensor,95.55,No Sensor,,19.2,1016.5,35,18.7,
13.10.21 12:57:12,0.78,90.01,92.69,89.22,0.62,102.82,85.01,92.37,113.4,97.48,94.44,88.91,101.03,105.43,100.7,97.96,97.48,123.78,No Sensor,102.65,105.6,86.41,No Sensor,95.23,No Sensor,,19.2,1016.5,35,18.74,
13.10.21 12:57:27,1.03,90.16,93.32,89.53,0.74,102.82,84.85,91.27,113.23,97.48,94.44,88.28,101.19,105.1,100.38,98.12,96.83,121.89,No Sensor,102.33,105.27,86.25,No Sensor,94.92,No Sensor,,19.2,1016.5,35,18.74,
13.10.21 12:57:42,1.28,89.85,93.01,89.69,0.86,102.98,84.23,89.85,112.23,97.96,94.28,88.59,101.19,104.28,100.86,98.12,96.03,122.06,No Sensor,102,104.94,85.47,No Sensor,95.39,No Sensor,,19.2,1016.5,35,18.75,
13.10.21 12:57:57,1.53,89.69,92.85,89.06,0.86,102.82,84.08,88.12,112.9,96.99,93.96,88.28,102.16,105.43,100.38,97.8,95.71,121.37,No Sensor,102.98,104.45,85.16,No Sensor,95.55,No Sensor,,19.2,1016.5,35,18.77,
13.10.21 12:58:12,1.78,90.01,92.69,89.22,0.5,102.16,83.92,86.25,112.39,97.48,93.8,88.59,102.33,104.12,100.54,96.99,95.71,121.03,No Sensor,102.65,103.79,84.23,No Sensor,95.39,No Sensor,,19.2,1016.5,35,18.77,
13.10.21 12:58:27,2.03,90.32,92.85,89.53,0.37,102.33,83.92,85.01,112.73,97.16,93.96,88.28,101.84,102.98,99.89,97.96,94.6,120.17,No Sensor,101.84,102.98,84.23,No Sensor,95.55,No Sensor,,19.2,1016.5,35,18.79,
13.10.21 12:58:42,2.28,90.01,93.01,89.22,0.62,101.19,83.15,83.61,112.9,97.16,93.17,87.97,102.16,102.98,100.7,97.16,93.32,120.34,No Sensor,101.51,103.63,83.77,No Sensor,95.55,No Sensor,,19.2,1016.5,35,18.81,
13.10.21 12:58:57,2.53,90.01,92.85,88.91,0.62,100.86,83,82.23,112.39,97.32,93.17,87.81,101.84,101.51,100.54,97.32,93.8,120.69,No Sensor,100.54,103.47,83.15,No Sensor,95.23,No Sensor,,19.2,1016.5,35,18.79,
13.10.21 12:59:12,2.78,89.69,93.01,89.06,0.62,100.54,82.38,81,111.56,97.48,93.17,87.65,101.84,101.35,100.22,97.64,93.17,119.49,No Sensor,100.7,101.84,83.46,No Sensor,95.39,No Sensor,,19.2,1016.5,35,18.81,
