Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
20.10.21 12:47:02,0.03,108.92,129.74,137.55,24.99,124.91,129.58,114.65,116.26,132.61,133.62,119.82,119.34,148,110.82,106.24,115.29,122.44,133.96,115.29,119.99,116.1,132.27,118.04,No Sensor,,19.1,1012.5,35,19.41,
20.10.21 12:47:18,0.3,109.08,129.91,137.55,24.87,124.91,129.41,113.69,116.1,132.44,135.15,119.99,118.36,146.94,110.82,106.09,114.49,122.44,132.44,114.81,121.95,116.26,131.09,117.87,No Sensor,,19.1,1012.5,35,19.45,
20.10.21 12:47:33,0.55,108.76,129.74,137.89,25.11,125.08,129.24,113.53,115.94,132.1,135.5,119.66,119.01,147.11,110.5,105.62,114.81,121.95,131.76,114.49,122.94,115.29,131.76,117.55,No Sensor,,19.1,1012.5,35,19.45,
20.10.21 12:47:48,0.8,108.92,130.25,137.89,25.11,125.08,129.41,114.01,116.1,132.27,135.32,119.99,118.36,147.29,110.82,104.37,114.81,121.62,132.61,114.33,122.77,114.49,130.58,117.39,No Sensor,,19.1,1012.5,35,19.47,
20.10.21 12:48:03,1.05,109.39,130.25,137.38,25.11,125.58,127.9,113.21,115.77,131.93,133.96,119.17,117.87,147.29,110.02,104.37,114.17,120.48,130.92,114.97,122.77,114.97,129.91,117.23,No Sensor,,19.1,1012.5,35,19.48,
20.10.21 12:48:19,1.32,109.08,130.25,137.38,24.62,124.91,128.41,113.05,115.77,131.76,133.12,118.2,117.39,146.94,109.55,103.13,114.49,119.5,130.08,113.69,122.94,114.81,129.41,116.9,No Sensor,,19.1,1012.5,35,19.48,
20.10.21 12:48:34,1.57,109.55,130.08,137.72,25.23,125.25,127.24,113.37,115.77,131.59,131.26,117.71,116.9,145.71,109.39,101.89,113.69,120.15,129.41,114.33,121.79,114.17,129.58,116.9,No Sensor,,19.1,1012.5,35,19.52,
20.10.21 12:48:49,1.82,108.76,130.25,138.06,24.5,124.91,126.24,113.21,115.45,131.93,129.91,118.04,117.07,145.71,109.71,100.96,114.33,119.99,128.57,113.53,120.31,114.33,128.57,116.9,No Sensor,,19.1,1012.5,35,19.54,
20.10.21 12:49:04,2.07,109.08,130.08,137.55,25.11,123.92,126.24,112.89,115.61,131.43,128.41,117.07,117.07,144.83,109.39,100.04,114.49,119.17,129.07,113.05,120.15,114.17,127.9,116.42,No Sensor,,19.1,1012.5,35,19.54,
20.10.21 12:49:19,2.32,108.92,130.42,137.2,25.11,124.91,125.74,112.73,114.97,131.93,128.07,116.26,116.58,144.83,109.23,98.96,114.81,119.66,128.74,112.89,118.85,113.85,127.74,116.26,No Sensor,,19.1,1012.5,35,19.55,
20.10.21 12:49:34,2.57,109.87,130.42,137.72,25.11,124.09,124.75,112.41,114.65,131.76,126.9,116.26,116.58,144.13,108.6,98.04,114.81,118.52,128.24,112.89,118.04,113.21,127.07,116.26,No Sensor,,19.1,1012.5,35,19.57,
20.10.21 12:49:49,2.82,109.08,130.25,137.2,25.11,124.58,124.25,112.41,115.45,131.09,126.07,115.61,115.61,144.13,109.08,97.28,114.01,119.66,127.4,113.21,117.39,113.21,126.41,115.61,No Sensor,,19.1,1012.5,35,19.59,
20.10.21 12:50:04,3.07,109.39,130.42,137.2,25.11,124.09,124.42,111.93,114.49,131.43,125.25,115.45,115.94,143.95,108.6,96.67,114.49,119.17,126.9,112.89,116.42,113.21,126.74,115.77,No Sensor,,19.1,1012.5,35,19.59,
20.10.21 12:50:19,3.32,109.23,130.42,136.52,24.99,124.09,123.43,112.41,114.49,130.25,124.58,114.81,116.26,142.73,108.92,96.67,113.85,118.69,127.4,113.53,115.29,112.25,125.74,114.81,No Sensor,,19.1,1012.5,35,19.61,
20.10.21 12:50:34,3.57,109.23,130.08,137.03,25.11,123.1,124.09,111.93,114.33,130.58,123.59,115.13,115.45,143.26,108.29,95.3,113.85,118.52,127.24,111.61,115.45,111.93,126.07,114.33,No Sensor,,19.1,1012.5,35,19.61,
20.10.21 12:50:49,3.82,109.08,130.25,137.2,25.11,123.26,123.43,111.93,113.53,129.58,122.44,114.49,115.45,142.73,107.81,94.7,113.37,118.52,126.74,111.77,115.29,112.57,125.74,114.65,No Sensor,,19.1,1012.5,35,19.64,
20.10.21 12:51:05,4.08,109.08,130.25,137.38,24.62,123.43,122.44,112.09,113.37,129.07,122.28,113.85,115.61,142.38,107.97,93.79,113.53,118.52,125.58,112.73,114.33,112.57,125.41,113.37,No Sensor,,19.1,1012.5,35,19.65,
20.10.21 12:51:20,4.33,109.39,130.25,137.03,24.87,122.77,121.79,111.45,113.21,128.24,121.95,114.17,115.45,142.21,107.81,92.28,113.37,119.01,126.24,112.09,114.49,111.93,125.41,113.53,No Sensor,,19.1,1012.5,35,19.64,
20.10.21 12:51:35,4.58,109.08,130.42,137.03,25.11,122.77,122.28,111.45,112.73,129.24,120.97,113.05,115.13,142.21,107.03,91.98,113.37,118.52,125.08,112.09,113.69,111.45,125.41,113.21,No Sensor,,19.1,1012.5,35,19.65,
20.10.21 12:51:50,4.83,109.23,130.25,137.55,24.87,123.26,120.97,111.29,112.89,128.57,120.48,112.57,114.65,141.86,107.03,90.63,113.53,117.55,125.91,112.25,113.69,111.29,124.75,112.73,No Sensor,,19.1,1012.5,35,19.68,
20.10.21 12:52:05,5.08,109.71,130.58,136.86,24.87,122.61,121.29,110.98,112.41,128.91,119.99,113.37,114.81,141.52,107.19,90.63,113.05,117.39,125.41,112.25,114.49,111.14,124.25,112.09,No Sensor,,19.1,1012.5,35,19.68,
20.10.21 12:52:20,5.33,109.55,129.91,137.03,24.87,122.61,120.64,111.29,113.21,128.07,119.17,113.37,114.97,141.17,107.19,89.44,113.21,117.71,125.74,112.25,113.85,110.66,124.42,111.61,No Sensor,,19.1,1012.5,35,19.7,
20.10.21 12:52:35,5.58,108.76,129.91,136.86,25.11,122.28,120.64,111.14,112.41,128.07,119.17,113.53,114.65,141,107.19,89.29,112.73,116.74,125.41,112.25,113.21,110.34,123.92,110.98,No Sensor,,19.1,1012.5,35,19.7,
20.10.21 12:52:50,5.83,110.02,130.08,136.86,25.36,122.44,119.82,110.5,112.09,127.9,119.5,113.37,114.17,140.65,106.24,89.29,112.25,116.58,125.08,113.05,113.69,109.87,123.1,110.18,No Sensor,,19.1,1012.5,35,19.7,
20.10.21 12:53:05,6.08,109.23,130.25,137.03,24.87,122.11,119.34,109.87,111.77,127.57,118.69,112.73,114.33,140.48,106.24,88.1,112.57,117.39,124.58,112.57,113.53,110.82,122.44,110.66,No Sensor,,19.1,1012.5,35,19.7,
20.10.21 12:53:21,6.35,108.92,130.08,136.52,24.74,122.94,118.85,110.18,111.93,128.07,118.36,113.21,113.85,139.96,106.24,87.95,112.25,116.9,123.92,113.05,112.25,110.5,122.28,109.71,No Sensor,,19.1,1012.5,35,19.72,
20.10.21 12:53:36,6.6,108.92,130.08,136.69,24.99,122.77,119.5,110.02,111.61,128.41,118.69,112.57,114.01,139.96,106.24,87.95,111.61,117.87,124.42,112.41,113.05,110.5,121.95,109.71,No Sensor,,19.1,1012.5,35,19.73,
20.10.21 12:53:51,6.85,109.08,129.91,136.52,24.74,121.79,118.36,109.23,111.14,128.07,118.2,112.73,113.37,138.75,106.09,86.47,112.57,117.39,125.41,111.45,112.41,110.34,121.13,109.71,No Sensor,,19.1,1012.5,35,19.73,
20.10.21 12:54:06,7.1,108.92,130.58,136.86,24.74,122.44,118.52,109.23,110.18,127.9,118.2,113.85,114.01,139.09,106.24,86.18,112.25,117.23,125.25,111.93,111.93,109.71,120.64,108.92,No Sensor,,19.1,1012.5,35,19.75,
20.10.21 12:54:21,7.35,109.23,130.08,136.86,24.62,122.44,118.85,109.55,110.98,128.07,118.2,113.37,113.69,139.09,106.09,85.88,111.93,116.74,125.58,111.61,111.14,110.18,119.5,108.6,No Sensor,,19.1,1012.5,35,19.75,
