Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
19.10.21 11:26:39,0.03,114.63,91.13,98.48,14.15,99.61,102.69,89.72,116.66,100.25,101.71,95.11,96.23,103.18,96.55,104,No Sensor,90.19,122.46,93.67,No Sensor,112.11,No Sensor,109.77,No Sensor,,19.6,1010.9,35,19.54,
19.10.21 11:26:54,0.28,114.8,91.29,98.15,14.4,99.61,102.2,90.35,117.33,100.25,101.23,95.11,95.27,103.02,96.07,103.83,No Sensor,89.09,121.78,94.63,No Sensor,110.44,No Sensor,110.77,No Sensor,,19.6,1010.9,35,19.58,
19.10.21 11:27:09,0.53,115.13,91.45,98.64,14.15,98.96,102.04,91.13,118.01,101.06,101.39,95.27,95.91,103.34,95.91,104.16,No Sensor,90.98,120.92,95.27,No Sensor,109.61,No Sensor,111.61,No Sensor,,19.6,1010.9,35,19.59,
19.10.21 11:27:24,0.78,114.29,90.66,97.99,14.27,99.28,102.69,90.03,119.04,102.37,101.71,94.63,95.27,103.34,95.75,104.65,No Sensor,89.87,119.38,95.91,No Sensor,106.96,No Sensor,111.27,No Sensor,,19.6,1010.9,35,19.59,
19.10.21 11:27:39,1.03,114.97,91.13,98.64,14.02,98.64,102.2,90.82,119.55,103.67,101.39,95.91,95.43,103.18,95.91,104,No Sensor,88.3,119.38,96.07,No Sensor,106.79,No Sensor,110.61,No Sensor,,19.6,1010.9,35,19.6,
19.10.21 11:27:54,1.28,114.63,91.61,98.64,14.27,97.19,102.04,91.29,120.23,104.33,100.74,96.07,95.75,103.18,94.79,104.16,No Sensor,90.19,118.18,94.79,No Sensor,107.12,No Sensor,109.61,No Sensor,,19.6,1010.9,35,19.63,
19.10.21 11:28:09,1.53,114.46,92.08,98.15,11.36,97.83,100.74,90.66,120.06,106.3,100.9,94.79,95.11,103.18,94.95,104.65,No Sensor,89.4,117.84,96.87,No Sensor,106.13,No Sensor,109.27,No Sensor,,19.6,1010.9,35,19.65,
19.10.21 11:28:24,1.78,115.13,91.45,98.64,11.99,96.71,100.58,90.82,119.72,107.95,100.9,95.11,95.75,102.37,94.31,103.83,No Sensor,88.93,116.15,96.55,No Sensor,106.13,No Sensor,109.61,No Sensor,,19.6,1010.9,35,19.65,
19.10.21 11:28:39,2.03,114.63,91.45,98.48,14.78,96.55,100.42,91.45,119.55,108.78,100.42,95.91,95.11,102.37,93.67,104.16,No Sensor,89.24,116.32,96.55,No Sensor,106.13,No Sensor,108.28,No Sensor,,19.6,1010.9,35,19.67,
19.10.21 11:28:54,2.28,114.63,91.29,97.99,12.75,95.75,100.42,90.82,119.55,111.27,100.42,94.95,95.11,102.69,93.99,103.34,No Sensor,89.72,117,96.55,No Sensor,104.33,No Sensor,108.61,No Sensor,,19.6,1010.9,35,19.67,
19.10.21 11:29:09,2.53,114.63,91.77,97.99,13.39,95.43,99.61,90.98,120.92,112.28,99.93,95.91,94.79,102.04,93.35,104,No Sensor,86.89,116.15,96.23,No Sensor,104.65,No Sensor,108.11,No Sensor,,19.6,1010.9,35,19.67,
19.10.21 11:29:24,2.78,114.8,91.29,97.83,13.89,94.47,100.25,90.5,121.09,111.94,99.93,94.95,95.43,102.2,93.35,103.02,No Sensor,86.74,115.47,96.55,No Sensor,104.82,No Sensor,107.78,No Sensor,,19.6,1010.9,35,19.67,
19.10.21 11:29:39,3.03,114.97,91.29,98.15,14.66,93.99,99.44,90.82,120.58,113.28,99.93,95.91,93.51,101.71,92.72,103.83,No Sensor,87.36,114.63,96.23,No Sensor,103.18,No Sensor,106.96,No Sensor,,19.6,1010.9,35,19.68,
19.10.21 11:29:54,3.28,114.63,91.45,98.15,14.15,94.15,99.93,91.13,120.58,113.79,99.28,95.91,93.99,102.53,92.08,103.02,No Sensor,87.99,114.97,96.55,No Sensor,104.82,No Sensor,106.96,No Sensor,,19.6,1010.9,35,19.7,
19.10.21 11:30:09,3.53,114.63,91.13,97.83,14.15,92.88,98.48,90.35,119.21,114.63,98.8,95.75,93.67,102.04,91.61,103.51,No Sensor,87.68,114.46,96.71,No Sensor,103.83,No Sensor,106.79,No Sensor,,19.6,1010.9,35,19.7,
19.10.21 11:30:24,3.78,114.97,91.13,97.67,13.64,92.72,98.8,90.03,118.53,114.63,99.12,95.75,93.51,102.04,91.45,103.34,No Sensor,86.89,113.62,97.19,No Sensor,104.16,No Sensor,106.96,No Sensor,,19.6,1010.9,35,19.72,
19.10.21 11:30:39,4.03,114.29,91.77,97.51,13.89,91.29,99.28,89.56,119.38,115.64,98.64,95.75,93.83,101.71,90.66,102.53,No Sensor,86.74,113.62,96.07,No Sensor,103.51,No Sensor,106.13,No Sensor,,19.6,1010.9,35,19.72,
19.10.21 11:30:54,4.28,114.8,91.77,97.67,14.27,90.82,98.15,90.19,119.04,115.3,97.67,95.27,93.83,101.23,90.66,102.37,No Sensor,86.74,112.61,96.23,No Sensor,103.02,No Sensor,105.97,No Sensor,,19.6,1010.9,35,19.72,
