Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
26.10.21 11:45:33,0.03,107.19,124.61,106.88,26.05,120.53,110.48,104.71,No Sensor,125.59,113,125.1,No Sensor,102.4,125.92,109.38,No Sensor,128.4,125.1,140.21,No Sensor,129.4,113,99.95,No Sensor,,21.4,1003.6,35,21.43,
26.10.21 11:45:48,0.28,107.5,129.23,106.57,27.88,125.43,109.69,103.94,No Sensor,125.76,111.9,125.43,No Sensor,101.94,126.09,107.82,No Sensor,128.9,124.77,139.18,No Sensor,129.73,112.37,99.65,No Sensor,,21.4,1003.6,35,21.46,
26.10.21 11:46:03,0.53,107.66,128.4,106.88,27.76,124.77,110.01,105.02,No Sensor,124.12,112.53,125.76,No Sensor,101.33,124.77,108.44,No Sensor,128.73,123.79,139.01,No Sensor,129.06,111.9,98.74,No Sensor,,21.4,1003.6,35,21.48,
26.10.21 11:46:18,0.78,107.82,127.9,106.73,28.49,123.79,108.91,104.56,No Sensor,124.93,111.42,124.93,No Sensor,100.56,125.26,107.35,No Sensor,128.9,123.62,138.15,No Sensor,129.56,111.9,97.83,No Sensor,,21.4,1003.6,35,21.5,
26.10.21 11:46:33,1.03,107.82,128.07,106.26,28.12,124.77,108.75,104.56,No Sensor,124.61,110.79,125.43,No Sensor,99.8,124.77,107.35,No Sensor,128.23,124.28,137.64,No Sensor,128.56,110.95,97.37,No Sensor,,21.4,1003.6,35,21.52,
26.10.21 11:46:48,1.28,107.66,127.9,106.26,28.12,123.3,107.82,104.4,No Sensor,124.61,111.27,125.43,No Sensor,99.35,124.61,106.26,No Sensor,127.08,123.79,137.64,No Sensor,129.23,109.85,95.72,No Sensor,,21.4,1003.6,35,21.53,
26.10.21 11:47:04,1.55,108.13,128.07,106.26,27.39,122.81,106.73,103.78,No Sensor,123.62,111.74,125.43,No Sensor,98.59,125.43,105.79,No Sensor,128.23,123.13,137.64,No Sensor,129.23,109.38,95.26,No Sensor,,21.4,1003.6,35,21.54,
26.10.21 11:47:19,1.8,107.97,127.41,106.57,27.88,122.32,106.57,104.25,No Sensor,123.13,110.79,125.92,No Sensor,98.43,124.61,104.71,No Sensor,128.07,123.46,136.79,No Sensor,128.73,108.75,95.26,No Sensor,,21.4,1003.6,35,21.55,
26.10.21 11:47:34,2.05,107.97,127.08,106.41,28.12,122.64,105.79,103.94,No Sensor,123.79,110.48,125.43,No Sensor,97.07,125.1,103.78,No Sensor,127.24,123.79,135.94,No Sensor,127.41,107.5,94.96,No Sensor,,21.4,1003.6,35,21.57,
26.10.21 11:47:49,2.3,107.82,127.24,106.1,28,121.83,105.02,103.01,No Sensor,122.48,110.32,124.44,No Sensor,97.07,124.77,102.71,No Sensor,126.58,122.97,135.94,No Sensor,127.41,107.97,94.06,No Sensor,,21.4,1003.6,35,21.59,
26.10.21 11:48:04,2.55,107.66,126.74,106.1,28,121.99,105.02,103.32,No Sensor,122.48,110.01,125.43,No Sensor,96.62,124.12,102.86,No Sensor,126.42,122.97,134.59,No Sensor,126.42,105.95,93.62,No Sensor,,21.4,1003.6,35,21.61,
26.10.21 11:48:19,2.8,107.66,126.58,106.41,27.76,121.83,104.71,103.48,No Sensor,123.3,110.01,124.93,No Sensor,96.17,124.44,101.94,No Sensor,126.42,123.3,134.59,No Sensor,125.92,105.95,92.12,No Sensor,,21.4,1003.6,35,21.61,
26.10.21 11:48:34,3.05,107.66,127.08,106.41,27.76,121.51,104.4,103.17,No Sensor,122.32,109.69,125.26,No Sensor,95.26,124.77,101.02,No Sensor,126.74,122.81,133.24,No Sensor,125.43,104.56,91.68,No Sensor,,21.4,1003.6,35,21.63,
