Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
07.10.21 12:46:34,0.03,92.97,119.66,93.41,7.92,98.73,97.24,100.52,91.65,115.86,91.36,No Sensor,No Sensor,92.38,94.44,110.41,99.33,93.55,91.94,92.97,94.29,93.41,90.49,115.86,90.05,,21.9,1025.4,35,21.46,
07.10.21 12:46:49,0.28,93.11,120.61,93.26,7.47,100.37,96.65,101.12,91.8,115.86,91.51,No Sensor,No Sensor,91.65,95.17,111.03,98.73,93.26,91.8,91.51,94.29,92.82,90.34,115.39,90.05,,21.9,1025.4,35,21.48,
07.10.21 12:47:04,0.53,93.55,120.29,93.26,7.47,99.03,96.35,100.67,91.65,116.02,90.63,No Sensor,No Sensor,90.63,96.35,111.65,98.58,92.68,91.65,91.51,94.29,93.26,91.22,114.45,89.76,,21.9,1025.4,35,21.5,
07.10.21 12:47:19,0.78,93.7,121.41,92.68,7.58,98.43,95.61,99.48,91.8,116.18,90.63,No Sensor,No Sensor,89.91,96.06,111.81,98.88,91.94,90.92,91.22,93.55,92.38,90.63,112.58,90.05,,21.9,1025.4,35,21.53,
07.10.21 12:47:34,1.03,92.82,121.89,93.26,7.8,97.54,95.17,99.18,91.65,117.12,90.78,No Sensor,No Sensor,88.75,96.35,111.5,97.98,92.38,90.49,90.2,93.7,92.24,90.49,112.12,89.47,,21.9,1025.4,35,21.54,
07.10.21 12:47:49,1.28,93.85,123.01,93.11,7.8,98.43,94.88,97.69,91.65,116.18,90.2,No Sensor,No Sensor,88.75,96.06,111.5,98.43,92.24,89.18,89.18,93.11,91.51,90.63,111.81,89.62,,21.9,1025.4,35,21.54,
07.10.21 12:48:05,1.55,92.97,124.3,93.11,7.24,98.13,94.44,96.95,91.36,114.92,90.2,No Sensor,No Sensor,88.46,96.5,111.5,98.13,91.36,88.61,88.75,92.97,90.92,89.76,111.81,89.91,,21.9,1025.4,35,21.55,
07.10.21 12:48:20,1.8,93.41,123.65,92.82,7.92,97.09,94.44,97.09,91.36,115.08,89.33,No Sensor,No Sensor,88.89,95.32,110.88,97.54,91.36,87.6,88.32,92.24,91.07,89.47,110.88,89.91,,21.9,1025.4,35,21.57,
07.10.21 12:48:35,2.05,94.29,121.25,92.68,7.69,95.76,94.14,95.61,90.78,114.77,89.62,No Sensor,No Sensor,89.47,94.88,109.64,97.69,90.92,86.88,87.31,92.38,90.63,89.91,110.72,89.04,,21.9,1025.4,35,21.59,
07.10.21 12:48:50,2.3,92.68,123.33,92.53,7.8,93.55,94.73,95.02,90.49,114.61,88.46,No Sensor,No Sensor,88.89,95.17,109.49,97.84,89.91,86.3,86.88,92.68,90.63,89.47,109.8,89.04,,21.9,1025.4,35,21.59,
07.10.21 12:49:05,2.55,93.26,121.57,92.24,7.36,93.99,93.26,94.58,90.49,114.61,88.89,No Sensor,No Sensor,88.89,95.02,107.95,96.8,90.05,86.02,86.45,92.09,90.63,89.47,109.49,89.33,,21.9,1025.4,35,21.59,
07.10.21 12:49:20,2.8,92.24,121.73,91.94,7.02,92.09,93.26,94.14,89.91,114.3,88.17,No Sensor,No Sensor,88.17,94.44,107.95,96.65,89.18,84.87,85.44,91.51,90.2,89.62,109.18,89.47,,21.9,1025.4,35,21.61,
07.10.21 12:49:35,3.05,92.68,120.29,92.24,7.47,90.78,92.53,93.55,89.18,114.14,87.88,No Sensor,No Sensor,90.78,94.58,107.34,96.5,88.75,83.87,85.01,91.51,90.2,89.62,108.56,89.04,,21.9,1025.4,35,21.61,
07.10.21 12:49:50,3.3,93.55,119.5,92.38,6.46,89.76,92.68,93.55,88.61,113.83,87.74,No Sensor,No Sensor,89.91,94.14,106.73,96.35,89.04,83.45,85.01,90.63,90.05,89.18,107.8,89.04,,21.9,1025.4,35,21.63,
07.10.21 12:50:05,3.55,92.97,119.34,91.8,7.58,88.75,92.82,91.94,88.46,113.52,88.03,No Sensor,No Sensor,90.78,94.29,106.88,95.61,88.03,82.88,83.59,90.78,89.91,89.47,106.88,88.89,,21.9,1025.4,35,21.64,
07.10.21 12:50:21,3.82,93.7,117.6,91.8,7.24,86.88,92.38,91.94,87.88,113.05,87.31,No Sensor,No Sensor,87.02,93.99,105.96,95.76,87.45,82.74,83.87,90.34,89.62,89.33,107.03,88.61,,21.9,1025.4,35,21.64,
07.10.21 12:50:36,4.07,91.94,116.49,92.38,7.8,85.44,92.53,91.65,88.17,113.36,87.02,No Sensor,No Sensor,86.73,93.85,106.12,94.88,87.6,82.31,83.02,90.34,88.75,89.18,105.96,88.46,,21.9,1025.4,35,21.64,
07.10.21 12:50:52,4.33,91.65,116.18,91.94,7.47,85.16,92.24,91.22,87.16,113.36,86.88,No Sensor,No Sensor,86.16,93.55,105.05,95.32,86.88,80.9,82.45,89.47,89.04,88.89,105.81,88.17,,21.9,1025.4,35,21.66,
07.10.21 12:51:07,4.58,92.97,115.08,91.94,7.92,83.16,91.94,90.34,87.16,112.89,86.3,No Sensor,No Sensor,85.73,93.85,104.44,95.02,86.45,80.9,81.89,89.62,88.61,89.47,105.35,87.88,,21.9,1025.4,35,21.66,
07.10.21 12:51:22,4.83,92.97,114.3,91.94,7.02,82.03,91.8,89.91,86.88,113.05,86.45,No Sensor,No Sensor,84.87,93.55,104.59,94.88,86.3,80.9,81.46,89.33,90.05,89.04,104.9,88.32,,21.9,1025.4,35,21.66,
07.10.21 12:51:37,5.08,93.26,113.36,91.94,6.69,80.48,91.51,89.91,86.16,112.89,86.16,No Sensor,No Sensor,84.73,93.41,103.53,94.73,86.16,80.34,81.32,89.18,88.03,88.32,104.75,87.88,,21.9,1025.4,35,21.66,
07.10.21 12:51:52,5.33,93.55,112.12,92.09,7.13,81.04,91.36,89.47,85.59,112.43,85.3,No Sensor,No Sensor,84.59,93.7,103.99,94.14,86.16,79.63,81.04,89.18,88.61,88.89,103.84,87.6,,21.9,1025.4,35,21.66,
07.10.21 12:52:07,5.58,93.55,111.03,92.09,7.24,80.48,91.22,89.04,85.44,112.43,85.59,No Sensor,No Sensor,84.3,93.55,103.84,94.29,86.16,79.21,80.19,88.89,87.74,88.89,103.23,87.6,,21.9,1025.4,35,21.68,
07.10.21 12:52:22,5.83,93.11,110.26,92.38,7.36,80.19,90.78,88.17,84.59,112.74,85.44,No Sensor,No Sensor,83.59,93.41,103.84,93.85,85.73,78.37,79.63,88.61,87.45,88.17,102.48,87.16,,21.9,1025.4,35,21.68,
07.10.21 12:52:37,6.08,92.68,109.64,92.24,7.02,79.07,90.63,87.6,85.16,112.43,84.87,No Sensor,No Sensor,82.88,93.26,103.68,94.14,85.73,78.09,79.07,87.6,87.02,87.88,101.72,86.59,,21.9,1025.4,35,21.68,
07.10.21 12:52:52,6.33,92.09,109.03,91.94,7.02,78.65,90.63,87.16,84.16,112.43,84.73,No Sensor,No Sensor,82.88,93.11,103.53,93.26,85.3,77.81,78.37,88.17,87.16,87.88,100.82,86.73,,21.9,1025.4,35,21.68,
07.10.21 12:53:08,6.6,92.97,107.95,92.38,7.02,78.65,90.34,86.59,84.44,112.12,84.02,No Sensor,No Sensor,82.6,92.97,103.08,94.14,85.16,77.53,78.09,88.46,86.88,87.31,100.07,86.59,,21.9,1025.4,35,21.68,
07.10.21 12:53:23,6.85,93.11,107.03,92.97,7.24,78.09,90.05,86.16,84.16,112.12,84.16,No Sensor,No Sensor,82.03,92.82,103.08,93.55,85.73,76.42,77.81,88.03,86.45,86.88,99.62,86.02,,21.9,1025.4,35,21.7,
07.10.21 12:53:38,7.1,93.7,107.18,92.24,7.02,79.07,90.05,85.59,84.16,112.12,84.02,No Sensor,No Sensor,81.6,93.11,102.02,93.85,85.44,76,76.97,87.02,86.45,86.3,98.73,86.02,,21.9,1025.4,35,21.7,
07.10.21 12:53:53,7.35,93.26,106.12,92.53,7.24,79.35,89.33,85.3,83.31,111.65,84.16,No Sensor,No Sensor,81.75,92.53,102.33,92.68,85.16,75.31,76.7,87.74,85.73,86.16,97.98,85.87,,21.9,1025.4,35,21.7,
07.10.21 12:54:08,7.6,91.65,105.51,92.68,7.36,78.65,89.18,85.16,83.31,112.12,84.87,No Sensor,No Sensor,81.18,92.68,102.78,92.97,84.87,75.31,76.84,86.88,86.59,85.87,97.39,85.44,,21.9,1025.4,35,21.7,
07.10.21 12:54:23,7.85,92.82,105.2,92.68,6.58,78.37,88.89,84.3,82.6,111.65,85.01,No Sensor,No Sensor,80.9,92.53,102.18,92.53,85.16,74.48,76.14,86.73,85.44,85.44,97.39,85.3,,21.9,1025.4,35,21.7,
07.10.21 12:54:38,8.1,92.68,104.9,92.53,6.91,79.91,88.89,84.3,82.74,111.81,85.44,No Sensor,No Sensor,80.48,92.09,101.87,92.09,85.16,74.06,75.58,87.31,85.87,85.01,96.35,85.16,,21.9,1025.4,35,21.7,
07.10.21 12:54:53,8.35,92.38,104.59,92.24,7.02,78.79,88.46,84.59,82.03,111.5,85.59,No Sensor,No Sensor,80.48,92.38,101.87,92.53,85.16,73.79,75.17,86.59,85.3,84.73,95.47,84.87,,21.9,1025.4,35,21.68,
07.10.21 12:55:08,8.6,92.53,103.84,92.68,7.13,79.63,88.46,83.87,82.03,111.65,85.87,No Sensor,No Sensor,80.19,92.24,101.42,92.09,84.73,73.51,75.45,86.73,84.59,84.02,94.14,85.01,,21.9,1025.4,35,21.7,
