Date,Day,Sump,Colony,Treatment,Temperature,Plastic,Light,Food,Tank,Tile,Sym.State,B.Tag,FvFm.AVG
09/27/2021,1,Orange,M1,PDS,Elevated,Plastic,Dark,Starved,A1,1,Sym,G4,0.288
09/27/2021,1,Orange,A1,PDS,Elevated,Plastic,Dark,Starved,A1,1,Sym,G24,0.240
09/27/2021,1,Orange,A2,PDS,Elevated,Plastic,Dark,Starved,A1,1,Sym,G25,0.156
09/27/2021,1,Orange,A2,PDS,Elevated,Plastic,Dark,Starved,A1,1,Sym,G26,0.246
09/27/2021,1,Orange,A3,PDS,Elevated,Plastic,Dark,Starved,A1,1,Sym,G27,0.272
09/27/2021,1,Orange,S21,PDS,Elevated,Plastic,Dark,Starved,A1,9,Apo,G59,0.199
09/27/2021,1,Orange,S23,PDS,Elevated,Plastic,Dark,Starved,A1,9,Apo,G60,0.062
09/27/2021,1,Orange,S26,PDS,Elevated,Plastic,Dark,Starved,A1,9,Apo,G62,0.123
09/27/2021,1,Orange,S27,PDS,Elevated,Plastic,Dark,Starved,A1,9,Apo,G63,0.142
09/27/2021,1,Orange,S29,PDS,Elevated,Plastic,Dark,Starved,A1,9,Apo,G64,0.107
09/27/2021,1,Orange,S4,PDS,Elevated,Plastic,Dark,Starved,A2,17,Sym,B13,0.259
09/27/2021,1,Orange,S4,PDS,Elevated,Plastic,Dark,Starved,A2,17,Sym,B14,0.219
09/27/2021,1,Orange,S4,PDS,Elevated,Plastic,Dark,Starved,A2,17,Sym,B15,0.322
09/27/2021,1,Orange,S5,PDS,Elevated,Plastic,Dark,Starved,A2,17,Sym,B20,0.298
09/27/2021,1,Orange,S6,PDS,Elevated,Plastic,Dark,Starved,A2,17,Sym,B21,0.096
09/27/2021,1,Orange,A4,PDS,Elevated,Plastic,Dark,Starved,A2,25,Apo,B63,0.320
09/27/2021,1,Orange,A4,PDS,Elevated,Plastic,Dark,Starved,A2,25,Apo,B64,0.131
09/27/2021,1,Orange,A5,PDS,Elevated,Plastic,Dark,Starved,A2,25,Apo,B65,0.066
09/27/2021,1,Orange,A5,PDS,Elevated,Plastic,Dark,Starved,A2,25,Apo,B67,0.079
09/27/2021,1,Orange,A6,PDS,Elevated,Plastic,Dark,Starved,A2,25,Apo,B70,0.111
09/27/2021,1,Orange,S7,PDS,Elevated,Plastic,Dark,Starved,A3,33,Sym,W15,0.289
09/27/2021,1,Orange,S7,PDS,Elevated,Plastic,Dark,Starved,A3,33,Sym,W17,0.331
09/27/2021,1,Orange,S7,PDS,Elevated,Plastic,Dark,Starved,A3,33,Sym,W20,0.249
09/27/2021,1,Orange,S7,PDS,Elevated,Plastic,Dark,Starved,A3,33,Sym,W21,0.322
09/27/2021,1,Orange,S7,PDS,Elevated,Plastic,Dark,Starved,A3,33,Sym,W22,0.200
09/27/2021,1,Orange,A9,PDS,Elevated,Plastic,Dark,Starved,A3,41,Apo,W58,0.172
09/27/2021,1,Orange,A9,PDS,Elevated,Plastic,Dark,Starved,A3,41,Apo,W59,0.231
09/27/2021,1,Orange,A10,PDS,Elevated,Plastic,Dark,Starved,A3,41,Apo,W60,0.072
09/27/2021,1,Orange,A11,PDS,Elevated,Plastic,Dark,Starved,A3,41,Apo,W62,0.129
09/27/2021,1,Orange,A11,PDS,Elevated,Plastic,Dark,Starved,A3,41,Apo,W63,0.071
09/27/2021,1,Orange,S9,PDS,Elevated,Plastic,Dark,Starved,A4,49,Sym,Y12,0.203
09/27/2021,1,Orange,S10,PDS,Elevated,Plastic,Dark,Starved,A4,49,Sym,Y13,0.253
09/27/2021,1,Orange,S11,PDS,Elevated,Plastic,Dark,Starved,A4,49,Sym,Y14,0.260
09/27/2021,1,Orange,S11,PDS,Elevated,Plastic,Dark,Starved,A4,49,Sym,Y15,0.151
09/27/2021,1,Orange,S12,PDS,Elevated,Plastic,Dark,Starved,A4,49,Sym,Y17,0.177
09/27/2021,1,Orange,A12,PDS,Elevated,Plastic,Dark,Starved,A4,57,Apo,Y55,0.221
09/27/2021,1,Orange,A12,PDS,Elevated,Plastic,Dark,Starved,A4,57,Apo,Y56,0.112
09/27/2021,1,Orange,A12,PDS,Elevated,Plastic,Dark,Starved,A4,57,Apo,Y57,0.317
09/27/2021,1,Orange,A13,PDS,Elevated,Plastic,Dark,Starved,A4,57,Apo,Y58,0.100
09/27/2021,1,Orange,A13,PDS,Elevated,Plastic,Dark,Starved,A4,57,Apo,Y59,0.058
09/28/2021,1,Orange,A1,PLS,Elevated,Plastic,Light,Starved,B1,2,Sym,G28,0.253
09/28/2021,1,Orange,A1,PLS,Elevated,Plastic,Light,Starved,B1,2,Sym,G29,0.220
09/28/2021,1,Orange,A2,PLS,Elevated,Plastic,Light,Starved,B1,2,Sym,G30,0.162
09/28/2021,1,Orange,A2,PLS,Elevated,Plastic,Light,Starved,B1,2,Sym,G31,0.169
09/28/2021,1,Orange,A3,PLS,Elevated,Plastic,Light,Starved,B1,2,Sym,G32,0.202
09/28/2021,1,Orange,S21,PLS,Elevated,Plastic,Light,Starved,B1,10,Apo,G65,0.095
09/28/2021,1,Orange,S24,PLS,Elevated,Plastic,Light,Starved,B1,10,Apo,G67,0.140
09/28/2021,1,Orange,S26,PLS,Elevated,Plastic,Light,Starved,B1,10,Apo,G70,0.092
09/28/2021,1,Orange,S27,PLS,Elevated,Plastic,Light,Starved,B1,10,Apo,G71,0.178
09/28/2021,1,Orange,S29,PLS,Elevated,Plastic,Light,Starved,B1,10,Apo,G73,0.141
09/28/2021,1,Orange,S4,PLS,Elevated,Plastic,Light,Starved,B2,18,Sym,B27,0.335
09/28/2021,1,Orange,S4,PLS,Elevated,Plastic,Light,Starved,B2,18,Sym,B28,0.304
09/28/2021,1,Orange,S4,PLS,Elevated,Plastic,Light,Starved,B2,18,Sym,B29,0.170
09/28/2021,1,Orange,S5,PLS,Elevated,Plastic,Light,Starved,B2,18,Sym,B30,0.157
09/28/2021,1,Orange,S6,PLS,Elevated,Plastic,Light,Starved,B2,18,Sym,B31,0.167
09/28/2021,1,Orange,A4,PLS,Elevated,Plastic,Light,Starved,B2,26,Apo,B71,0.164
09/28/2021,1,Orange,A4,PLS,Elevated,Plastic,Light,Starved,B2,26,Apo,B72,0.160
09/28/2021,1,Orange,A5,PLS,Elevated,Plastic,Light,Starved,B2,26,Apo,B73,0.133
09/28/2021,1,Orange,A5,PLS,Elevated,Plastic,Light,Starved,B2,26,Apo,B74,0.342
09/28/2021,1,Orange,A6,PLS,Elevated,Plastic,Light,Starved,B2,26,Apo,B75,0.159
09/28/2021,1,Orange,S7,PLS,Elevated,Plastic,Light,Starved,B3,34,Sym,W23,0.284
09/28/2021,1,Orange,S7,PLS,Elevated,Plastic,Light,Starved,B3,34,Sym,W24,0.260
09/28/2021,1,Orange,S7,PLS,Elevated,Plastic,Light,Starved,B3,34,Sym,W25,0.265
09/28/2021,1,Orange,S7,PLS,Elevated,Plastic,Light,Starved,B3,34,Sym,W26,0.283
09/28/2021,1,Orange,S7,PLS,Elevated,Plastic,Light,Starved,B3,34,Sym,W27,0.325
09/28/2021,1,Orange,A9,PLS,Elevated,Plastic,Light,Starved,B3,42,Apo,W64,0.130
09/28/2021,1,Orange,A9,PLS,Elevated,Plastic,Light,Starved,B3,42,Apo,W65,0.090
09/28/2021,1,Orange,A10,PLS,Elevated,Plastic,Light,Starved,B3,42,Apo,W67,0.133
09/28/2021,1,Orange,A11,PLS,Elevated,Plastic,Light,Starved,B3,42,Apo,W70,0.141
09/28/2021,1,Orange,A11,PLS,Elevated,Plastic,Light,Starved,B3,42,Apo,W71,0.245
09/28/2021,1,Orange,S9,PLS,Elevated,Plastic,Light,Starved,B4,50,Sym,Y20,0.404
09/28/2021,1,Orange,S10,PLS,Elevated,Plastic,Light,Starved,B4,50,Sym,Y21,0.160
09/28/2021,1,Orange,S11,PLS,Elevated,Plastic,Light,Starved,B4,50,Sym,Y22,0.313
09/28/2021,1,Orange,S11,PLS,Elevated,Plastic,Light,Starved,B4,50,Sym,Y23,0.147
09/28/2021,1,Orange,S12,PLS,Elevated,Plastic,Light,Starved,B4,50,Sym,Y24,0.188
09/28/2021,1,Orange,A12,PLS,Elevated,Plastic,Light,Starved,B4,58,Apo,Y60,0.267
09/28/2021,1,Orange,A12,PLS,Elevated,Plastic,Light,Starved,B4,58,Apo,Y62,0.155
09/28/2021,1,Orange,A12,PLS,Elevated,Plastic,Light,Starved,B4,58,Apo,Y63,0.124
09/28/2021,1,Orange,A13,PLS,Elevated,Plastic,Light,Starved,B4,58,Apo,Y64,0.117
09/28/2021,1,Orange,A13,PLS,Elevated,Plastic,Light,Starved,B4,58,Apo,Y65,0.217
09/29/2021,1,Yellow,A1,NDS,Elevated,NoPlastic,Dark,Starved,C1,3,Sym,G33,0.343
09/29/2021,1,Yellow,A1,NDS,Elevated,NoPlastic,Dark,Starved,C1,3,Sym,G34,0.263
09/29/2021,1,Yellow,A2,NDS,Elevated,NoPlastic,Dark,Starved,C1,3,Sym,G35,0.249
09/29/2021,1,Yellow,A2,NDS,Elevated,NoPlastic,Dark,Starved,C1,3,Sym,G37,0.382
09/29/2021,1,Yellow,A3,NDS,Elevated,NoPlastic,Dark,Starved,C1,3,Sym,G38,0.235
09/29/2021,1,Yellow,S21,NDS,Elevated,NoPlastic,Dark,Starved,C1,11,Apo,G74,0.032
09/29/2021,1,Yellow,S24,NDS,Elevated,NoPlastic,Dark,Starved,C1,11,Apo,G75,0.081
09/29/2021,1,Yellow,S26,NDS,Elevated,NoPlastic,Dark,Starved,C1,11,Apo,G76,0.119
09/29/2021,1,Yellow,S28,NDS,Elevated,NoPlastic,Dark,Starved,C1,11,Apo,G77,0.121
09/29/2021,1,Yellow,S29,NDS,Elevated,NoPlastic,Dark,Starved,C1,11,Apo,G78,0.109
09/29/2021,1,Yellow,S4,NDS,Elevated,NoPlastic,Dark,Starved,C2,19,Sym,B32,0.120
09/29/2021,1,Yellow,S4,NDS,Elevated,NoPlastic,Dark,Starved,C2,19,Sym,B33,0.255
09/29/2021,1,Yellow,S5,NDS,Elevated,NoPlastic,Dark,Starved,C2,19,Sym,B34,0.159
09/29/2021,1,Yellow,S6,NDS,Elevated,NoPlastic,Dark,Starved,C2,19,Sym,B35,0.244
09/29/2021,1,Yellow,A4,NDS,Elevated,NoPlastic,Dark,Starved,C2,19,Sym,B36,0.341
09/29/2021,1,Yellow,A4,NDS,Elevated,NoPlastic,Dark,Starved,C2,27,Apo,B76,0.087
09/29/2021,1,Yellow,A5,NDS,Elevated,NoPlastic,Dark,Starved,C2,27,Apo,B77,0.084
09/29/2021,1,Yellow,A5,NDS,Elevated,NoPlastic,Dark,Starved,C2,27,Apo,B78,0.085
09/29/2021,1,Yellow,A6,NDS,Elevated,NoPlastic,Dark,Starved,C2,27,Apo,B79,0.050
09/29/2021,1,Yellow,S30,NDS,Elevated,NoPlastic,Dark,Starved,C2,27,Apo,B80,0.064
09/29/2021,1,Yellow,S7,NDS,Elevated,NoPlastic,Dark,Starved,C3,35,Sym,W28,0.354
09/29/2021,1,Yellow,S7,NDS,Elevated,NoPlastic,Dark,Starved,C3,35,Sym,W29,0.327
09/29/2021,1,Yellow,S7,NDS,Elevated,NoPlastic,Dark,Starved,C3,35,Sym,W30,0.221
09/29/2021,1,Yellow,S7,NDS,Elevated,NoPlastic,Dark,Starved,C3,35,Sym,W31,0.367
09/29/2021,1,Yellow,S7,NDS,Elevated,NoPlastic,Dark,Starved,C3,35,Sym,W32,0.183
09/29/2021,1,Yellow,A9,NDS,Elevated,NoPlastic,Dark,Starved,C3,43,Apo,W72,0.195
09/29/2021,1,Yellow,A10,NDS,Elevated,NoPlastic,Dark,Starved,C3,43,Apo,W73,0.132
09/29/2021,1,Yellow,A10,NDS,Elevated,NoPlastic,Dark,Starved,C3,43,Apo,W74,0.144
09/29/2021,1,Yellow,A11,NDS,Elevated,NoPlastic,Dark,Starved,C3,43,Apo,W75,0.152
09/29/2021,1,Yellow,A11,NDS,Elevated,NoPlastic,Dark,Starved,C3,43,Apo,W76,0.119
09/29/2021,1,Yellow,S9,NDS,Elevated,NoPlastic,Dark,Starved,C4,51,Sym,Y25,0.227
09/29/2021,1,Yellow,S10,NDS,Elevated,NoPlastic,Dark,Starved,C4,51,Sym,Y26,0.271
09/29/2021,1,Yellow,S11,NDS,Elevated,NoPlastic,Dark,Starved,C4,51,Sym,Y27,0.196
09/29/2021,1,Yellow,S11,NDS,Elevated,NoPlastic,Dark,Starved,C4,51,Sym,Y28,0.260
09/29/2021,1,Yellow,S12,NDS,Elevated,NoPlastic,Dark,Starved,C4,51,Sym,Y29,0.265
09/29/2021,1,Yellow,A12,NDS,Elevated,NoPlastic,Dark,Starved,C4,59,Apo,Y67,0.267
09/29/2021,1,Yellow,A12,NDS,Elevated,NoPlastic,Dark,Starved,C4,59,Apo,Y70,0.154
09/29/2021,1,Yellow,A13,NDS,Elevated,NoPlastic,Dark,Starved,C4,59,Apo,Y71,0.099
09/29/2021,1,Yellow,A13,NDS,Elevated,NoPlastic,Dark,Starved,C4,59,Apo,Y72,0.143
09/29/2021,1,Yellow,A13,NDS,Elevated,NoPlastic,Dark,Starved,C4,59,Apo,Y73,0.079
09/30/2021,1,Yellow,A1,NLS,Elevated,NoPlastic,Light,Starved,D1,4,Sym,G39,0.180
09/30/2021,1,Yellow,A1,NLS,Elevated,NoPlastic,Light,Starved,D1,4,Sym,G40,0.169
09/30/2021,1,Yellow,A2,NLS,Elevated,NoPlastic,Light,Starved,D1,4,Sym,G41,0.217
09/30/2021,1,Yellow,A3,NLS,Elevated,NoPlastic,Light,Starved,D1,4,Sym,G42,0.183
09/30/2021,1,Yellow,A3,NLS,Elevated,NoPlastic,Light,Starved,D1,4,Sym,G43,0.159
09/30/2021,1,Yellow,S22,NLS,Elevated,NoPlastic,Light,Starved,D1,12,Apo,G79,0.129
09/30/2021,1,Yellow,S24,NLS,Elevated,NoPlastic,Light,Starved,D1,12,Apo,G80,0.069
09/30/2021,1,Yellow,S27,NLS,Elevated,NoPlastic,Light,Starved,D1,12,Apo,G82,0.087
09/30/2021,1,Yellow,S28,NLS,Elevated,NoPlastic,Light,Starved,D1,12,Apo,G83,0.093
09/30/2021,1,Yellow,S29,NLS,Elevated,NoPlastic,Light,Starved,D1,12,Apo,G84,0.071
09/30/2021,1,Yellow,S4,NLS,Elevated,NoPlastic,Light,Starved,D2,20,Sym,B37,0.291
09/30/2021,1,Yellow,S4,NLS,Elevated,NoPlastic,Light,Starved,D2,20,Sym,B38,0.150
09/30/2021,1,Yellow,S4,NLS,Elevated,NoPlastic,Light,Starved,D2,20,Sym,B39,0.127
09/30/2021,1,Yellow,S5,NLS,Elevated,NoPlastic,Light,Starved,D2,20,Sym,B40,0.158
09/30/2021,1,Yellow,S6,NLS,Elevated,NoPlastic,Light,Starved,D2,20,Sym,B41,0.065
09/30/2021,1,Yellow,A4,NLS,Elevated,NoPlastic,Light,Starved,D2,28,Apo,B82,0.100
09/30/2021,1,Yellow,A4,NLS,Elevated,NoPlastic,Light,Starved,D2,28,Apo,B83,0.113
09/30/2021,1,Yellow,A5,NLS,Elevated,NoPlastic,Light,Starved,D2,28,Apo,B84,0.197
09/30/2021,1,Yellow,A5,NLS,Elevated,NoPlastic,Light,Starved,D2,28,Apo,B85,0.059
09/30/2021,1,Yellow,A6,NLS,Elevated,NoPlastic,Light,Starved,D2,28,Apo,B87,0.065
09/30/2021,1,Yellow,S7,NLS,Elevated,NoPlastic,Light,Starved,D3,36,Sym,W33,0.320
09/30/2021,1,Yellow,S7,NLS,Elevated,NoPlastic,Light,Starved,D3,36,Sym,W34,0.185
09/30/2021,1,Yellow,S7,NLS,Elevated,NoPlastic,Light,Starved,D3,36,Sym,W35,0.137
09/30/2021,1,Yellow,S7,NLS,Elevated,NoPlastic,Light,Starved,D3,36,Sym,W36,0.154
09/30/2021,1,Yellow,A9,NLS,Elevated,NoPlastic,Light,Starved,D3,36,Sym,W37,0.242
09/30/2021,1,Yellow,A10,NLS,Elevated,NoPlastic,Light,Starved,D3,44,Apo,W77,0.194
09/30/2021,1,Yellow,A10,NLS,Elevated,NoPlastic,Light,Starved,D3,44,Apo,W78,0.086
09/30/2021,1,Yellow,A11,NLS,Elevated,NoPlastic,Light,Starved,D3,44,Apo,W79,0.122
09/30/2021,1,Yellow,A11,NLS,Elevated,NoPlastic,Light,Starved,D3,44,Apo,W80,0.123
09/30/2021,1,Yellow,S30,NLS,Elevated,NoPlastic,Light,Starved,D3,44,Apo,W82,0.141
09/30/2021,1,Yellow,S9,NLS,Elevated,NoPlastic,Light,Starved,D4,52,Sym,Y30,0.213
09/30/2021,1,Yellow,S10,NLS,Elevated,NoPlastic,Light,Starved,D4,52,Sym,Y31,0.268
09/30/2021,1,Yellow,S11,NLS,Elevated,NoPlastic,Light,Starved,D4,52,Sym,Y32,0.227
09/30/2021,1,Yellow,S12,NLS,Elevated,NoPlastic,Light,Starved,D4,52,Sym,Y33,0.147
09/30/2021,1,Yellow,S12,NLS,Elevated,NoPlastic,Light,Starved,D4,52,Sym,Y34,0.161
