Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
15.10.21 11:50:16,0.03,120.84,119.39,138.62,39.17,126.56,108.13,102.42,112.05,110.17,132.87,125.73,101.8,108.6,121,112.69,153.62,126.89,130.36,105.65,No Sensor,107.82,No Sensor,110.32,No Sensor,,20.5,1014.4,35,19.55,
15.10.21 11:50:31,0.28,120.84,118.91,138.11,39.55,125.57,108.45,102.26,111.11,110.95,135.23,126.23,101.96,110.48,121,113.32,153.08,126.72,129.53,105.96,No Sensor,107.04,No Sensor,110.32,No Sensor,,20.5,1014.4,35,19.59,
15.10.21 11:50:46,0.53,121.65,119.07,138.79,38.66,125.41,107.82,102.57,110.79,110.79,135.4,126.56,101.8,108.91,120.68,113.16,155.22,126.06,128.87,104.72,No Sensor,107.36,No Sensor,110.48,No Sensor,,20.5,1014.4,35,19.59,
15.10.21 11:51:01,0.78,121.49,119.23,138.62,38.91,123.28,107.98,102.26,111.42,110.17,135.57,125.24,102.26,107.51,120.36,113.64,154.51,125.24,128.7,102.88,No Sensor,107.04,No Sensor,110.79,No Sensor,,20.5,1014.4,35,19.61,
15.10.21 11:51:16,1.03,122.14,119.23,139.31,39.04,122.3,107.04,102.57,111.27,110.01,134.72,125.41,101.96,106.42,118.91,113.48,154.15,125.41,127.55,102.11,No Sensor,107.67,No Sensor,110.48,No Sensor,,20.5,1014.4,35,19.64,
15.10.21 11:51:31,1.28,122.14,119.55,138.79,39.17,121.65,106.89,101.96,111.42,109.54,134.38,123.61,101.65,105.49,118.1,113.32,155.58,125.57,127.38,100.28,No Sensor,107.67,No Sensor,110.95,No Sensor,,20.5,1014.4,35,19.64,
15.10.21 11:51:46,1.53,121.49,119.71,138.96,39.04,121,106.27,102.11,110.79,109.85,133.54,123.93,102.26,104.26,117.14,113.79,156.12,124.59,126.23,99.21,No Sensor,107.82,No Sensor,110.48,No Sensor,,20.5,1014.4,35,19.66,
15.10.21 11:52:01,1.78,121,118.91,139.48,39.04,120.68,106.11,101.96,110.95,110.48,132.7,123.61,102.42,103.49,116.34,113.48,156.12,123.77,126.56,98.15,No Sensor,107.67,No Sensor,110.64,No Sensor,,20.5,1014.4,35,19.68,
15.10.21 11:52:16,2.03,119.87,119.07,139.31,39.17,121,106.27,101.8,111.42,109.54,131.37,123.12,102.11,102.42,115.22,113.32,156.66,123.93,125.73,96.79,No Sensor,107.2,No Sensor,110.01,No Sensor,,20.5,1014.4,35,19.68,
15.10.21 11:52:31,2.28,119.71,119.07,140.33,39.04,119.55,105.65,101.65,111.42,109.23,131.37,122.79,101.96,102.57,115.22,113.16,155.4,123.28,125.24,95.29,No Sensor,107.82,No Sensor,110.79,No Sensor,,20.5,1014.4,35,19.7,
15.10.21 11:52:46,2.53,120.2,119.39,139.14,38.91,120.2,105.49,101.96,110.17,109.07,130.53,122.3,102.11,101.8,114.91,113,155.04,123.61,125.57,94.39,No Sensor,107.67,No Sensor,109.85,No Sensor,,20.5,1014.4,35,19.7,
15.10.21 11:53:02,2.8,120.68,119.23,138.96,38.66,120.36,104.41,102.11,110.95,109.23,129.7,121.33,101.8,101.5,113.64,112.37,155.76,123.28,124.91,92.75,No Sensor,107.2,No Sensor,110.64,No Sensor,,20.5,1014.4,35,19.72,
15.10.21 11:53:17,3.05,120.36,119.23,139.31,38.91,119.39,104.57,101.65,110.79,108.76,129.53,121.17,101.34,100.89,113.16,112.69,154.15,122.79,124.75,91.71,No Sensor,106.89,No Sensor,110.17,No Sensor,,20.5,1014.4,35,19.73,
15.10.21 11:53:32,3.3,120.52,119.55,139.48,38.91,119.07,104.26,102.11,110.95,108.45,128.87,120.84,102.11,100.43,112.05,112.53,153.26,123.28,124.42,90.82,No Sensor,107.04,No Sensor,110.01,No Sensor,,20.5,1014.4,35,19.75,
15.10.21 11:53:47,3.55,119.23,119.39,139.99,38.79,119.39,103.64,101.5,110.95,109.07,128.7,120.36,102.11,100.28,111.11,112.53,153.08,122.95,123.93,89.64,No Sensor,106.27,No Sensor,110.48,No Sensor,,20.5,1014.4,35,19.75,
15.10.21 11:54:02,3.8,120.2,119.23,138.45,38.66,119.07,103.18,100.89,110.32,108.13,128.37,119.55,101.5,99.82,110.01,112.53,152.19,123.12,123.77,87.73,No Sensor,106.27,No Sensor,110.01,No Sensor,,20.5,1014.4,35,19.77,
15.10.21 11:54:17,4.05,120.03,119.23,138.96,39.17,119.23,103.8,101.5,110.79,108.91,128.04,119.87,101.5,99.36,108.45,112.37,152.19,123.44,123.12,86.56,No Sensor,105.03,No Sensor,109.85,No Sensor,,20.5,1014.4,35,19.77,
15.10.21 11:54:32,4.3,118.42,119.39,139.31,38.66,118.58,103.49,101.19,110.64,107.2,127.38,118.58,101.19,99.36,108.45,112.37,152.9,122.3,123.28,86.41,No Sensor,104.41,No Sensor,109.23,No Sensor,,20.5,1014.4,35,19.79,
15.10.21 11:54:47,4.55,118.42,119.39,139.99,39.17,118.91,103.18,101.5,110.32,107.51,126.56,119.07,101.65,98.61,107.04,112.53,152.19,122.14,122.95,86.26,No Sensor,105.34,No Sensor,109.54,No Sensor,,20.5,1014.4,35,19.79,
15.10.21 11:55:02,4.8,118.74,119.87,139.48,39.04,118.58,103.03,101.5,110.48,107.82,125.73,118.42,101.34,98.45,106.42,112.05,150.25,121.98,122.79,85.1,No Sensor,104.72,No Sensor,109.85,No Sensor,,20.5,1014.4,35,19.79,
15.10.21 11:55:17,5.05,118.58,119.55,139.31,38.16,117.94,102.72,101.19,110.17,107.51,125.57,117.46,101.5,98.3,106.11,111.9,152.19,121.65,121.82,85.68,No Sensor,105.19,No Sensor,109.7,No Sensor,,20.5,1014.4,35,19.8,
15.10.21 11:55:32,5.3,118.58,119.55,138.96,39.29,116.66,103.03,101.19,109.54,106.89,125.24,117.46,101.5,98.45,105.03,111.74,149.54,121.17,121.82,84.95,No Sensor,105.34,No Sensor,108.91,No Sensor,,20.5,1014.4,35,19.82,
15.10.21 11:55:47,5.55,118.74,119.23,138.96,39.17,116.34,102.57,101.5,109.07,106.73,124.59,115.86,101.34,98.15,105.03,111.58,149.72,121,121.98,84.23,No Sensor,104.41,No Sensor,109.54,No Sensor,,20.5,1014.4,35,19.82,
15.10.21 11:56:02,5.8,119.07,119.23,140.16,39.04,115.38,103.18,100.89,109.7,107.67,124.26,116.82,100.89,97.7,104.41,111.27,150.78,121,121.49,84.23,No Sensor,103.95,No Sensor,109.7,No Sensor,,20.5,1014.4,35,19.84,
15.10.21 11:56:18,6.07,119.39,119.23,139.14,38.66,114.75,102.57,101.04,109.54,107.36,123.61,115.86,101.19,98.3,103.03,110.95,149.37,120.68,121.65,84.08,No Sensor,104.41,No Sensor,109.23,No Sensor,,20.5,1014.4,35,19.84,
15.10.21 11:56:33,6.32,119.23,119.39,138.62,39.04,113.95,102.88,101.34,109.23,107.04,123.93,115.86,101.04,98.15,101.8,110.64,148.31,121,121.65,83.36,No Sensor,103.95,No Sensor,109.38,No Sensor,,20.5,1014.4,35,19.84,
15.10.21 11:56:48,6.57,118.91,119.55,139.31,39.04,113.48,102.88,101.19,109.07,106.42,123.28,114.43,100.58,97.7,101.04,110.48,147.96,120.84,121.17,82.06,No Sensor,104.72,No Sensor,110.01,No Sensor,,20.5,1014.4,35,19.84,
15.10.21 11:57:03,6.82,119.23,119.23,138.79,38.79,113.48,102.57,101.19,108.91,107.82,122.3,114.43,101.34,97.85,100.28,110.64,150.07,119.71,121,82.06,No Sensor,103.64,No Sensor,109.23,No Sensor,,20.5,1014.4,35,19.86,
15.10.21 11:57:18,7.07,119.23,119.87,140.16,38.41,113.16,102.42,101.5,108.91,106.73,122.3,114.27,101.19,97.55,99.52,110.48,148.31,120.84,120.84,81.19,No Sensor,103.64,No Sensor,109.38,No Sensor,,20.5,1014.4,35,19.86,
15.10.21 11:57:33,7.32,119.23,119.55,138.96,39.17,112.84,102.72,101.04,108.45,106.89,121.49,113.16,101.04,97.09,99.36,109.7,146.74,120.84,120.84,81.05,No Sensor,104.26,No Sensor,109.54,No Sensor,,20.5,1014.4,35,19.86,
15.10.21 11:57:48,7.57,119.23,119.71,138.96,39.17,111.42,102.42,100.73,108.76,107.36,120.52,112.69,101.5,98,98.91,110.64,147.44,120.68,120.2,80.48,No Sensor,104.26,No Sensor,108.91,No Sensor,,20.5,1014.4,35,19.88,
15.10.21 11:58:03,7.82,119.07,119.55,139.31,39.17,111.9,103.03,100.89,108.13,106.42,119.55,111.58,101.5,97.55,97.7,110.32,147.79,119.55,121.17,79.9,No Sensor,103.64,No Sensor,109.23,No Sensor,,20.5,1014.4,35,19.89,
15.10.21 11:58:18,8.07,119.07,119.71,138.79,39.04,112.37,102.57,100.43,108.13,106.73,120.03,111.11,101.04,97.7,96.94,110.01,148.66,119.07,120.36,79.9,No Sensor,103.95,No Sensor,108.91,No Sensor,,20.5,1014.4,35,19.88,
15.10.21 11:58:33,8.32,119.71,119.71,139.82,39.29,111.27,102.26,101.04,107.98,106.27,119.55,111.42,101.19,97.4,97.09,110.17,149.19,119.07,120.52,79.62,No Sensor,103.03,No Sensor,109.38,No Sensor,,20.5,1014.4,35,19.89,
15.10.21 11:58:48,8.57,119.39,120.52,139.48,39.29,110.95,102.26,100.73,108.13,107.51,118.42,110.79,100.73,96.94,97.85,109.85,148.14,119.55,120.03,79.05,No Sensor,102.72,No Sensor,109.23,No Sensor,,20.5,1014.4,35,19.9,
15.10.21 11:59:04,8.83,118.91,119.87,138.62,39.04,110.95,101.5,100.73,107.98,106.27,118.42,110.17,100.43,97.25,97.4,110.01,150.07,118.74,120.52,78.19,No Sensor,102.72,No Sensor,108.91,No Sensor,,20.5,1014.4,35,19.91,
15.10.21 11:59:19,9.08,119.07,120.2,138.79,39.17,110.79,100.73,101.5,108.13,105.8,117.78,109.85,100.58,97.09,97.7,110.17,147.09,117.78,120.52,77.05,No Sensor,102.11,No Sensor,109.23,No Sensor,,20.5,1014.4,35,19.91,
15.10.21 11:59:34,9.33,119.23,120.2,138.79,39.17,110.32,100.58,101.04,108.6,106.89,117.46,110.17,101.04,96.19,97.4,109.7,148.84,118.26,119.71,76.2,No Sensor,101.96,No Sensor,108.76,No Sensor,,20.5,1014.4,35,19.91,
15.10.21 11:59:49,9.58,119.55,120.52,139.14,39.04,110.32,100.58,101.19,109.23,106.73,117.3,109.7,100.89,95.59,97.25,109.7,149.72,118.42,120.36,76.2,No Sensor,101.65,No Sensor,108.91,No Sensor,,20.5,1014.4,35,19.93,
15.10.21 12:00:04,9.83,119.39,120.2,138.96,39.04,110.48,100.28,101.19,108.6,106.11,116.5,108.91,101.04,95.74,97.09,109.85,147.61,117.78,120.03,75.35,No Sensor,101.34,No Sensor,108.91,No Sensor,,20.5,1014.4,35,19.93,
15.10.21 12:00:19,10.08,119.55,121.17,139.48,39.04,110.79,99.36,100.58,109.38,105.03,115.86,108.29,100.43,95.44,97.4,109.23,149.54,117.78,119.71,75.07,No Sensor,101.34,No Sensor,109.07,No Sensor,,20.5,1014.4,35,19.93,
15.10.21 12:00:34,10.33,119.55,121,139.65,39.04,110.79,98.91,100.89,108.76,105.65,116.02,108.6,101.19,94.84,97.4,109.23,148.66,118.1,119.23,74.65,No Sensor,101.34,No Sensor,108.6,No Sensor,,20.5,1014.4,35,19.93,
15.10.21 12:00:49,10.58,119.39,120.84,139.31,39.04,110.01,99.06,101.04,108.76,105.49,115.54,108.29,101.34,94.69,97.7,109.85,147.26,118.1,118.42,73.8,No Sensor,101.34,No Sensor,108.45,No Sensor,,20.5,1014.4,35,19.95,
15.10.21 12:01:04,10.83,119.55,120.36,139.31,39.17,110.17,98.61,100.58,108.76,105.49,115.22,108.13,101.04,94.54,98.76,109.54,147.96,118.26,118.42,73.8,No Sensor,100.89,No Sensor,108.45,No Sensor,,20.5,1014.4,35,19.95,
15.10.21 12:01:20,11.1,120.03,120.84,138.11,39.17,109.85,98.76,100.12,108.45,105.65,115.22,107.82,100.58,94.24,98.91,108.91,146.39,117.14,118.1,72.82,No Sensor,100.58,No Sensor,108.6,No Sensor,,20.5,1014.4,35,19.95,
15.10.21 12:01:35,11.35,118.74,120.84,138.96,38.91,110.01,98.15,100.58,107.98,105.19,115.22,106.73,100.89,93.94,99.52,109.38,146.74,117.94,117.62,72.54,No Sensor,101.04,No Sensor,108.6,No Sensor,,20.5,1014.4,35,19.97,
15.10.21 12:01:50,11.6,119.07,121,138.62,39.04,108.91,98.3,101.19,109.23,104.88,114.59,107.51,101.04,93.79,99.67,109.07,148.14,116.5,118.1,72.26,No Sensor,100.73,No Sensor,108.45,No Sensor,,20.5,1014.4,35,19.97,
