Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
05.10.21 13:34:52,0.03,95.45,98.45,102.59,13.81,131.81,89.99,86.92,88.3,96.39,95.76,98.45,105.65,92.79,98.29,92.79,102.27,97.97,92.79,105.97,93.88,97.66,No Sensor,91.39,94.82,,21,1021,35,20.38,
05.10.21 13:35:08,0.3,95.45,99.08,103.23,13.68,131.11,90.61,88.91,88.14,96.24,96.24,98.92,105.97,92.63,97.97,92.17,101.79,98.61,91.39,103.07,94.82,98.13,No Sensor,92.01,93.57,,21,1021,35,20.38,
05.10.21 13:35:23,0.55,95.29,98.76,103.07,13.19,130.42,90.61,90.15,87.68,95.14,96.55,98.45,104.52,92.01,98.61,91.86,101.63,97.66,89.38,102.43,94.82,98.76,No Sensor,91.08,93.73,,21,1021,35,20.4,
05.10.21 13:35:38,0.8,95.45,97.97,103.23,13.56,130.07,90.3,91.08,86.61,94.98,95.92,97.81,104.84,91.7,98.45,92.79,101.31,97.02,88.61,101.79,94.51,100.19,No Sensor,90.15,94.51,,21,1021,35,20.42,
05.10.21 13:35:53,1.05,95.14,99.72,102.91,14.05,129.38,89.22,90.3,86.76,94.51,96.24,97.66,103.71,90.92,97.34,92.79,100.19,97.66,87.68,102.11,94.04,99.56,No Sensor,90.3,94.67,,21,1021,35,20.43,
05.10.21 13:36:08,1.3,95.29,98.92,103.55,13.06,130.42,89.22,90.92,85.69,94.51,95.92,96.87,103.71,91.54,97.66,93.1,99.88,96.87,86,100.51,94.67,98.92,No Sensor,88.61,93.57,,21,1021,35,20.43,
05.10.21 13:36:23,1.55,95.29,98.92,103.55,13.43,128,88.14,90.61,85.69,92.95,95.92,97.97,102.91,91.7,97.5,90.92,100.51,97.18,85.23,100.99,93.88,99.08,No Sensor,88.45,94.82,,21,1021,35,20.47,
05.10.21 13:36:38,1.8,94.51,98.76,102.91,13.81,128,87.53,90.92,84.32,91.7,94.98,97.5,103.55,90.46,97.81,91.08,100.03,96.55,84.01,99.4,93.1,98.29,No Sensor,88.45,93.57,,21,1021,35,20.49,
05.10.21 13:36:53,2.05,94.82,98.76,102.75,12.69,127.66,87.07,91.08,84.01,91.86,93.41,95.92,103.07,89.69,97.18,91.08,100.19,96.87,82.95,98.76,92.17,98.13,No Sensor,88.45,93.41,,21,1021,35,20.49,
05.10.21 13:37:08,2.3,94.98,99.08,102.75,12.94,127.14,85.69,91.54,83.1,90.92,93.26,95.76,101.79,89.84,97.66,90.46,99.4,96.55,82.8,97.66,92.17,99.24,No Sensor,86.3,92.48,,21,1021,35,20.49,
