Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
05.10.21 13:22:55,0.05,79.88,81.59,110.98,0,82.16,82.88,81.16,79.74,83.02,80.02,80.88,94.1,82.73,87.06,80.88,95.58,88.51,94.99,81.87,79.6,95.29,No Sensor,81.02,91.44,,21,1021,35,19.82,
05.10.21 13:23:10,0.3,79.88,81.3,111.61,0,81.16,84.02,80.17,79.17,82.45,80.02,80.88,97.23,83.02,89.39,80.45,95.58,89.53,96.48,81.87,78.75,96.78,No Sensor,81.02,90.12,,21,1021,35,19.86,
05.10.21 13:23:25,0.55,79.74,81.45,111.76,0,80.31,84.6,80.17,79.03,81.02,79.31,81.45,96.93,83.74,90.12,80.02,95.14,89.97,100.84,81.59,77.9,98.43,No Sensor,81.02,89.09,,21,1021,35,19.88,
05.10.21 13:23:40,0.8,80.17,80.59,111.45,0,80.45,84.89,79.31,78.18,80.59,79.17,80.88,94.39,83.59,88.8,79.88,95.43,90.41,99.03,81.02,76.63,99.03,No Sensor,81.3,88.07,,21,1021,35,19.91,
05.10.21 13:23:55,1.05,80.31,80.88,111.92,0,81.02,84.89,79.17,77.9,79.74,78.04,81.3,93.8,83.74,88.37,79.46,95.73,89.39,98.58,81.73,75.79,97.38,No Sensor,81.16,87.06,,21,1021,35,19.91,
05.10.21 13:24:10,1.3,80.31,81.16,111.61,0,79.17,83.59,78.89,76.91,78.75,78.04,81.59,92.03,84.02,87.49,79.46,95.73,88.37,98.58,81.59,74.81,95.29,No Sensor,81.16,86.48,,21,1021,35,19.93,
05.10.21 13:24:26,1.57,80.59,81.45,111.92,0,79.74,83.02,78.18,76.49,78.32,77.62,81.87,91,83.88,86.48,79.17,95.73,86.91,97.38,81.3,74.39,94.84,No Sensor,81.59,85.46,,21,1021,35,19.97,
05.10.21 13:24:41,1.82,81.16,81.87,111.92,0,79.46,83.59,78.04,75.51,78.04,78.18,82.16,89.83,84.02,86.19,78.89,95.29,86.19,96.33,81.3,73.69,93.65,No Sensor,81.3,84.89,,21,1021,35,19.97,
05.10.21 13:24:56,2.07,81.3,81.3,111.92,0,79.17,82.45,78.04,74.53,77.76,77.34,82.16,88.37,83.45,85.32,78.89,95.29,84.74,94.99,81.3,71.47,92.77,No Sensor,81.16,84.31,,21,1021,35,20,
05.10.21 13:25:11,2.32,81.3,81.16,111.76,0,79.03,82.3,77.48,74.11,77.34,76.91,82.45,87.35,83.45,84.46,78.32,95.14,84.46,94.25,81.16,71.75,90.85,No Sensor,81.02,82.88,,21,1021,35,20,
