B.Tag,Time,CoralR,CoralG,CoralB,Notes
B1,Post_Frag,0.32361,0.28206,0.087475,different blue standard 
B10,Post_Frag,0.255,0.37272,0.026821,
B11,Post_Frag,0.44351,0.48418,0.047744,
B12,Post_Frag,0.39961,0.52187,0.028733,minimal tissue
B13,Post_Frag,0.39911,0.30672,0.15585,
B1315,Post_Frag,0.33302,0.19564,0.093091,
B14,Post_Frag,0.45726,0.39645,0.11187,
B15,Post_Frag,0.34244,0.31368,0.060129,
B189,Post_Frag,0.39524,0.22829,0.13022,
B1938,Post_Frag,0.27166,0.28113,0.081922,lots of debris
B2,Post_Frag,0.2748,0.1345,0.20865,different B standard
B20,Post_Frag,0.40641,0.4307,0.11353,no tissue
B21,Post_Frag,0.41699,0.43548,0.045446,
B22,Post_Frag,0.59692,0.61784,0.30118,
B23,Post_Frag,0.51963,0.70451,0.16907,
B233,Post_Frag,0.20135,0.10943,0.12271,debris
B24,Post_Frag,0.56253,0.62213,0.059004,
B25,Post_Frag,0.46201,0.55623,0.001951,
B26,Post_Frag,0.38638,0.52703,0.13369,
B266,Post_Frag,0.16748,0.15461,0.084558,debris
B27,Post_Frag,0.26098,0.2306,0.12135,
B2759,Post_Frag,0.30902,0.1917,0.007296,
B28,Post_Frag,0.27661,0.19887,0.12977,
B29,Post_Frag,0.34096,0.24983,0.18683,
B3,Post_Frag,0.39183,0.29076,0.13804,diff B std
B30,Post_Frag,0.18461,0.23635,0.075312,no tissue
B31,Post_Frag,0.48042,0.38419,0.13775,
B32,Post_Frag,0.41711,0.33929,0.1122,
B33,Post_Frag,0.29403,0.27422,0.063362,
B3366,Post_Frag,0.50229,0.62863,0.19685,
B34,Post_Frag,0.52774,0.42572,0.24092,no tissue
B35,Post_Frag,0.49093,0.40759,0.13473,no tissue
B36,Post_Frag,0.37253,0.31689,0.098869,
B37,Post_Frag,0.46342,0.39263,0.1594,
B38,Post_Frag,0.27912,0.22265,0.13789,
B39,Post_Frag,0.32051,0.20101,0.10674,
B3941,Post_Frag,0.29977,0.2228,0.050472,
B3998,Post_Frag,0.50181,0.59098,0.19065,
B4,Post_Frag,0.35252,0.13073,0.10444,"debris, diff B std"
B40,Post_Frag,0.27555,0.33794,0.052872,
B4037,Post_Frag,0.32595,0.2734,0.02111,
B41,Post_Frag,0.38273,0.38805,0.071447,debris/bad angle
B42,Post_Frag,0.3089,0.23082,0.14651,
B43,Post_Frag,0.25303,0.22643,0.11463,
B44,Post_Frag,0.29439,0.2519,0.10824,
B45,Post_Frag,0.22304,0.28648,0.009889,no tissue
B46,Post_Frag,0.26686,0.2185,0.045907,
B47,Post_Frag,0.41461,0.2798,0.10202,
B48,Post_Frag,0.41232,0.29806,0.15352,
B49,Post_Frag,0.35718,0.2647,0.15521,
B5,Post_Frag,0.26704,0.15868,0.1604,diff B std
B50,Post_Frag,0.344,0.31831,0.088481,
B51,Post_Frag,0.32579,0.23675,0.11673,
B52,Post_Frag,0.36527,0.30189,0.16779,
B53,Post_Frag,0.31905,0.21934,0.17765,
B54,Post_Frag,0.49391,0.34067,0.036087,
B5431,Post_Frag,0.24896,0.20051,0.10021,
B55,Post_Frag,0.34571,0.26253,0.10608,
B56,Post_Frag,0.28289,0.28091,0.0524,
B5628,Post_Frag,0.38282,0.33252,0.054881,
B57,Post_Frag,0.28135,0.2301,0.14046,
B58,Post_Frag,0.31318,0.30152,0.1067,no tissue
B59,Post_Frag,0.27713,0.25976,0.11489,
B60,Post_Frag,0.35334,0.39014,0.034759,no tissue
B616,Post_Frag,0.19127,0.21869,0.088234,
B62,Post_Frag,0.2685,0.23673,0.084399,
B6232,Post_Frag,0.30763,0.29759,0.031323,
B63,Post_Frag,0.46585,0.50162,0.20674,
B6334,Post_Frag,0.49617,0.58865,0.1647,
B64,Post_Frag,0.62642,0.65268,0.27041,
B65,Post_Frag,0.6224,0.56894,0.21662,
B67,Post_Frag,0.53626,0.48355,0.23249,
B6947,Post_Frag,0.44737,0.54788,0.16761,
B7,Post_Frag,0.57223,0.60562,0.23827,
B70,Post_Frag,0.27857,0.52449,0.009752,no tissue
B71,Post_Frag,0.47119,0.5033,0.20332,
B72,Post_Frag,0.45876,0.38623,0.20751,
B73,Post_Frag,0.63803,0.54442,0.24374,
B74,Post_Frag,0.54138,0.42285,0.20792,no tissue
B75,Post_Frag,0.34807,0.48894,0.11739,
B76,Post_Frag,0.3835,0.49794,0.11716,
B77,Post_Frag,0.50665,0.43766,0.27897,
B78,Post_Frag,0.41256,0.40083,0.15976,bad lighting
B79,Post_Frag,0.49127,0.4328,0.23987,
B8,Post_Frag,0.48425,0.54602,0.10493,blurry and bad lighting
B80,Post_Frag,0.3606,0.50913,0.1134,bad lighting
B82,Post_Frag,0.56492,0.6051,0.17461,
B820,Post_Frag,0.38786,0.34968,0.006224,
B83,Post_Frag,0.42513,0.50466,0.13683,
B84,Post_Frag,0.47708,0.35622,0.20237,
B85,Post_Frag,0.43091,0.33312,0.13529,dark
B87,Post_Frag,0.31607,0.46535,0.084254,dark
B88,Post_Frag,0.36587,0.35704,0.19926,
B90,Post_Frag,0.63392,0.59758,0.28635,
B919,Post_Frag,0.32758,0.33711,0.066051,lots of particles 
B92,Post_Frag,0.51357,0.41171,0.20038,
B93,Post_Frag,0.5501,0.43932,0.22801,
B94,Post_Frag,0.44323,0.53282,0.2076,dark
B95,Post_Frag,0.35431,0.33695,0.20181,dark
B9658,Post_Frag,0.35291,0.43535,0.22351,
B97,Post_Frag,0.44492,0.36354,0.17287,
B98,Post_Frag,0.43148,0.52408,0.082551,
B9940,Post_Frag,0.1777,0.23206,0.047744,
G1899,Post_Frag,0.35309,0.49032,0.13151,
G1991,Post_Frag,0.54283,0.63314,0.18347,
G24,Post_Frag,0.39566,0.28253,0.34388,different B std
G25,Post_Frag,0.3269,0.16998,0.39138,diff B std and blurry
G26,Post_Frag,0.22621,0.15443,0.048959,different B std
G27,Post_Frag,0.17875,0.055487,0.16066,different B std
G28,Post_Frag,0.35177,0.28214,0.19656,different B std
G29,Post_Frag,0.38139,0.33859,0.16393,different B std
G30,Post_Frag,0.31784,0.21177,0.18241,different B std
G31,Post_Frag,0.17695,0.095139,0.067325,different B std
G32,Post_Frag,0.39091,0.22106,0.19487,different B std
G33,Post_Frag,0.25668,0.2175,0.15694,different B std
G34,Post_Frag,0.38789,0.33725,0.18133,different B std
G35,Post_Frag,0.34139,0.23023,0.1058,different B std
G37,Post_Frag,0.33511,0.11868,0.07595,different B std
G38,Post_Frag,0.40944,0.17248,-0.04671,different B std
G39,Post_Frag,0.32454,0.25136,0.13868,different B std
G4,Post_Frag,0.32433,0.18475,0.22003,different B std
G40,Post_Frag,0.33847,0.28818,0.26694,different B std
G41,Post_Frag,0.35878,0.24589,0.25224,different B std
G4161,Post_Frag,0.53435,0.65035,0.17516,
G42,Post_Frag,0.33767,0.059077,0.17,
G43,Post_Frag,0.30968,0.11149,0.080633,
G44,Post_Frag,0.37879,0.35421,0.27626,
G45,Post_Frag,0.37051,0.31344,0.19834,
G46,Post_Frag,0.34115,0.71531,0.034183,
G47,Post_Frag,0.2247,-0.01516,0.3946,
G48,Post_Frag,0.32496,0.26308,0.11725,
G49,Post_Frag,0.38987,0.331,0.13636,
G50,Post_Frag,0.37182,0.20518,0.21086,
G51,Post_Frag,0.30692,0.43681,0.075303,
G52,Post_Frag,0.25871,-0.08068,0.61152,
G53,Post_Frag,0.30652,0.16942,0.10653,
G54,Post_Frag,0.44725,0.34059,0.14592,
G55,Post_Frag,0.24048,0.29485,0.064251,
G56,Post_Frag,0.22772,0.20787,0.15772,
G57,Post_Frag,0.42219,0.24689,0.60176,
G58,Post_Frag,0.24794,0.14425,0.015275,
G59,Post_Frag,0.63394,0.48888,0.23756,
G60,Post_Frag,0.46845,0.55006,0.19134,
G6166,Post_Frag,0.6393,0.70579,0.2412,
G618,Post_Frag,0.32854,0.38686,0.18325,
G681,Post_Frag,0.52615,0.65687,0.12496,
