input.rate,converted.rate,volumetric,mass.specific,input.o2.unit,input.time.unit,output.unit,vial,B.TAG,Day,Sym.state,Bacteria,Treatment,Plastic,Light,Food,Temperature
-0.13656,-0.30991,-0.58884,-0.0039,%,min,umol/min/g,A2,G4,8,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.568,-1.28906,-2.44921,-0.01324,%,min,umol/min/g,A3,G27,8,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.09957,-0.22597,-0.42934,-0.00443,%,min,umol/min/g,A4,B20,8,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-1.36764,-3.10382,-5.89726,-0.03805,%,min,umol/min/g,A5,W20,8,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.56834,-1.28983,-2.45068,-0.01656,%,min,umol/min/g,A6,Y13,8,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.70194,-1.59303,-2.86746,-0.00851,%,min,umol/min/g,B2,G25,8,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.11961,-0.27146,-0.51578,-0.00555,%,min,umol/min/g,B3,B14,8,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.10525,-0.23887,-0.45384,-0.00428,%,min,umol/min/g,B4,W15,8,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-3.63874,-8.258,-15.6902,-0.04784,%,min,umol/min/g,B5,W22,8,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.49466,-1.12262,-2.13298,-0.0168,%,min,umol/min/g,B6,Y15,8,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.06056,-0.13745,-0.26115,-0.00475,%,min,umol/min/g,C2,G59,8,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.21897,-0.49694,-0.94418,-0.0054,%,min,umol/min/g,C3,B64,8,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.30276,-0.6871,-1.30549,-0.00894,%,min,umol/min/g,C4,W58,8,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.20402,-0.46301,-0.87972,-0.00633,%,min,umol/min/g,C5,W63,8,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.52407,-1.18935,-2.25977,-0.00813,%,min,umol/min/g,C6,Y56,8,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.16562,-0.37588,-0.71417,-0.00632,%,min,umol/min/g,D2,G63,8,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.16562,-0.37588,-0.71417,-0.00455,%,min,umol/min/g,D3,B67,8,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-1.46297,-3.32016,-5.97629,-0.01779,%,min,umol/min/g,D4,W60,8,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.40859,-0.92729,-1.76185,-0.00922,%,min,umol/min/g,D5,Y58,8,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.14019,-0.33019,-0.62736,-0.00427,%,min,umol/min/g,A2,G4,15,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.24151,-0.56881,-1.02386,-0.00298,%,min,umol/min/g,A3,G25,15,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.1331,-0.31349,-0.59564,-0.00315,%,min,umol/min/g,A4,G27,15,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.0719,-0.16934,-0.32174,-0.00354,%,min,umol/min/g,A5,B14,15,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.06434,-0.15155,-0.28794,-0.00294,%,min,umol/min/g,A6,B20,15,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.07696,-0.18126,-0.32627,-0.00311,%,min,umol/min/g,B2,W15,15,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.11398,-0.26846,-0.51008,-0.00315,%,min,umol/min/g,B3,W20,15,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.25877,-0.60948,-1.15801,-0.00439,%,min,umol/min/g,B4,W22,15,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.08774,-0.20665,-0.39264,-0.00302,%,min,umol/min/g,B5,Y15,15,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.03932,-0.0926,-0.17595,-0.00326,%,min,umol/min/g,C2,G59,15,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.12203,-0.28741,-0.54608,-0.0051,%,min,umol/min/g,C3,G63,15,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.09181,-0.21623,-0.41084,-0.00228,%,min,umol/min/g,C4,B64,15,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.09056,-0.21329,-0.40525,-0.00278,%,min,umol/min/g,C5,B67,15,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.09293,-0.21888,-0.41586,-0.00285,%,min,umol/min/g,C6,W58,15,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.29697,-0.69945,-1.25901,-0.00378,%,min,umol/min/g,D2,W60,15,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.29697,-0.69945,-1.32895,-0.01014,%,min,umol/min/g,D3,W63,15,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.18092,-0.42611,-0.767,-0.00266,%,min,umol/min/g,D4,Y56,15,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.19983,-0.47065,-0.89423,-0.00478,%,min,umol/min/g,D5,Y58,15,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.07937,-0.17732,-0.33691,-0.00229,%,min,umol/min/g,A2,G4,22,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.1637,-0.36574,-0.65832,-0.00189,%,min,umol/min/g,A3,G25,22,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.2571,-0.57439,-1.09135,-0.00574,%,min,umol/min/g,A4,G27,22,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.06623,-0.14798,-0.28116,-0.00316,%,min,umol/min/g,A5,B14,22,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.02245,-0.05016,-0.0953,-0.00094,%,min,umol/min/g,A6,B20,22,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.0566,-0.12645,-0.22761,-0.00215,%,min,umol/min/g,B2,W15,22,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.07878,-0.176,-0.3344,-0.00214,%,min,umol/min/g,B3,W20,22,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.15629,-0.34918,-0.66344,-0.00425,%,min,umol/min/g,B4,W22,22,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.0312,-0.06971,-0.13245,-0.00103,%,min,umol/min/g,B5,Y15,22,sym,SW,PDS,Plastic,Dark,Starved,Elevated
-0.03653,-0.08162,-0.15508,-0.00304,%,min,umol/min/g,C2,G59,22,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.07628,-0.17043,-0.32381,-0.00308,%,min,umol/min/g,C3,G63,22,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.08493,-0.18975,-0.36053,-0.00206,%,min,umol/min/g,C4,B64,22,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.07631,-0.17048,-0.32392,-0.00202,%,min,umol/min/g,C5,B67,22,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.07298,-0.16306,-0.30981,-0.00207,%,min,umol/min/g,C6,W58,22,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.09832,-0.21965,-0.41734,-0.00127,%,min,umol/min/g,D2,W60,22,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.11513,-0.25721,-0.48869,-0.00182,%,min,umol/min/g,D4,Y56,22,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.15452,-0.34522,-0.65592,-0.00358,%,min,umol/min/g,D5,Y58,22,apo,SW,PDS,Plastic,Dark,Starved,Elevated
-0.34767,-0.78903,-1.49916,-0.01153,%,min,umol/min/g,A2,G24,8,sym,EC,PDS,Plastic,Dark,Starved,Elevated
