"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria"
"1","-4.20253322162507","-9.69791969548782","-18.4260474214269","-0.0586816796860728","%","min","umol/min/g","A2","G49","8","sym","SW"
"2","-0.473933800933537","-1.0936670098835","-2.07796731877864","-0.015742176657414","%","min","umol/min/g","A3","G51","8","sym","SW"
"3","-0.155781196286108","-0.359486398317039","-0.683024156802374","-0.00517442543032101","%","min","umol/min/g","A4","G53","8","sym","SW"
"4","-0.152856868676173","-0.352738112740493","-0.670202414206937","-0.00274673120576614","%","min","umol/min/g","A5","B53","8","sym","SW"
"5","-0.281701572815238","-0.65006487448977","-1.23512326153056","-0.00950094816561971","%","min","umol/min/g","A6","B55","8","sym","SW"
"6","-0.153336769598717","-0.353845549698914","-0.672306544427937","-0.00763984709577201","%","min","umol/min/g","B2","W48","8","sym","SW"
"7","-0.167514638855025","-0.386562920448845","-0.734469548852806","-0.00348089833579529","%","min","umol/min/g","B3","W50","8","sym","SW"
"8","-0.120463813543453","-0.277986711430416","-0.52817475171779","-0.00260184606757532","%","min","umol/min/g","B4","W52","8","sym","SW"
"9","-0.0962472711221925","-0.222103730542773","-0.421997088031269","-0.00152897495663503","%","min","umol/min/g","B5","Y46","8","sym","SW"
"10","-0.346193726662167","-0.798889332504338","-1.51788973175824","-0.00566376765581434","%","min","umol/min/g","B6","Y48","8","sym","SW"
"11","-0.0723730550311115","-0.167010714441761","-0.317320357439347","-0.00223465040450244","%","min","umol/min/g","C2","B7","8","apo","SW"
"12","-0.162020368717011","-0.373884141299737","-0.710379868469499","-0.00483251611203741","%","min","umol/min/g","C3","B10","8","apo","SW"
"13","-0.297793708655535","-0.687199676971531","-1.30567938624591","-0.00630762988524594","%","min","umol/min/g","C4","B12","8","apo","SW"
"14","-0.352967445139068","-0.814520613535216","-1.54758916571691","-0.00568966605042982","%","min","umol/min/g","C5","O7681","8","apo","SW"
"15","-0.240683948659949","-0.555411101591367","-1.0552810930236","-0.00502514806201713","%","min","umol/min/g","C6","O9174","8","apo","SW"
"16","-0.174449885444463","-0.40256694967262","-0.764877204377978","-0.00286470863062913","%","min","umol/min/g","D2","W98","8","apo","SW"
"17","-0.174449885444463","-0.40256694967262","-0.764877204377978","-0.00509918136251985","%","min","umol/min/g","D3","Y2","8","apo","SW"
"18","-0.316259126721505","-0.729811152503934","-1.38664118975747","-0.00491716733956551","%","min","umol/min/g","D4","Y4","8","apo","SW"
"19","-0.582023626059379","-1.34309905210407","-2.41757829378732","-0.00753139655385459","%","min","umol/min/g","D5","Y97","8","apo","SW"
