"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria"
"1","-0.434675894247124","-1.00116001142194","-1.80208802055949","-0.00519333723504176","%","min","umol/min/g","A2","G50","15","sym","EC"
"2","-0.187372405561679","-0.431562371355329","-0.819968505575125","-0.00493956931069352","%","min","umol/min/g","A3","G52","15","sym","EC"
"3","-0.151747350955634","-0.349509557872145","-0.664068159957075","-0.00506922259509218","%","min","umol/min/g","A4","B52","15","sym","EC"
"4","-0.216745347373369","-0.499215110209462","-0.948508709397978","-0.00803820940167778","%","min","umol/min/g","A5","B56","15","sym","EC"
"5","-0.835252984281927","-1.92378252015165","-3.65518678828813","-0.0369210786695771","%","min","umol/min/g","A6","W49","15","sym","EC"
"6","-0.297325083509181","-0.684809044949817","-1.30113718540465","-0.00453357904322178","%","min","umol/min/g","B2","W51","15","sym","EC"
"7","-0.422751819419991","-0.973696084739726","-1.85002256100548","-0.0143412601628332","%","min","umol/min/g","B3","Y47","15","sym","EC"
"8","-0.122519462970961","-0.282190911828391","-0.536162732473943","-0.00352738639785488","%","min","umol/min/g","B4","Y49","15","sym","EC"
"9","-0.363994164729654","-0.838363495517605","-1.59289064148345","-0.00566864996969199","%","min","umol/min/g","C2","B11","15","apo","EC"
"10","-0.880519291200359","-2.02804138739336","-3.85327863604739","-0.0225337931932596","%","min","umol/min/g","C3","O7096","15","apo","EC"
"11","-0.120364401154358","-0.277227301604129","-0.526731873047846","-0.00458027715693779","%","min","umol/min/g","C4","O7398","15","apo","EC"
"12","-2.59043520578391","-5.96637672926941","-11.3361157856119","-0.0584335865237725","%","min","umol/min/g","C5","Y1","15","apo","EC"
"13","-0.282130133043712","-0.649811528448669","-1.23464190405247","-0.00781418926615489","%","min","umol/min/g","C6","Y3","15","apo","EC"
