"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria"
"1","-0.161205342734868","-0.371293519860944","-0.705457687735794","-0.00237527840988483","%","min","umol/min/g","A2","G49","15","sym","SW"
"2","-0.145910696638482","-0.336066381058886","-0.638526124011883","-0.0027641823550298","%","min","umol/min/g","A5","B53","15","sym","SW"
"3","-0.149962444660159","-0.345398502184872","-0.656257154151257","-0.00525005723321006","%","min","umol/min/g","A6","B55","15","sym","SW"
"4","-0.0783388817707568","-0.180432724258235","-0.342822176090646","-0.00418075824500787","%","min","umol/min/g","B2","W48","15","sym","SW"
"5","-0.0319071047279475","-0.0734895073700864","-0.139630064003164","-0.00091861884212608","%","min","umol/min/g","B4","W52","15","sym","SW"
"6","-0.136645927009822","-0.314727454769182","-0.597982164061445","-0.00223127673157256","%","min","umol/min/g","B5","Y48","15","sym","SW"
"7","-0.0305488632917158","-0.0703611604113329","-0.133686204781532","-0.00107811455468978","%","min","umol/min/g","C2","B7","15","apo","SW"
"8","-0.172197314457275","-0.396610595596684","-0.753560131633699","-0.00435583891117745","%","min","umol/min/g","C3","B12","15","apo","SW"
"9","-0.207289688179491","-0.477436520709021","-0.90712938934714","-0.00397863767257518","%","min","umol/min/g","C4","O7681","15","apo","SW"
"10","-0.134333039821043","-0.309400335885934","-0.587860638183274","-0.00296899312213775","%","min","umol/min/g","C5","O9174","15","apo","SW"
"11","-0.151249657004231","-0.348363252570503","-0.661890179883956","-0.00525309666574568","%","min","umol/min/g","D2","Y2","15","apo","SW"
