"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria"
"1","-1.57580011207705","-3.63429385724746","-6.90515832877018","-0.130286006203211","%","min","umol/min/g","A2","G34","8","sym","EC"
"2","-1.15542935138081","-2.66478582024709","-5.06309305846947","-0.023659313357334","%","min","umol/min/g","A3","G37","8","sym","EC"
"3","-0.13069250340933","-0.301418281854772","-0.572694735524068","-0.00743759396784503","%","min","umol/min/g","A5","B34","8","sym","EC"
"4","-0.356076501501643","-0.821225123795596","-1.56032773521163","-0.00975204834507271","%","min","umol/min/g","A6","B36","8","sym","EC"
"5","-2.14930335494545","-4.95697387020981","-9.41825035339864","-0.0350120830981362","%","min","umol/min/g","B2","W29","8","sym","EC"
"6","-3.59847491192181","-8.29922219679161","-15.7685221739041","-0.0586190415386768","%","min","umol/min/g","B3","W31","8","sym","EC"
"7","-5.01198210546971","-11.5592172122223","-20.8065909820001","-0.0476123363432496","%","min","umol/min/g","B4","Y25","8","sym","EC"
"8","-0.152004817692408","-0.3505712247243","-0.66608532697617","-0.00475775233554407","%","min","umol/min/g","B5","Y27","8","sym","EC"
"9","-0.608505888566304","-1.40340719356878","-2.66647366778069","-0.0196064240277992","%","min","umol/min/g","B6","Y29","8","sym","EC"
"10","-0.545007388326417","-1.2569595524006","-2.38822314956114","-0.0108064395907744","%","min","umol/min/g","C2","G75","8","apo","EC"
"11","-0.273251887503146","-0.630205346872955","-1.19739015905861","-0.00546753497287038","%","min","umol/min/g","C3","G77","8","apo","EC"
"12","-0.845136571352458","-1.94915245040371","-3.70338965576705","-0.0134668714755165","%","min","umol/min/g","C4","B76","8","apo","EC"
"13","-1.26521707375416","-2.91799105989944","-5.54418301380893","-0.027311246373443","%","min","umol/min/g","C6","B80","8","apo","EC"
"14","-0.992619439408203","-2.28929462790219","-4.34965979301416","-0.0319827925956923","%","min","umol/min/g","D2","W73","8","apo","EC"
"15","-0.992619439408203","-2.28929462790219","-4.34965979301416","-0.0414253313620396","%","min","umol/min/g","D3","W75","8","apo","EC"
"16","-1.83369236782191","-4.22907503139641","-8.03524255965318","-0.0492959666236391","%","min","umol/min/g","D4","Y67","8","apo","EC"
"17","-4.84138150861204","-11.1657582344936","-21.2149406455378","-0.107146164876453","%","min","umol/min/g","D5","Y71","8","apo","EC"
"18","-1.63612076804409","-3.77341238361767","-7.16948352887357","-0.027054654825938","%","min","umol/min/g","D6","Y73","8","apo","EC"
