"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria"
"1","-0.116151000159682","-0.268612824685533","-0.483503084433959","-0.00115119782008085","%","min","umol/min/g","A2","G33","22","sym","SW"
"2","-0.0817761895023805","-0.189117039233888","-0.359322374544387","-0.0023639629904236","%","min","umol/min/g","A3","G35","22","sym","SW"
"3","-0.138008210925052","-0.319160190746623","-0.606404362418583","-0.00367517795405202","%","min","umol/min/g","A4","G38","22","sym","SW"
"4","-0.0749855780313976","-0.173412952949181","-0.329484610603443","-0.00180046235302428","%","min","umol/min/g","A5","B33","22","sym","SW"
"5","-0.0861534982444779","-0.199240079621995","-0.37855615128179","-0.00213873531797621","%","min","umol/min/g","A6","B35","22","sym","SW"
"6","-0.0612772206007388","-0.14171076694832","-0.269250457201809","-0.00150419249833413","%","min","umol/min/g","B2","W28","22","sym","SW"
"7","-0.0775269411148161","-0.179290153450684","-0.340651291556299","-0.00252334290041703","%","min","umol/min/g","B3","W30","22","sym","SW"
"8","-0.0626357842068382","-0.14485260479085","-0.275219949102614","-0.00143343723490945","%","min","umol/min/g","B4","W32","22","sym","SW"
"9","-0.0792573070439078","-0.18329182781693","-0.348254472852168","-0.00230632101226601","%","min","umol/min/g","B5","Y26","22","sym","SW"
"10","-0.125814019750531","-0.290959691985181","-0.552823414771843","-0.0035897624335834","%","min","umol/min/g","B6","Y28","22","sym","SW"
"11","-0.0423442120823517","-0.0979259619020651","-0.186059327613924","-0.002514315238026","%","min","umol/min/g","C2","G76","22","apo","SW"
"12","-0.0738308646088297","-0.170742542589288","-0.324410830919648","-0.00238537375676212","%","min","umol/min/g","C3","G78","22","apo","SW"
"13","-0.128110830709009","-0.296271336985887","-0.562915540273185","-0.00327276476903015","%","min","umol/min/g","C4","B77","22","apo","SW"
"14","-0.0724000116379022","-0.167433527103394","-0.318123701496448","-0.00213505839930502","%","min","umol/min/g","C5","B79","22","apo","SW"
"15","-0.0945192868412379","-0.218586947945198","-0.415315201095876","-0.00159124598121025","%","min","umol/min/g","C6","W72","22","apo","SW"
"16","-0.0344862411450312","-0.0797534815371207","-0.151531614920529","-0.00100352062861278","%","min","umol/min/g","D2","W74","22","apo","SW"
"17","-0.0344862411450312","-0.0797534815371207","-0.151531614920529","-0.00141618331701429","%","min","umol/min/g","D3","W76","22","apo","SW"
"18","-0.0644458879042794","-0.149038682108092","-0.283173496005374","-0.0016368410173721","%","min","umol/min/g","D4","Y70","22","apo","SW"
"19","-0.0870656649547423","-0.201349572233262","-0.382564187243199","-0.00354226099299258","%","min","umol/min/g","D5","Y72","22","apo","SW"
