"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria","Treatment"
"1","-1.52334591858031","-3.4846498929906","-6.62083479668215","-0.0270238154966618","%","min","umol/min/g","A2","G55","15","sym","EC","NLF"
"2","-0.820067584447256","-1.8759025022054","-3.56421475419026","-0.0280646831038604","%","min","umol/min/g","A3","G57","15","sym","EC","NLF"
"3","-0.507739285011811","-1.1614523159864","-2.20675940037416","-0.0112018243673815","%","min","umol/min/g","A4","B57","15","sym","EC","NLF"
"4","-2.50323958750759","-5.72615415470933","-10.8796928939477","-0.0647600767496888","%","min","umol/min/g","A5","B59","15","sym","EC","NLF"
"5","-0.139150672939843","-0.318306808489887","-0.604782936130786","-0.00785432384585436","%","min","umol/min/g","A6","B62","15","sym","EC","NLF"
"6","-0.407819608295666","-0.93288631102998","-1.77248399095696","-0.011078024943481","%","min","umol/min/g","B2","W54","15","sym","EC","NLF"
"7","-1.15576906354087","-2.64381877711856","-5.02325567652527","-0.0200129708228098","%","min","umol/min/g","B3","W56","15","sym","EC","NLF"
"8","-1.04157703448638","-2.38260480268788","-4.52694912510697","-0.0243384361564891","%","min","umol/min/g","B4","Y52","15","sym","EC","NLF"
"9","-0.766071693004725","-1.75238703861818","-3.32953537337455","-0.0144762407538024","%","min","umol/min/g","B5","Y54","15","sym","EC","NLF"
"10","-0.220080951348806","-0.50343461338158","-0.956525765425001","-0.00976046699413266","%","min","umol/min/g","C2","B23","15","apo","EC","NLF"
"11","-0.183095858951986","-0.418831309108487","-0.795779487306125","-0.0100731580671661","%","min","umol/min/g","C3","B25","15","apo","EC","NLF"
"12","-0.303588974339189","-0.694459002411021","-1.31947210458094","-0.0115743167068503","%","min","umol/min/g","C4","W10","15","apo","EC","NLF"
"13","-0.315773895492101","-0.722331978386934","-1.37243075893517","-0.0103190282626705","%","min","umol/min/g","C5","W13","15","apo","EC","NLF"
"14","-0.413158297213748","-0.945098548277079","-1.79568724172645","-0.0141392696198933","%","min","umol/min/g","C6","Y8","15","apo","EC","NLF"
"15","-0.445018836656454","-1.01797945077303","-1.93416095646875","-0.00952788648506774","%","min","umol/min/g","D2","Y11","15","apo","EC","NLF"
"16","-0.445018836656454","-1.01797945077303","-1.93416095646875","-0.0108053684718925","%","min","umol/min/g","D3","O29","15","apo","EC","NLF"
