"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria","Treatment"
"1","-0.480686818397902","-1.0995698677903","-2.08918274880157","-0.00842412398710309","%","min","umol/min/g","A2","G54","15","sym","SW","NLF"
"2","-0.338455759433205","-0.774216684146249","-1.47101169987787","-0.00639570304294728","%","min","umol/min/g","A3","G56","15","sym","SW","NLF"
"3","-0.243165392289232","-0.556240212997307","-1.05685640469488","-0.00491561118462736","%","min","umol/min/g","A4","G58","15","sym","SW","NLF"
"4","-0.109804501729109","-0.251177516894404","-0.477237282099368","-0.00561455625999257","%","min","umol/min/g","A5","B58","15","sym","SW","NLF"
"5","-0.166213066902556","-0.380211965470991","-0.722402734394883","-0.00258000976569601","%","min","umol/min/g","A6","B60","15","sym","SW","NLF"
"6","-0.23811206006838","-0.544680728465356","-1.03489338408418","-0.0052267342630514","%","min","umol/min/g","B2","W53","15","sym","SW","NLF"
"7","-0.391144879490468","-0.89474291153157","-1.70001153190998","-0.00602840968762406","%","min","umol/min/g","B3","W55","15","sym","SW","NLF"
"8","-0.157169718213661","-0.359525328472349","-0.683098124097462","-0.00269999258536546","%","min","umol/min/g","B4","W57","15","sym","SW","NLF"
"9","-0.140874338701898","-0.322249689512533","-0.612274410073813","-0.00637785843826889","%","min","umol/min/g","B5","Y51","15","sym","SW","NLF"
"10","-1.64883224597866","-3.77169954599914","-7.16622913739837","-0.0255936754907085","%","min","umol/min/g","B6","Y53","15","sym","SW","NLF"
"11","-0.222488234062673","-0.508941266433233","-0.966988406223143","-0.00600613916908784","%","min","umol/min/g","C2","B22","15","apo","SW","NLF"
"12","-0.239900242172579","-0.548771190455666","-1.04266526186576","-0.00487226757881198","%","min","umol/min/g","C3","B24","15","apo","SW","NLF"
"13","-0.437965339474381","-1.00184459400745","-1.90350472861415","-0.00628219382380908","%","min","umol/min/g","C4","B26","15","apo","SW","NLF"
"14","-0.129563118827599","-0.29637530297707","-0.563113075656434","-0.00287302589620629","%","min","umol/min/g","C5","W14","15","apo","SW","NLF"
"15","-0.733056971560554","-1.67686594774556","-3.18604530071656","-0.0107636665564749","%","min","umol/min/g","C6","Y5","15","apo","SW","NLF"
"16","-0.358260104809162","-0.819519073546678","-1.47513433238402","-0.00348731520658161","%","min","umol/min/g","D2","O27","15","apo","SW","NLF"
