"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria","Treatment"
"1","-2.60487957547873","-5.94037628289491","-10.6926773092108","-0.0308146320150168","%","min","umol/min/g","A2","G40","22","sym","EC","NLS"
"2","-2.13315912745329","-4.86462714347763","-9.2427915726075","-0.0528159518434714","%","min","umol/min/g","A3","G42","22","sym","EC","NLS"
"3","-0.139582290709397","-0.318314649570646","-0.604797834184228","-0.0116307275804659","%","min","umol/min/g","A4","B37","22","sym","EC","NLS"
"4","-0.424270878967948","-0.967541336908437","-1.83832854012603","-0.0132253851807628","%","min","umol/min/g","A5","B39","22","sym","EC","NLS"
"5","-1.37303553486134","-3.1311803446281","-5.63612462033059","-0.018239885502688","%","min","umol/min/g","A6","B41","22","sym","EC","NLS"
"6","-2.20932660668767","-5.03832557139387","-9.57281858564835","-0.0832419007447683","%","min","umol/min/g","B2","W34","22","sym","EC","NLS"
"7","-0.300440222216501","-0.685147976621752","-1.30178115558133","-0.0107585219469531","%","min","umol/min/g","B3","W36","22","sym","EC","NLS"
"8","-0.398599187563723","-0.908997553082489","-1.63619559554848","-0.00843399791519835","%","min","umol/min/g","B4","Y32","22","sym","EC","NLS"
"9","-1.54257388155536","-3.51780918659953","-6.68383745453911","-0.0247549535353301","%","min","umol/min/g","B5","Y34","22","sym","EC","NLS"
"10","-0.732315157023288","-1.67003021227425","-3.17305740332107","-0.0275918035071397","%","min","umol/min/g","C2","G80","22","sym","EC","NLS"
"11","-3.34655795826747","-7.63175914609094","-14.5003423775728","-0.0725017118878639","%","min","umol/min/g","C3","G82","22","apo","EC","NLS"
"12","-3.55009299784646","-8.0959167728906","-15.3822418684921","-0.109873156203515","%","min","umol/min/g","C4","B82","22","apo","EC","NLS"
"13","-4.41752940715468","-10.0740883249582","-19.1407678174207","-0.0966705445324276","%","min","umol/min/g","C5","B84","22","apo","EC","NLS"
"14","-1.48437905331293","-3.38509703332661","-6.43168436332055","-0.0319984296682615","%","min","umol/min/g","C6","B87","22","apo","EC","NLS"
"15","-1.27447476856323","-2.90641446905645","-5.52218749120726","-0.0245430555164767","%","min","umol/min/g","D2","W78","22","apo","EC","NLS"
"16","-1.27447476856323","-2.90641446905645","-5.52218749120726","-0.0438268848508513","%","min","umol/min/g","D3","W80","22","apo","EC","NLS"
"17","-2.40840128441913","-5.49231143133659","-10.4353917195395","-0.0691085544340366","%","min","umol/min/g","D4","Y74","22","apo","EC","NLS"
"18","-0.385065285760391","-0.878133758055509","-1.66845414030547","-0.00916733044123883","%","min","umol/min/g","D5","Y76","22","apo","EC","NLS"
"19","-2.12289755538355","-4.84122583160043","-9.19832908004082","-0.0372401987046187","%","min","umol/min/g","D6","Y78","22","apo","EC","NLS"
