"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria","Treatment"
"1","-0.16273356401121","-0.37111066983029","-0.705110272677551","-0.00927776674575724","%","min","umol/min/g","A2","G39","22","sym","SW","NLS"
"2","-0.0936244241396467","-0.21350864504231","-0.405666425580389","-0.00665026927180965","%","min","umol/min/g","A3","G41","22","sym","SW","NLS"
"3","-0.238854594549169","-0.544703172414256","-1.03493602758709","-0.00562465232384286","%","min","umol/min/g","A4","G43","22","sym","SW","NLS"
"4","-0.800533665439841","-1.82560116966781","-3.46864222236884","-0.020166524548656","%","min","umol/min/g","A5","B38","22","sym","SW","NLS"
"5","-0.139386772854659","-0.317868774975098","-0.603950672452685","-0.00575191116621605","%","min","umol/min/g","A6","B40","22","sym","SW","NLS"
"6","-0.140228508451274","-0.319788336332817","-0.607597839032352","-0.00443502072286388","%","min","umol/min/g","B2","W33","22","sym","SW","NLS"
"7","-0.154157392582512","-0.351552880736061","-0.667950473398516","-0.00525945254644501","%","min","umol/min/g","B3","W35","22","sym","SW","NLS"
"8","-0.233192447947018","-0.531790759225438","-1.01040244252833","-0.00520826001303264","%","min","umol/min/g","B4","W37","22","sym","SW","NLS"
"9","-0.203235095812302","-0.463473610980036","-0.880599860862068","-0.00384541423957235","%","min","umol/min/g","B5","Y31","22","sym","SW","NLS"
"10","-0.236582947361439","-0.539522725992037","-1.02509317938487","-0.00517723827972157","%","min","umol/min/g","B6","Y33","22","sym","SW","NLS"
"11","-2.44170631630301","-5.56826289695","-10.579699504205","-0.0641193909345757","%","min","umol/min/g","C2","G79","22","apo","SW","NLS"
"12","-1.13970233555623","-2.5990686047181","-4.93823034896439","-0.0176997503547111","%","min","umol/min/g","C3","G84","22","apo","SW","NLS"
"13","-0.156174471435194","-0.356152789111863","-0.676690299312541","-0.0049393452504565","%","min","umol/min/g","C4","B83","22","apo","SW","NLS"
"14","-0.109831803918889","-0.250469253645795","-0.475891581927011","-0.00383783533812106","%","min","umol/min/g","C5","B85","22","apo","SW","NLS"
"15","-0.0583058748566016","-0.132965392877304","-0.252634246466878","-0.003460743102286","%","min","umol/min/g","C6","W77","22","apo","SW","NLS"
"16","-0.126900765756113","-0.289394683069091","-0.549849897831274","-0.0048659282993918","%","min","umol/min/g","D2","W82","22","apo","SW","NLS"
"17","-0.126900765756113","-0.289394683069091","-0.549849897831274","-0.00398441954950198","%","min","umol/min/g","D3","Y75","22","apo","SW","NLS"
"18","-0.120719482482615","-0.275298388982637","-0.523066939067011","-0.00528350443502031","%","min","umol/min/g","D4","Y77","22","apo","SW","NLS"
