"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria","Treatment"
"1","-0.704558857591877","-1.60530908612895","-3.05008726364501","-0.0122987389663105","%","min","umol/min/g","A2","B1","8","sym","SW","PDF"
"2","-0.1515594167659","-0.345322049678407","-0.656111894388974","-0.00950886803462281","%","min","umol/min/g","A3","B3","8","sym","SW","PDF"
"3","-0.227396901001685","-0.51811471448","-0.984417957512","-0.00841382869668376","%","min","umol/min/g","A4","B5","8","sym","SW","PDF"
"4","-0.406061522226383","-0.925194884903368","-1.7578702813164","-0.0111257612741544","%","min","umol/min/g","A5","B43","8","sym","SW","PDF"
"5","-6.68395299008552","-15.2291186898375","-28.9353255106913","-0.116206126548961","%","min","umol/min/g","B2","W38","8","sym","SW","PDF"
"6","-0.132745056803237","-0.302454285442222","-0.574663142340221","-0.00247699630319061","%","min","umol/min/g","B3","W40","8","sym","SW","PDF"
"7","-1.40503896482366","-3.20132490322501","-6.08251731612752","-0.0203428672780184","%","min","umol/min/g","B4","W42","8","sym","SW","PDF"
"8","-0.239387031318204","-0.545433745294212","-1.036324116059","-0.00643679575191928","%","min","umol/min/g","B5","Y36","8","sym","SW","PDF"
"9","-0.362027253085861","-0.824864569571111","-1.56724268218511","-0.0118730506226145","%","min","umol/min/g","B6","Y38","8","sym","SW","PDF"
"10","-0.0892422357915684","-0.203334853346848","-0.386336221359011","-0.00633338067801657","%","min","umol/min/g","C2","G85","8","apo","SW","PDF"
"11","-0.280391411337518","-0.638860579840117","-1.21383510169622","-0.00940957443175366","%","min","umol/min/g","C3","G88","8","apo","SW","PDF"
"12","-0.167071367487918","-0.380665406971155","-0.723264273245194","-0.00688823117376375","%","min","umol/min/g","C4","G90","8","apo","SW","PDF"
"13","-0.186139898646016","-0.424112290077349","-0.805813351146962","-0.00468496134387769","%","min","umol/min/g","C5","B93","8","apo","SW","PDF"
"14","-0.10956905216606","-0.24964868882906","-0.474332508775215","-0.00343719209257402","%","min","umol/min/g","C6","W83","8","apo","SW","PDF"
"15","-0.186824899415744","-0.42567303684506","-0.808778770005615","-0.00484298664674021","%","min","umol/min/g","D2","W85","8","apo","SW","PDF"
"16","-0.186824899415744","-0.42567303684506","-0.808778770005615","-0.0172080589362897","%","min","umol/min/g","D3","Y79","8","apo","SW","PDF"
"17","-0.488524584607008","-1.11308366365224","-2.11485896093925","-0.00915523359713961","%","min","umol/min/g","D4","Y83","8","apo","SW","PDF"
