"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria","Treatment"
"1","-0.722647609893187","-1.63144487579851","-3.09974526401717","-0.0114805380148784","%","min","umol/min/g","A2","B2","15","sym","EC","PDF"
"2","-0.819255439859975","-1.8495461287517","-3.51413764462823","-0.018995338619612","%","min","umol/min/g","A3","B4","15","sym","EC","PDF"
"3","-1.69790695031802","-3.83318446744527","-7.28305048814601","-0.0375414973615774","%","min","umol/min/g","A4","B42","15","sym","EC","PDF"
"4","-0.67702092134188","-1.52843833953157","-2.90403284510997","-0.0172859097923213","%","min","umol/min/g","A5","B44","15","sym","EC","PDF"
"5","-0.273471566589356","-0.617387755637553","-1.17303673571135","-0.0111717784353462","%","min","umol/min/g","A6","B46","15","sym","EC","PDF"
"6","-0.680679655234588","-1.53669827505125","-2.91972672259737","-0.0224594363276721","%","min","umol/min/g","B2","W39","15","sym","EC","PDF"
"7","-0.336715594124947","-0.760167089901248","-1.44431747081237","-0.013130158825567","%","min","umol/min/g","B3","W41","15","sym","EC","PDF"
"8","-0.304509313593727","-0.687458385656099","-1.30617093274659","-0.0109762263256016","%","min","umol/min/g","B4","Y35","15","sym","EC","PDF"
"9","-0.492786463282933","-1.11251174068734","-2.11377230730594","-0.0119422164254573","%","min","umol/min/g","B5","Y37","15","sym","EC","PDF"
"10","-0.43798465640937","-0.988791512758277","-1.87870387424073","-0.00757541884774486","%","min","umol/min/g","B6","Y39","15","sym","EC","PDF"
"11","-1.6455744173301","-3.71503885731405","-7.0585738288967","-0.0283476860598261","%","min","umol/min/g","C2","G87","15","apo","EC","PDF"
"12","-0.332748452157226","-0.751210894175699","-1.42730069893383","-0.0117958735449077","%","min","umol/min/g","C3","G92","15","apo","EC","PDF"
"13","-0.226652229919841","-0.511688704188319","-0.972208537957806","-0.0145105751934001","%","min","umol/min/g","C4","B88","15","apo","EC","PDF"
"14","-3.68928685570675","-8.3289117042582","-15.8249322380906","-0.0837298002015375","%","min","umol/min/g","C5","B92","15","apo","EC","PDF"
"15","-0.114053690379698","-0.257486921963764","-0.489225151731152","-0.00474975875467138","%","min","umol/min/g","C6","B94","15","apo","EC","PDF"
"16","-1.67311133046062","-3.77720602594101","-6.79897084669382","-0.0220745806710838","%","min","umol/min/g","D2","W84","15","apo","EC","PDF"
"17","-1.67311133046062","-3.77720602594101","-7.17669144928793","-0.0920088647344606","%","min","umol/min/g","D3","W87","15","apo","EC","PDF"
"18","-0.295400150036588","-0.666893593073026","-1.26709782683875","-0.013924151943283","%","min","umol/min/g","D4","Y82","15","apo","EC","PDF"
"19","-0.301970020968301","-0.681725693974579","-1.2952788185517","-0.00780288444910663","%","min","umol/min/g","D5","Y84","15","apo","EC","PDF"
