"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria"
"1","-0.136558040278564","-0.309914355828108","-0.588837276073405","-0.00389958460975765","%","min","umol/min/g","A2","G4","8","sym","SW"
"2","-0.568000263845893","-1.28905947625573","-2.44921300488589","-0.0132389892155994","%","min","umol/min/g","A3","G27","8","sym","SW"
"3","-0.0995684308773742","-0.225967552355251","-0.429338349474976","-0.00442616855128841","%","min","umol/min/g","A4","B20","8","sym","SW"
"4","-1.36764047643691","-3.10381883333106","-5.89725578332902","-0.0380468115053485","%","min","umol/min/g","A5","W20","8","sym","SW"
"5","-0.568340447602274","-1.28983151303589","-2.4506798747682","-0.0165586478024878","%","min","umol/min/g","A6","Y13","8","sym","SW"
"6","-0.701940376455876","-1.59303252415823","-2.86745854348481","-0.00850877906078578","%","min","umol/min/g","B2","G25","8","sym","SW"
"7","-0.119614087959208","-0.27146056681998","-0.515775076957961","-0.00554596856944044","%","min","umol/min/g","B3","B14","8","sym","SW"
"8","-0.105251718603141","-0.238865602524423","-0.453844644796405","-0.00428155325279627","%","min","umol/min/g","B4","W15","8","sym","SW"
"9","-3.6387364329839","-8.25800264382885","-15.6902050232748","-0.0478359909246183","%","min","umol/min/g","B5","W22","8","sym","SW"
"10","-0.494663304426067","-1.12262345761762","-2.13298456947347","-0.0167951540903423","%","min","umol/min/g","B6","Y15","8","sym","SW"
"11","-0.0605636547521774","-0.13744738875008","-0.261150038625153","-0.00474818252045732","%","min","umol/min/g","C2","G59","8","apo","SW"
"12","-0.218966038378546","-0.496936823301585","-0.944179964273012","-0.00539531408156007","%","min","umol/min/g","C3","B64","8","apo","SW"
"13","-0.302758633226506","-0.687101591355507","-1.30549302357546","-0.00894173303818811","%","min","umol/min/g","C4","W58","8","apo","SW"
"14","-0.204016691545272","-0.463009731316126","-0.87971848950064","-0.00632890999640748","%","min","umol/min/g","C5","W63","8","apo","SW"
"15","-0.524066534705242","-1.18935320236679","-2.2597710844969","-0.0081286729658162","%","min","umol/min/g","C6","Y56","8","apo","SW"
"16","-0.165624521454819","-0.37587985863961","-0.714171731415259","-0.00632010381783415","%","min","umol/min/g","D2","G63","8","apo","SW"
"17","-0.165624521454819","-0.37587985863961","-0.714171731415259","-0.00454886453130738","%","min","umol/min/g","D3","B67","8","apo","SW"
"18","-1.46296742459585","-3.32016046851764","-5.97628884333176","-0.0177865739384874","%","min","umol/min/g","D4","W60","8","apo","SW"
"19","-0.408591877377367","-0.927286948580215","-1.76184520230241","-0.00922432043090266","%","min","umol/min/g","D5","Y58","8","apo","SW"
