"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria"
"1","-0.197592405193085","-0.441448684372455","-0.838752500307664","-0.00612228102414353","%","min","umol/min/g","A2","G24","22","sym","EC"
"2","-0.269381338065495","-0.60183506125804","-1.14348661639028","-0.00621460117603411","%","min","umol/min/g","A3","G26","22","sym","EC"
"3","-0.0887741511848894","-0.198333697130492","-0.376834024547934","-0.0114192128650889","%","min","umol/min/g","A4","B13","22","sym","EC"
"4","-0.522463134316769","-1.16725469813411","-2.2177839264548","-0.00939738951887627","%","min","umol/min/g","A5","B15","22","sym","EC"
"5","-2.57234130679956","-5.74696524663451","-10.9192339686056","-0.0627542182103769","%","min","umol/min/g","A6","W21","22","sym","EC"
"6","-0.215788400363484","-0.482101047103556","-0.867781884786401","-0.00442745859584898","%","min","umol/min/g","B2","Y17","22","sym","EC"
"7","-0.246528166152348","-0.550777923384052","-1.0464780544297","-0.00702334264717919","%","min","umol/min/g","C2","G60","22","apo","EC"
"8","-3.59097316248361","-8.02272929795105","-15.243185666107","-0.0946781718391739","%","min","umol/min/g","C3","G64","22","apo","EC"
"9","-1.37155970841065","-3.06425354873578","-5.82208174259799","-0.0388138782839866","%","min","umol/min/g","C4","B63","22","apo","EC"
"10","-4.43139483897308","-9.90034723089654","-18.8106597387034","-0.0704519091337207","%","min","umol/min/g","C5","B65","22","apo","EC"
"11","-0.0947766026610481","-0.211744001562843","-0.402313602969401","-0.00365739639063092","%","min","umol/min/g","C6","B70","22","apo","EC"
"12","-2.12271612839575","-4.74244058753574","-9.0106371163179","-0.044387374957231","%","min","umol/min/g","D2","W59","22","apo","EC"
"13","-2.12271612839575","-4.74244058753574","-9.0106371163179","-0.0316162705835716","%","min","umol/min/g","D3","W62","22","apo","EC"
"14","-0.259388988326942","-0.579510773836351","-1.10107047028907","-0.00743966533979099","%","min","umol/min/g","D4","Y59","22","apo","EC"
