"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria","Treatment"
"1","-0.192434551448514","-0.436942202938797","-0.830190185583714","-0.00419287972517027","%","min","umol/min/g","A2","G45","15","sym","EC","PLF"
"2","-5.5989153646727","-12.7129062587417","-22.8832312657351","-0.0735795217547751","%","min","umol/min/g","A3","G47","15","sym","EC","PLF"
"3","-1.97249188705485","-4.47874326061058","-8.5096121951601","-0.0559842907576322","%","min","umol/min/g","A4","B47","15","sym","EC","PLF"
"4","-5.81212562108296","-13.1970218108803","-25.0743414406726","-0.195893292505255","%","min","umol/min/g","A5","B49","15","sym","EC","PLF"
"5","-0.197414636294662","-0.448249991623929","-0.851674984085465","-0.0127115669266487","%","min","umol/min/g","A6","B51","15","sym","EC","PLF"
"6","-0.354336882985284","-0.804557898093889","-1.52866000637839","-0.0108415603289248","%","min","umol/min/g","B2","W44","15","sym","EC","PLF"
"7","-1.10531428148746","-2.50972839054871","-4.76848394204255","-0.028553796060135","%","min","umol/min/g","B3","W46","15","sym","EC","PLF"
"8","-2.96782864422103","-6.73875650702858","-12.8036373633543","-0.0889141483566271","%","min","umol/min/g","B5","Y42","15","sym","EC","PLF"
"9","-0.343321061911113","-0.779545356993047","-1.48113617828679","-0.0131073998078477","%","min","umol/min/g","B6","Y44","15","sym","EC","PLF"
"10","-0.441778506337117","-1.00310298913029","-1.90589567934756","-0.0120626308819466","%","min","umol/min/g","C2","G97","15","apo","EC","PLF"
"11","-0.18604703558155","-0.422438699107447","-0.80263352830415","-0.0111476878931132","%","min","umol/min/g","C3","B97","15","apo","EC","PLF"
"12","-0.335834895737859","-0.762547256003981","-1.44883978640756","-0.0132921081321795","%","min","umol/min/g","C4","W92","15","apo","EC","PLF"
"13","-0.193008434992887","-0.438245263840393","-0.832666001296748","-0.0136502623163401","%","min","umol/min/g","C5","W94","15","apo","EC","PLF"
"14","-2.70339905855396","-6.13834226325658","-11.6628503001875","-0.0767292782907073","%","min","umol/min/g","C6","Y88","15","apo","EC","PLF"
"15","-2.8994406111602","-6.58347452884264","-12.508601604801","-0.0519029112232407","%","min","umol/min/g","D2","Y93","15","apo","EC","PLF"
