"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria","Treatment"
"1","-1.16029803522618","-2.70104968643595","-4.86188943558471","-0.0136954631988302","%","min","umol/min/g","A2","G44","22","sym","SW","PLF"
"2","-0.213051519746906","-0.495961143720207","-0.942326173068394","-0.00682845052948112","%","min","umol/min/g","A3","G46","22","sym","SW","PLF"
"3","-0.135809525538742","-0.316150045276883","-0.600685086026078","-0.00706688336501268","%","min","umol/min/g","A4","G48","22","sym","SW","PLF"
"4","-0.205282023804156","-0.477874588419059","-0.907961717996212","-0.00418415538247102","%","min","umol/min/g","A5","B50","22","sym","SW","PLF"
"5","-0.239269141434258","-0.556992962001202","-1.05828662780228","-0.00853456957905067","%","min","umol/min/g","A6","W43","22","sym","SW","PLF"
"6","-0.167422464542473","-0.389741585028739","-0.740509011554604","-0.00841487513130232","%","min","umol/min/g","B2","W45","22","sym","SW","PLF"
"7","-5.71315946377229","-13.2996239842573","-23.9393231716632","-0.071036567274965","%","min","umol/min/g","B3","Y41","22","sym","SW","PLF"
"8","-0.223203678844297","-0.519594283925696","-0.987229139458823","-0.00442703649981535","%","min","umol/min/g","B4","Y43","22","sym","SW","PLF"
"9","-0.228219025333191","-0.531269473963016","-1.00941200052973","-0.0116024367876981","%","min","umol/min/g","C2","G93","22","apo","SW","PLF"
"10","-0.171618245444696","-0.399508914065105","-0.7590669367237","-0.0050944089713","%","min","umol/min/g","C3","G95","22","apo","SW","PLF"
"11","-0.252482159283401","-0.587751453901381","-1.11672776241262","-0.00558363881206312","%","min","umol/min/g","C4","G98","22","apo","SW","PLF"
"12","-0.270189149783317","-0.628971433325203","-1.19504572331789","-0.00571792212113821","%","min","umol/min/g","C5","W2","22","apo","SW","PLF"
"13","-0.212821188154738","-0.495424956416675","-0.941307417191683","-0.00356555839845334","%","min","umol/min/g","C6","W93","22","apo","SW","PLF"
"14","-0.21231775115958","-0.49425300895436","-0.939080717013284","-0.00816591927837638","%","min","umol/min/g","D2","W95","22","apo","SW","PLF"
"15","-0.21231775115958","-0.49425300895436","-0.939080717013284","-0.00371178149017108","%","min","umol/min/g","D3","Y92","22","apo","SW","PLF"
