"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria","Treatment"
"1","-0.688100406621767","-1.5493589169971","-2.94378194229449","-0.0156584145866728","%","min","umol/min/g","A2","G29","8","sym","EC","PLS"
"2","-0.815147223792945","-1.83542344648438","-3.48730454832033","-0.0142922317554112","%","min","umol/min/g","A3","G31","8","sym","EC","PLS"
"3","-0.376680619432365","-0.848151622875475","-1.6114880834634","-0.00885433012891979","%","min","umol/min/g","A4","B27","8","sym","EC","PLS"
"4","-0.863465699549678","-1.94421957645172","-3.69401719525828","-0.0223879830015653","%","min","umol/min/g","A5","B30","8","sym","EC","PLS"
"5","-0.296726456398559","-0.668123106316901","-1.26943390200211","-0.0103206008292855","%","min","umol/min/g","A6","W23","8","sym","EC","PLS"
"6","-1.6136474675021","-3.63336377744421","-6.90339117714399","-0.035584490603835","%","min","umol/min/g","B2","W25","8","sym","EC","PLS"
"7","-0.847597216906613","-1.9084893620155","-3.62612978782946","-0.015629869775127","%","min","umol/min/g","B3","W27","8","sym","EC","PLS"
"8","-0.4298884351819","-0.967956818443096","-1.83911795504188","-0.0157189568806998","%","min","umol/min/g","B4","Y21","8","sym","EC","PLS"
"9","-1.90168416408226","-4.28192061591468","-8.13564917023789","-0.0538784713260787","%","min","umol/min/g","B5","Y23","8","sym","EC","PLS"
"10","-0.824409604437886","-1.85627905404799","-3.52693020269118","-0.0125961792953256","%","min","umol/min/g","C2","G67","8","apo","EC","PLS"
"11","-0.570214306938165","-1.28392108557434","-2.43945006259125","-0.0142657898397149","%","min","umol/min/g","C3","G71","8","apo","EC","PLS"
"12","-0.545460771901607","-1.2281848734358","-2.33355125952801","-0.0295386235383293","%","min","umol/min/g","C4","B71","8","apo","EC","PLS"
"13","-0.796979857607359","-1.79451695881613","-3.23013052586904","-0.00717806783526454","%","min","umol/min/g","C5","B73","8","apo","EC","PLS"
"14","-1.27271370735917","-2.86570144750004","-5.44483275025007","-0.0477616907916673","%","min","umol/min/g","C6","B75","8","apo","EC","PLS"
"15","-1.54824903755097","-3.48610962728341","-6.62360829183847","-0.0316919057025764","%","min","umol/min/g","D2","W65","8","apo","EC","PLS"
"16","-1.54824903755097","-3.48610962728341","-6.62360829183847","-0.0344979598533254","%","min","umol/min/g","D3","W70","8","apo","EC","PLS"
"17","-0.18498947717658","-0.416530920859797","-0.791408749633614","-0.00524111754724248","%","min","umol/min/g","D4","Y60","8","apo","EC","PLS"
"18","-2.17959694677381","-4.90768197845274","-9.3245957590602","-0.0345355398483711","%","min","umol/min/g","D5","Y63","8","apo","EC","PLS"
"19","-0.204301367260003","-0.460014471831256","-0.874027496479386","-0.00780381693285166","%","min","umol/min/g","D6","Y65","8","apo","EC","PLS"
