"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria","Treatment"
"1","-0.239600935356937","-0.550748779181357","-1.04642268044458","-0.00377769920738115","%","min","umol/min/g","A2","G28","15","sym","SW","PLS"
"2","-0.984900933907409","-2.26390179218631","-4.30141340515398","-0.0143380446838466","%","min","umol/min/g","A3","G30","15","sym","SW","PLS"
"3","-0.09089570891993","-0.208933661489674","-0.396973956830381","-0.00385411608573185","%","min","umol/min/g","A4","G32","15","sym","SW","PLS"
"4","-0.158297127451736","-0.363863144198845","-0.691339973977806","-0.00454828930248557","%","min","umol/min/g","A5","B28","15","sym","SW","PLS"
"5","-0.205853490749019","-0.473176611566014","-0.899035561975427","-0.00848146756580592","%","min","umol/min/g","A6","B31","15","sym","SW","PLS"
"6","-0.342943874486332","-0.788293751523555","-1.49775812789475","-0.00587356128586178","%","min","umol/min/g","B2","W24","15","sym","SW","PLS"
"7","-0.189919868786223","-0.436551450521155","-0.829447755990194","-0.00385789653948927","%","min","umol/min/g","B3","W26","15","sym","SW","PLS"
"8","-0.16858907723933","-0.387520308860866","-0.736288586835646","-0.00471979863356183","%","min","umol/min/g","B4","Y22","15","sym","SW","PLS"
"9","-0.0924032492685962","-0.212398906754087","-0.403557922832765","-0.00416039095703882","%","min","umol/min/g","B5","Y24","15","sym","SW","PLS"
"10","-0.167804307593057","-0.38571643057475","-0.732861218092024","-0.00311855837485968","%","min","umol/min/g","C2","G65","15","apo","SW","PLS"
"11","-0.19292711084953","-0.443463923098116","-0.842581453886419","-0.00393729651348794","%","min","umol/min/g","C3","G70","15","apo","SW","PLS"
"12","-0.087475021482373","-0.201070839804988","-0.382034595629478","-0.00332203996199546","%","min","umol/min/g","C4","G73","15","apo","SW","PLS"
"13","-0.126657148598554","-0.291135215567203","-0.553156909577685","-0.00432153835607567","%","min","umol/min/g","C6","B74","15","apo","SW","PLS"
"14","-0.0574158762325136","-0.131976628945866","-0.250755594997145","-0.00154787404319225","%","min","umol/min/g","D2","W64","15","apo","SW","PLS"
"15","-0.0574158762325136","-0.131976628945866","-0.250755594997145","-0.00161777803223964","%","min","umol/min/g","D3","W67","15","apo","SW","PLS"
"16","-0.178982147715619","-0.41140991041119","-0.78167882978126","-0.00507583655702117","%","min","umol/min/g","D4","W71","15","apo","SW","PLS"
"17","-0.157151408639986","-0.361229585043844","-0.686336211583304","-0.00508397193765411","%","min","umol/min/g","D5","Y64","15","apo","SW","PLS"
