Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
28.10.21 11:24:48,0.03,80.14,105.81,96.67,5.19,102.31,91.89,117.49,108.05,98.85,129.41,100.89,98.39,104.69,101.84,105.33,118.48,92.19,133.02,110.14,101.37,100.26,123.15,99.79,100.58,,23.5,1015.7,35,23.67,
28.10.21 11:25:03,0.28,79.69,106.29,96.36,5.43,102.15,92.65,117.99,110.95,99.32,130.1,100.89,99.64,106.13,102.31,107.73,126.18,92.19,131.64,116.83,102.15,101.21,133.02,100.11,100.58,,23.5,1015.7,35,23.68,
28.10.21 11:25:18,0.53,79.55,105.97,96.67,5.54,102.47,93.12,117.99,109.66,99.48,129.07,101.37,99.48,106.77,101.84,107.89,133.02,91.89,131.81,118.65,103.26,102.47,132.16,100.58,100.42,,23.5,1015.7,35,23.7,
28.10.21 11:25:33,0.78,79.69,106.29,96.98,5.19,102,93.12,117.33,109.98,98.85,128.22,100.58,99.32,106.45,100.58,106.93,138.76,89.44,130.1,115.03,102.31,101.68,135.27,100.42,100.42,,23.5,1015.7,35,23.72,
28.10.21 11:25:48,1.03,79.4,105.01,96.67,3.77,102.63,93.89,116.5,109.5,98.7,127.37,99.48,99.95,105.65,100.89,107.25,140.7,89.75,132.16,115.35,102.79,99.32,133.71,100.74,101.05,,23.5,1015.7,35,23.74,
28.10.21 11:26:03,1.28,79.55,106.61,96.67,4.95,102.63,94.04,116.67,109.82,97.76,125.17,97.92,99.17,105.97,100.26,107.25,142.47,88.23,130.96,116.67,102.47,100.42,133.02,100.89,100.89,,23.5,1015.7,35,23.74,
28.10.21 11:26:18,1.53,79.99,105.81,96.83,5.54,102.15,94.35,115.52,108.85,97.45,123.99,97.61,99.32,105.33,100.11,107.41,144.24,87.77,128.05,116.5,101.84,99.95,131.13,100.26,101.37,,23.5,1015.7,35,23.74,
28.10.21 11:26:33,1.78,79.4,105.97,96.98,4.83,102.31,94.04,115.85,108.53,96.05,122.98,96.52,99.17,104.21,98.23,106.29,143.35,86.72,130.1,117,101.68,100.26,128.39,100.26,101.21,,23.5,1015.7,35,23.75,
28.10.21 11:26:48,2.03,79.55,105.65,97.29,5.07,102.47,93.12,115.68,107.89,95.9,121.31,95.43,98.7,102.79,97.61,106.61,144.42,85.36,129.07,117.49,101.21,100.74,126.02,101.05,101.21,,23.5,1015.7,35,23.77,
28.10.21 11:27:03,2.28,79.25,106.29,97.61,5.43,101.37,94.19,114.53,107.41,95.74,120.48,94.81,97.92,102.79,97.14,106.77,143.53,85.06,127.88,117.99,100.89,98.23,121.98,100.58,101.05,,23.5,1015.7,35,23.77,
28.10.21 11:27:18,2.53,79.1,105.17,96.98,5.78,100.74,93.73,113.55,107.09,94.81,117.99,94.04,96.98,101.52,96.21,105.65,143.71,83.56,126.69,117.82,100.26,98.23,122.15,100.89,100.58,,23.5,1015.7,35,23.79,
28.10.21 11:27:33,2.78,78.81,105.49,96.98,4.72,100.58,93.42,113.55,106.45,93.42,116.5,92.96,96.98,102.79,95.28,105.33,142.29,82.37,126.52,117,100.42,97.29,118.32,100.89,100.42,,23.5,1015.7,35,23.79,
28.10.21 11:27:48,3.03,79.25,105.01,97.29,5.54,100.11,93.58,113.88,106.45,92.81,115.52,91.12,96.05,100.89,95.12,106.13,141.4,83.11,125.51,116.67,99.64,97.14,118.15,100.58,100.58,,23.5,1015.7,35,23.79,
28.10.21 11:28:03,3.28,79.25,105.17,96.83,5.31,100.42,93.42,112.09,105.81,90.97,114.04,90.66,95.59,100.74,93.89,105.17,140.17,82.96,124.83,114.21,98.7,96.67,114.53,100.58,99.64,,23.5,1015.7,35,23.79,
28.10.21 11:28:18,3.53,79.1,105.97,97.61,5.78,99.95,92.35,112.25,105.17,90.36,112.41,89.6,95.12,100.89,92.65,105.33,137.89,79.84,123.15,113.88,98.39,96.21,112.74,100.26,99.95,,23.5,1015.7,35,23.79,
28.10.21 11:28:33,3.78,78.95,105.33,98.23,5.31,99.64,92.19,111.11,104.69,89.75,111.76,88.68,94.19,99.95,90.66,104.21,135.97,79.84,123.15,111.92,97.61,95.9,110.79,100.89,98.23,,23.5,1015.7,35,23.81,
28.10.21 11:28:48,4.03,79.1,105.01,97.45,5.54,99.01,92.35,110.79,104.53,88.38,110.3,87.47,93.58,98.85,89.44,104.21,134.58,78.66,122.31,112.74,97.76,95.43,109.01,101.21,97.92,,23.5,1015.7,35,23.81,
28.10.21 11:29:03,4.28,79.1,105.65,97.45,5.66,98.85,91.12,109.98,103.58,87.17,110.3,86.87,93.27,98.85,88.08,104.21,132.68,77.04,120.48,112.58,98.07,94.35,107.89,100.26,98.54,,23.5,1015.7,35,23.83,
28.10.21 11:29:18,4.53,79.25,106.13,97.45,4.95,98.23,92.04,109.34,103.74,85.96,109.01,85.66,91.43,98.54,86.11,103.1,131.47,76.6,119.48,112.25,96.05,93.73,106.77,100.74,98.85,,23.5,1015.7,35,23.83,
28.10.21 11:29:33,4.78,78.81,105.81,97.61,5.31,98.7,90.97,108.53,103.1,85.51,108.69,84.16,91.89,98.23,85.06,102.47,129.59,76.31,118.65,111.44,96.52,92.81,105.81,100.26,98.39,,23.5,1015.7,35,23.81,
28.10.21 11:29:48,5.03,78.66,105.65,96.83,3.77,97.61,90.21,107.25,102.79,85.81,106.93,84.31,90.97,97.45,83.71,103.1,127.71,75.58,117.66,110.3,95.59,92.65,104.85,100.26,99.48,,23.5,1015.7,35,23.81,
28.10.21 11:30:03,5.28,79.1,105.65,97.45,5.19,97.29,89.29,106.77,102.63,84.61,106.13,82.66,89.9,96.36,81.92,102.47,125.85,75.14,116.67,109.01,94.97,92.81,104.06,99.95,99.32,,23.5,1015.7,35,23.84,
