"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria","Treatment"
"1","-0.190238464442614","-0.407575977899903","-0.774394358009817","-0.00790198324499813","%","min","umol/min/g","A2","O78","22","apo","SW","Control"
"2","-0.205830008730772","-0.440980047517657","-0.837862090283548","-0.00537091083515095","%","min","umol/min/g","A3","O80","22","apo","SW","Control"
"3","-0.179321075727868","-0.384186042564989","-0.72995348087348","-0.00536730500642265","%","min","umol/min/g","A4","B6334","22","apo","SW","Control"
"4","-0.170718365680587","-0.36575518542796","-0.694934852313124","-0.00290767720633106","%","min","umol/min/g","A5","O85","22","apo","SW","Control"
"5","-0.0849246784722069","-0.181946689790412","-0.345698710601783","-0.00342275951090874","%","min","umol/min/g","A6","O87","22","apo","SW","Control"
"6","-0.258559679740452","-0.553950614690173","-1.05250616791133","-0.00641772053604468","%","min","umol/min/g","B2","G6961","22","apo","SW","Control"
"7","-0.239878096102759","-0.513926297094041","-0.976459964478678","-0.00610287477799174","%","min","umol/min/g","B3","O89","22","apo","SW","Control"
"8","-1.26881590093424","-2.71837182408617","-5.16490646576373","-0.0164487467062539","%","min","umol/min/g","B4","O93","22","apo","SW","Control"
"9","-6.27080060065286","-13.4348628943931","-24.1827532099075","-0.060006831786371","%","min","umol/min/g","B5","G9669","22","apo","SW","Control"
"10","-2.27557667983714","-4.87530423086763","-8.77554761556173","-0.0229126569596912","%","min","umol/min/g","B6","O98","22","apo","SW","Control"
"11","-0.193897983159923","-0.415416305691763","-0.78929098081435","-0.00467036083322101","%","min","umol/min/g","C2","Y113","22","apo","SW","Control"
"12","-0.212280538812179","-0.454799971441062","-0.864119945738017","-0.0075799995240177","%","min","umol/min/g","C3","G8171","22","apo","SW","Control"
"13","-0.492581483766609","-1.05533011176151","-1.89959420117071","-0.00480909924347015","%","min","umol/min/g","C4","Y164","22","apo","SW","Control"
"14","-1.8156136446803","-3.88985744227453","-7.3907291403216","-0.0401670061974","%","min","umol/min/g","C5","G6991","22","apo","SW","Control"
"15","-0.313069544841108","-0.670735154760371","-1.2743967940447","-0.00584585685341608","%","min","umol/min/g","C6","Y1819","22","apo","SW","Control"
"16","-0.558009645083617","-1.19550653144143","-2.27146240973872","-0.00730373765189298","%","min","umol/min/g","D2","O916","22","apo","SW","Control"
"17","-0.558009645083617","-1.19550653144143","-2.27146240973872","-0.0229440647448355","%","min","umol/min/g","D3","Y3225","22","apo","SW","Control"
"18","-0.244978471132233","-0.524853584308983","-0.997221810187067","-0.00435468039382999","%","min","umol/min/g","D4","O6968","22","apo","SW","Control"
"19","-1.68241521209777","-3.60448675462932","-6.84852483379571","-0.0428032802112232","%","min","umol/min/g","D5","Y4451","22","apo","SW","Control"
"20","-0.182920992454511","-0.391898676203611","-0.666227749546138","-0.00376399858500643","%","min","umol/min/g","D6","W7","22","apo","SW","Control"
