"","Time.Elapsed.Min","vial","value","sym.state"
"1",0,"A2",96.5465654648956,"apo"
"2",0.25,"A2",96.3865654648956,"apo"
"3",0.5,"A2",96.7065654648956,"apo"
"4",0.75,"A2",96.2365654648956,"apo"
"5",1,"A2",96.8665654648956,"apo"
"6",1.25,"A2",96.8665654648956,"apo"
"7",1.5,"A2",96.3865654648956,"apo"
"8",1.75,"A2",96.5465654648956,"apo"
"9",2,"A2",96.7065654648956,"apo"
"10",2.25,"A2",95.6065654648956,"apo"
"11",2.5,"A2",94.9765654648956,"apo"
"12",2.75,"A2",94.8165654648956,"apo"
"13",3,"A2",94.3465654648956,"apo"
"14",3.25,"A2",94.6565654648956,"apo"
"15",3.5,"A2",94.1865654648956,"apo"
"16",3.75,"A2",93.8765654648956,"apo"
"17",4,"A2",93.2465654648956,"apo"
"18",4.25,"A2",93.0865654648956,"apo"
"19",4.5,"A2",92.4665654648956,"apo"
"20",4.75,"A2",92.9365654648956,"apo"
"21",5,"A2",91.8465654648956,"apo"
"22",5.25,"A2",91.5265654648956,"apo"
"23",5.5,"A2",91.2165654648956,"apo"
"24",5.75,"A2",90.5965654648956,"apo"
"25",6,"A2",90.5965654648956,"apo"
"26",6.25,"A2",89.9765654648956,"apo"
"27",6.5,"A2",90.2865654648956,"apo"
"28",6.75,"A2",89.5165654648956,"apo"
"29",7,"A2",89.0465654648956,"apo"
"30",7.25,"A2",89.3565654648956,"apo"
"31",7.5,"A2",89.3565654648956,"apo"
"32",7.75,"A2",89.0465654648956,"apo"
"33",8,"A2",88.4265654648956,"apo"
"34",8.25,"A2",88.4265654648956,"apo"
"35",8.5,"A2",88.4265654648956,"apo"
"36",8.75,"A2",87.9665654648956,"apo"
"37",9,"A2",87.8165654648956,"apo"
"38",9.25,"A2",87.8165654648956,"apo"
"39",9.5,"A2",87.5065654648956,"apo"
"40",9.75,"A2",86.8865654648956,"apo"
"41",10,"A2",87.0465654648956,"apo"
"42",10.25,"A2",87.5065654648956,"apo"
"43",10.5,"A2",86.4265654648956,"apo"
"44",10.75,"A2",86.7365654648956,"apo"
"45",11,"A2",86.7365654648956,"apo"
"46",11.25,"A2",85.9665654648956,"apo"
"47",11.5,"A2",85.5065654648956,"apo"
"48",11.75,"A2",84.4465654648956,"apo"
"49",12,"A2",85.3565654648956,"apo"
"50",12.25,"A2",84.2865654648956,"apo"
"51",12.5,"A2",84.4465654648956,"apo"
"52",12.75,"A2",85.0565654648956,"apo"
"53",13,"A2",84.7465654648956,"apo"
"54",13.25,"A2",83.6765654648956,"apo"
"55",13.5,"A2",83.2265654648956,"apo"
"56",13.75,"A2",83.5265654648956,"apo"
"57",14,"A2",83.9865654648956,"apo"
"58",14.25,"A2",82.6165654648956,"apo"
"59",14.5,"A2",82.6165654648956,"apo"
"60",14.75,"A2",82.6165654648956,"apo"
"61",15,"A2",82.9165654648956,"apo"
"62",15.25,"A2",82.6165654648956,"apo"
"63",15.5,"A2",82.0065654648956,"apo"
"64",15.75,"A2",82.4665654648956,"apo"
"65",16,"A2",82.1665654648956,"apo"
"66",16.25,"A2",82.4665654648956,"apo"
"67",16.5,"A2",82.7665654648956,"apo"
"68",16.75,"A2",82.4665654648956,"apo"
"69",17,"A2",82.1665654648956,"apo"
"70",17.25,"A2",82.4665654648956,"apo"
"71",17.5,"A2",82.3165654648956,"apo"
"72",17.75,"A2",81.8565654648956,"apo"
"73",18,"A2",81.8565654648956,"apo"
"74",18.25,"A2",81.2565654648956,"apo"
"75",18.5,"A2",81.5565654648956,"apo"
"76",18.75,"A2",80.1965654648956,"apo"
"77",19,"A2",80.6465654648956,"apo"
"78",19.25,"A2",81.2565654648956,"apo"
"79",19.5,"A2",81.4065654648956,"apo"
"80",19.75,"A2",80.7965654648956,"apo"
"81",20,"A2",80.1965654648956,"apo"
"82",20.25,"A2",81.1065654648956,"apo"
"83",20.5,"A2",80.6465654648956,"apo"
"84",20.75,"A2",80.1965654648956,"apo"
"85",21,"A2",79.5965654648956,"apo"
"86",21.25,"A2",79.2965654648956,"apo"
"87",21.5,"A2",79.4465654648956,"apo"
"88",21.75,"A2",79.2965654648956,"apo"
"89",22,"A2",79.1465654648956,"apo"
"90",22.25,"A2",78.8465654648956,"apo"
"91",22.5,"A2",77.7965654648956,"apo"
"92",22.75,"A2",78.2465654648956,"apo"
"93",23,"A2",77.0465654648956,"apo"
"94",23.25,"A2",76.6065654648956,"apo"
"95",23.5,"A2",76.3065654648956,"apo"
"96",23.75,"A2",75.5565654648956,"apo"
"97",24,"A2",75.2665654648956,"apo"
"98",24.25,"A2",74.0765654648956,"apo"
"99",24.5,"A2",74.2265654648956,"apo"
"100",24.75,"A2",73.3365654648956,"apo"
"101",25,"A2",72.4565654648956,"apo"
"102",25.25,"A2",71.5765654648956,"apo"
"103",25.5,"A2",70.6965654648956,"apo"
"104",25.75,"A2",70.8365654648956,"apo"
"105",26,"A2",69.8165654648956,"apo"
"106",26.25,"A2",69.9565654648956,"apo"
"107",26.5,"A2",69.5265654648956,"apo"
"108",26.75,"A2",69.2265654648956,"apo"
"109",27,"A2",68.6465654648956,"apo"
"110",27.25,"A2",68.5065654648956,"apo"
"111",27.5,"A2",68.7965654648956,"apo"
"112",27.75,"A2",68.2065654648956,"apo"
"113",28,"A2",68.6465654648956,"apo"
"114",28.25,"A2",68.5065654648956,"apo"
"115",28.5,"A2",68.3565654648956,"apo"
"116",28.75,"A2",68.6465654648956,"apo"
"117",29,"A2",68.6465654648956,"apo"
"118",29.25,"A2",67.9165654648956,"apo"
"119",29.5,"A2",68.2065654648956,"apo"
"120",29.75,"A2",68.3565654648956,"apo"
"121",30,"A2",67.7765654648956,"apo"
"122",30.25,"A2",67.4865654648956,"apo"
"123",30.5,"A2",66.7565654648956,"apo"
"124",30.75,"A2",67.1965654648956,"apo"
"125",31,"A2",66.4665654648956,"apo"
"126",31.25,"A2",66.4665654648956,"apo"
"127",31.5,"A2",66.0365654648956,"apo"
"128",31.75,"A2",65.7465654648956,"apo"
"129",32,"A2",65.8965654648956,"apo"
"130",32.25,"A2",66.1765654648956,"apo"
"131",32.5,"A2",65.8965654648956,"apo"
"132",32.75,"A2",65.3165654648956,"apo"
"133",33,"A2",65.7465654648956,"apo"
"134",33.25,"A2",64.8865654648956,"apo"
"135",33.5,"A2",64.8865654648956,"apo"
"136",33.75,"A2",64.8865654648956,"apo"
"137",34,"A2",64.4465654648956,"apo"
"138",34.25,"A2",64.0165654648956,"apo"
"139",34.5,"A2",63.7365654648956,"apo"
"140",34.75,"A2",63.1565654648956,"apo"
"141",35,"A2",62.8765654648956,"apo"
"142",35.25,"A2",62.5865654648956,"apo"
"143",35.5,"A2",62.4465654648956,"apo"
"144",35.75,"A2",62.5865654648956,"apo"
"145",36,"A2",61.3065654648956,"apo"
"146",36.25,"A2",61.5865654648956,"apo"
"147",36.5,"A2",61.4465654648956,"apo"
"148",36.75,"A2",61.4465654648956,"apo"
"149",37,"A2",61.7265654648956,"apo"
"150",37.25,"A2",61.7265654648956,"apo"
"151",37.5,"A2",61.1565654648956,"apo"
"152",37.75,"A2",61.0165654648956,"apo"
"153",38,"A2",60.8765654648956,"apo"
"154",38.25,"A2",60.5865654648956,"apo"
"155",38.5,"A2",60.8765654648956,"apo"
"156",38.75,"A2",60.5865654648956,"apo"
"157",39,"A2",60.3065654648956,"apo"
"158",39.25,"A2",60.4465654648956,"apo"
"159",39.5,"A2",59.5965654648956,"apo"
"160",39.75,"A2",59.4565654648956,"apo"
"161",40,"A2",59.3165654648956,"apo"
"162",40.25,"A2",59.1765654648956,"apo"
"163",40.5,"A2",57.8965654648956,"apo"
"164",40.75,"A2",58.0365654648956,"apo"
"165",41,"A2",NA,"apo"
"166",41.25,"A2",NA,"apo"
"167",41.5,"A2",NA,"apo"
"168",41.75,"A2",NA,"apo"
"169",42,"A2",NA,"apo"
"170",42.25,"A2",NA,"apo"
"171",42.5,"A2",NA,"apo"
"172",42.75,"A2",NA,"apo"
"173",43,"A2",NA,"apo"
"174",43.25,"A2",NA,"apo"
"175",43.5,"A2",NA,"apo"
"176",43.75,"A2",NA,"apo"
"177",44,"A2",NA,"apo"
"178",44.25,"A2",NA,"apo"
"179",44.5,"A2",NA,"apo"
"180",44.75,"A2",NA,"apo"
"181",45,"A2",NA,"apo"
"182",45.25,"A2",NA,"apo"
"183",45.5,"A2",NA,"apo"
"184",45.75,"A2",NA,"apo"
"185",46,"A2",NA,"apo"
"186",46.25,"A2",NA,"apo"
"187",46.5,"A2",NA,"apo"
"188",46.75,"A2",NA,"apo"
"189",47,"A2",NA,"apo"
"190",47.25,"A2",NA,"apo"
"191",47.5,"A2",NA,"apo"
"192",47.75,"A2",NA,"apo"
"193",48,"A2",NA,"apo"
"194",48.25,"A2",NA,"apo"
"195",48.5,"A2",NA,"apo"
"196",48.75,"A2",NA,"apo"
"197",49,"A2",NA,"apo"
"198",49.25,"A2",NA,"apo"
"199",49.5,"A2",NA,"apo"
"200",49.75,"A2",NA,"apo"
"201",50,"A2",NA,"apo"
"202",50.25,"A2",NA,"apo"
"203",50.5,"A2",NA,"apo"
"204",50.75,"A2",NA,"apo"
"205",51,"A2",NA,"apo"
"206",51.25,"A2",NA,"apo"
"207",51.5,"A2",NA,"apo"
"208",51.75,"A2",NA,"apo"
"209",52,"A2",NA,"apo"
"210",52.25,"A2",NA,"apo"
"211",52.5,"A2",NA,"apo"
"212",52.75,"A2",NA,"apo"
"213",53,"A2",NA,"apo"
"214",53.25,"A2",NA,"apo"
"215",53.5,"A2",NA,"apo"
"216",53.75,"A2",NA,"apo"
"217",54,"A2",NA,"apo"
"218",54.25,"A2",NA,"apo"
"219",54.5,"A2",NA,"apo"
"220",54.75,"A2",NA,"apo"
"221",55,"A2",NA,"apo"
"222",55.25,"A2",NA,"apo"
"223",55.5,"A2",NA,"apo"
"224",55.75,"A2",NA,"apo"
"225",56,"A2",NA,"apo"
"226",56.25,"A2",NA,"apo"
"227",56.5,"A2",NA,"apo"
"228",56.75,"A2",NA,"apo"
"229",57,"A2",NA,"apo"
"230",57.25,"A2",NA,"apo"
"231",57.5,"A2",NA,"apo"
"232",57.75,"A2",NA,"apo"
"233",58,"A2",NA,"apo"
"234",58.25,"A2",NA,"apo"
"235",58.5,"A2",NA,"apo"
"236",58.75,"A2",NA,"apo"
"237",59,"A2",NA,"apo"
"238",59.25,"A2",NA,"apo"
"239",59.5,"A2",NA,"apo"
"240",59.75,"A2",NA,"apo"
"241",60,"A2",NA,"apo"
"242",60.25,"A2",NA,"apo"
"243",60.5,"A2",NA,"apo"
"244",60.75,"A2",NA,"apo"
"245",61,"A2",NA,"apo"
"246",61.25,"A2",NA,"apo"
"247",61.5,"A2",NA,"apo"
"248",61.75,"A2",NA,"apo"
"249",62,"A2",NA,"apo"
"250",62.25,"A2",NA,"apo"
"251",62.5,"A2",NA,"apo"
"252",62.75,"A2",NA,"apo"
"253",63,"A2",NA,"apo"
"254",63.25,"A2",NA,"apo"
"255",63.5,"A2",NA,"apo"
"256",63.75,"A2",NA,"apo"
"257",64,"A2",NA,"apo"
"258",64.25,"A2",NA,"apo"
"259",64.5,"A2",NA,"apo"
"260",64.75,"A2",NA,"apo"
"261",65,"A2",NA,"apo"
"262",65.25,"A2",NA,"apo"
"263",65.5,"A2",NA,"apo"
"264",65.75,"A2",NA,"apo"
"265",66,"A2",NA,"apo"
"266",66.25,"A2",NA,"apo"
"267",66.5,"A2",NA,"apo"
"268",66.75,"A2",NA,"apo"
"269",67,"A2",NA,"apo"
"270",67.25,"A2",NA,"apo"
"271",67.5,"A2",NA,"apo"
"272",67.75,"A2",NA,"apo"
"273",68,"A2",NA,"apo"
"274",68.25,"A2",NA,"apo"
"275",68.5,"A2",NA,"apo"
"276",68.75,"A2",NA,"apo"
"277",69,"A2",NA,"apo"
"278",69.25,"A2",NA,"apo"
"279",69.5,"A2",NA,"apo"
"280",69.75,"A2",NA,"apo"
"281",70,"A2",NA,"apo"
"282",70.25,"A2",NA,"apo"
"283",70.5,"A2",NA,"apo"
"284",70.75,"A2",NA,"apo"
"285",71,"A2",NA,"apo"
"286",71.25,"A2",NA,"apo"
"287",71.5,"A2",NA,"apo"
"288",71.75,"A2",NA,"apo"
"289",72,"A2",NA,"apo"
"290",72.25,"A2",NA,"apo"
"291",72.5,"A2",NA,"apo"
"292",72.75,"A2",NA,"apo"
"293",73,"A2",NA,"apo"
"294",73.25,"A2",NA,"apo"
"295",73.5,"A2",NA,"apo"
"296",73.75,"A2",NA,"apo"
"297",74,"A2",NA,"apo"
"298",74.25,"A2",NA,"apo"
"299",74.5,"A2",NA,"apo"
"300",74.75,"A2",NA,"apo"
"301",75,"A2",NA,"apo"
"302",75.25,"A2",NA,"apo"
"303",75.5,"A2",NA,"apo"
"304",75.75,"A2",NA,"apo"
"305",76,"A2",NA,"apo"
"306",76.25,"A2",NA,"apo"
"307",76.5,"A2",NA,"apo"
"308",76.75,"A2",NA,"apo"
"309",77,"A2",NA,"apo"
"310",77.25,"A2",NA,"apo"
"311",77.5,"A2",NA,"apo"
"312",77.75,"A2",NA,"apo"
"313",78,"A2",NA,"apo"
"314",78.25,"A2",NA,"apo"
"315",78.5,"A2",NA,"apo"
"316",78.75,"A2",NA,"apo"
"317",79,"A2",NA,"apo"
"318",79.25,"A2",NA,"apo"
"319",79.5,"A2",NA,"apo"
"320",79.75,"A2",NA,"apo"
"321",80,"A2",NA,"apo"
"322",80.25,"A2",NA,"apo"
"323",80.5,"A2",NA,"apo"
"324",80.75,"A2",NA,"apo"
"325",81,"A2",NA,"apo"
"326",81.25,"A2",NA,"apo"
"327",81.5,"A2",NA,"apo"
"328",81.75,"A2",NA,"apo"
"329",82,"A2",NA,"apo"
"330",82.25,"A2",NA,"apo"
