Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
06.10.21 13:03:20,0.03,121.01,98.76,100.57,13.48,98.16,96.81,No Sensor,94.43,96.36,94.72,101.63,98.01,98.16,96.66,104.84,101.33,123.44,94.87,95.17,99.21,94.58,93.54,112.12,100.42,,20.1,1028.7,35,19.86,
06.10.21 13:03:35,0.28,121.82,98.61,100.72,13.36,101.79,96.81,No Sensor,94.28,96.21,93.98,102.09,96.06,97.71,97.71,105.14,101.48,120.37,93.68,95.02,98.61,95.02,94.13,111.5,100.27,,20.1,1028.7,35,19.89,
06.10.21 13:03:50,0.53,120.69,98.01,101.18,12.9,100.12,96.66,No Sensor,94.43,95.92,96.51,102.55,96.21,97.41,97.56,105.3,101.18,122.14,93.83,93.83,98.46,94.58,94.13,110.71,100.42,,20.1,1028.7,35,19.91,
06.10.21 13:04:05,0.78,120.37,98.31,101.48,12.67,96.96,95.62,No Sensor,92.94,95.92,96.51,103.31,95.32,95.47,97.26,105.14,101.63,120.85,94.28,92.94,97.71,93.98,94.58,110.09,100.27,,20.1,1028.7,35,19.91,
06.10.21 13:04:20,1.03,120.21,98.01,100.42,12.9,96.36,92.94,No Sensor,92.94,95.17,96.51,103.31,95.17,93.98,96.96,105.14,100.42,116.06,93.83,92.8,97.26,93.68,94.58,109.16,99.82,,20.1,1028.7,35,19.93,
06.10.21 13:04:35,1.28,120.53,98.31,101.79,12.9,94.87,92.94,No Sensor,92.5,94.43,96.21,103,95.17,95.17,97.41,104.68,101.03,116.06,93.54,92.06,96.96,93.54,94.58,107.76,99.52,,20.1,1028.7,35,19.95,
06.10.21 13:04:50,1.53,120.53,97.86,101.18,12.9,94.87,91.91,No Sensor,93.39,93.68,96.36,103.31,93.68,93.68,96.66,103.92,100.72,111.96,93.83,91.18,96.51,93.24,95.02,107.61,99.97,,20.1,1028.7,35,19.97,
06.10.21 13:05:05,1.78,120.37,98.01,101.48,13.02,93.68,91.18,No Sensor,92.94,93.24,95.77,103.16,93.39,93.24,97.11,102.55,100.42,110.71,94.72,90.29,96.66,92.8,94.13,107.14,99.82,,20.1,1028.7,35,19.98,
06.10.21 13:05:20,2.03,120.05,97.71,100.88,12.67,92.94,91.03,No Sensor,91.76,92.8,95.92,102.85,93.09,91.47,96.06,102.39,100.57,108.54,94.58,89.42,95.77,93.68,94.13,107.3,99.52,,20.1,1028.7,35,20,
06.10.21 13:05:36,2.3,119.41,97.41,100.72,13.02,92.8,90.73,No Sensor,92.65,92.35,95.47,103.31,91.91,91.47,95.77,101.79,99.82,107.3,93.98,89.27,95.92,93.24,94.13,106.68,99.21,,20.1,1028.7,35,20,
06.10.21 13:05:51,2.55,119.89,97.71,101.18,12.9,92.06,90.44,No Sensor,92.65,92.06,95.02,101.79,91.18,91.32,95.32,103,100.12,105.76,93.98,88.54,96.36,92.21,93.83,106.07,99.36,,20.1,1028.7,35,20.02,
06.10.21 13:06:06,2.8,119.57,97.71,101.03,13.02,91.76,90,No Sensor,93.24,91.47,94.87,101.79,88.98,91.18,95.17,101.48,100.42,105.14,93.98,87.96,95.62,92.5,93.39,106.07,99.67,,20.1,1028.7,35,20.04,
06.10.21 13:06:21,3.05,119.73,97.71,101.33,13.13,91.03,89.56,No Sensor,92.65,90.44,95.17,102.09,89.56,91.18,94.72,99.97,100.12,103,94.13,87.23,95.47,92.35,93.54,105.91,99.21,,20.1,1028.7,35,20.05,
06.10.21 13:06:36,3.3,119.73,97.71,100.42,12.9,90.88,87.96,No Sensor,92.21,91.32,94.87,101.94,89.27,89.85,94.43,100.42,99.21,101.94,93.24,87.08,94.87,91.32,92.94,105.91,99.52,,20.1,1028.7,35,20.05,
06.10.21 13:06:51,3.55,119.41,97.26,100.57,12.9,90.59,86.36,No Sensor,92.94,90.44,94.58,101.33,88.25,89.27,93.68,101.33,99.97,101.18,91.03,87.08,94.72,92.21,92.35,105.91,99.67,,20.1,1028.7,35,20.07,
06.10.21 13:07:06,3.8,119.25,97.71,101.03,13.13,89.12,85.78,No Sensor,93.09,89.42,94.43,101.63,87.52,89.85,93.54,100.27,99.36,100.12,91.18,86.65,94.72,91.76,92.65,104.53,99.21,,20.1,1028.7,35,20.09,
06.10.21 13:07:21,4.05,118.77,97.26,100.42,12.79,89.71,85.78,No Sensor,93.39,89.12,94.87,102.09,87.81,90.29,93.39,99.52,99.21,98.46,92.21,86.36,94.72,91.76,92.65,105.14,98.76,,20.1,1028.7,35,20.09,
06.10.21 13:07:36,4.3,119.57,97.26,100.57,12.9,88.68,84.77,No Sensor,93.24,88.54,94.43,100.57,85.49,90.44,93.09,98.46,99.21,97.71,92.5,85.63,94.58,91.32,92.06,105.3,98.76,,20.1,1028.7,35,20.11,
06.10.21 13:07:51,4.55,119.41,97.26,101.03,13.02,88.54,84.77,No Sensor,92.65,88.39,94.13,100.42,85.63,90,92.65,97.86,99.21,97.11,90,85.63,94.28,90.44,91.47,104.99,98.31,,20.1,1028.7,35,20.11,
06.10.21 13:08:07,4.82,119.57,97.41,100.57,12.9,87.81,83.62,No Sensor,92.8,87.66,93.54,99.97,84.48,89.85,92.21,98.76,98.76,94.13,89.56,85.92,93.83,90.15,91.18,104.99,98.61,,20.1,1028.7,35,20.13,
06.10.21 13:08:22,5.07,119.09,97.41,101.03,12.33,87.23,83.76,No Sensor,92.65,87.08,93.68,99.97,84.19,90.15,91.76,98.01,98.91,92.94,89.12,84.77,93.68,88.83,91.47,104.84,98.31,,20.1,1028.7,35,20.13,
06.10.21 13:08:37,5.32,119.41,97.41,100.72,12.9,86.79,82.9,No Sensor,92.06,86.21,93.09,99.67,83.9,90.44,91.18,96.81,97.86,92.35,91.62,85.2,93.98,89.56,91.18,104.53,98.31,,20.1,1028.7,35,20.14,
06.10.21 13:08:52,5.57,119.41,97.11,100.72,12.67,86.07,83.33,No Sensor,92.8,85.78,93.39,100.27,82.75,89.42,90.88,96.66,98.01,91.76,91.32,84.34,93.39,88.98,90.73,104.23,98.31,,20.1,1028.7,35,20.15,
06.10.21 13:09:07,5.82,119.73,97.56,100.57,13.02,85.92,82.75,No Sensor,92.21,84.77,93.83,99.97,82.9,88.68,90.29,95.77,97.56,91.47,88.25,83.9,93.09,88.1,90.59,103.92,98.31,,20.1,1028.7,35,20.15,
06.10.21 13:09:22,6.07,119.41,97.26,100.88,12.67,84.48,82.47,No Sensor,91.18,84.62,93.24,99.52,81.9,88.39,90,95.92,97.26,90.29,89.42,83.9,93.09,86.5,90.88,104.68,97.71,,20.1,1028.7,35,20.15,
06.10.21 13:09:37,6.32,118.45,97.11,100.57,12.44,84.48,81.9,No Sensor,91.76,84.91,92.65,99.21,81.47,89.12,90,92.65,96.96,89.71,89.27,84.05,92.65,86.79,90.73,103.92,98.31,,20.1,1028.7,35,20.18,
06.10.21 13:09:52,6.57,118.45,96.66,100.72,12.44,84.05,81.61,No Sensor,91.47,83.76,92.35,98.76,81.04,88.54,90,96.96,96.81,88.1,90.88,83.33,92.5,85.63,90.59,103.46,98.46,,20.1,1028.7,35,20.18,
06.10.21 13:10:07,6.82,118.29,96.51,100.12,13.02,83.04,82.47,No Sensor,91.18,84.05,92.5,98.61,80.18,87.52,89.56,95.32,95.77,86.94,90.73,82.9,92.35,85.2,90.29,103.31,98.16,,20.1,1028.7,35,20.2,
06.10.21 13:10:22,7.07,118.61,96.96,100.27,13.13,83.04,81.75,No Sensor,91.03,83.76,92.5,99.21,79.76,86.79,89.27,95.17,95.62,88.39,87.81,82.32,92.5,85.34,89.71,102.85,98.01,,20.1,1028.7,35,20.2,
06.10.21 13:10:37,7.32,118.45,96.66,100.12,13.02,82.18,82.04,No Sensor,89.42,83.33,91.32,98.46,78.77,86.21,89.27,94.58,95.47,86.07,89.71,80.9,92.06,85.49,89.71,102.09,97.26,,20.1,1028.7,35,20.2,
06.10.21 13:10:52,7.57,118.29,96.36,100.27,12.67,82.18,81.18,No Sensor,90.44,83.62,91.76,98.31,78.06,86.94,88.68,94.58,95.92,85.2,89.42,80.18,91.47,85.06,89.42,101.94,97.56,,20.1,1028.7,35,20.2,
06.10.21 13:11:08,7.83,117.81,96.81,100.42,12.67,81.75,81.75,No Sensor,89.71,83.76,91.47,97.56,77.64,85.92,88.54,93.83,94.72,84.48,90,79.33,91.76,84.91,89.42,101.79,97.41,,20.1,1028.7,35,20.2,
06.10.21 13:11:23,8.08,118.13,96.66,100.27,12.9,81.9,81.61,No Sensor,89.12,83.62,91.91,97.11,77.21,85.92,88.1,92.94,94.43,85.92,89.85,79.05,91.32,84.34,89.56,101.03,97.86,,20.1,1028.7,35,20.22,
06.10.21 13:11:38,8.33,118.13,96.66,99.97,13.25,81.32,81.04,No Sensor,88.54,83.47,91.47,97.41,76.51,85.63,87.81,92.65,94.43,84.19,88.68,77.78,91.47,84.05,89.12,100.57,97.71,,20.1,1028.7,35,20.22,
06.10.21 13:11:53,8.58,117.97,96.66,99.97,13.13,81.32,80.61,No Sensor,88.25,84.05,90.73,97.26,76.23,86.79,87.52,92.8,94.87,84.77,87.81,76.79,91.62,84.19,89.56,99.52,97.41,,20.1,1028.7,35,20.22,
06.10.21 13:12:08,8.83,117.97,96.66,99.82,12.67,80.04,79.76,No Sensor,87.96,84.05,91.18,96.51,75.95,86.36,87.23,92.8,94.13,82.32,87.96,76.23,91.03,83.9,89.27,99.36,96.96,,20.1,1028.7,35,20.23,
06.10.21 13:12:23,9.08,118.13,96.36,99.82,12.9,80.18,80.47,No Sensor,87.96,84.05,91.47,96.06,75.11,86.5,87.37,92.5,93.68,82.18,87.66,75.81,90.88,83.18,89.27,98.46,97.11,,20.1,1028.7,35,20.23,
06.10.21 13:12:38,9.33,117.49,96.06,99.97,12.79,79.76,78.91,No Sensor,88.1,84.05,91.03,95.62,74.55,84.77,87.08,92.21,93.54,82.61,88.25,75.39,91.18,83.18,89.12,97.56,97.41,,20.1,1028.7,35,20.25,
06.10.21 13:12:53,9.58,116.86,96.06,98.91,12.9,79.9,78.91,No Sensor,87.52,84.48,91.03,95.17,74.55,85.34,87.23,92.65,93.68,80.18,89.12,75.11,91.47,83.04,88.68,98.01,97.41,,20.1,1028.7,35,20.25,
06.10.21 13:13:08,9.83,117.65,96.06,98.61,12.67,79.62,77.64,No Sensor,87.37,85.06,91.18,94.58,73.85,86.5,86.79,92.8,94.28,81.47,88.54,75.25,91.62,84.34,88.39,97.86,96.66,,20.1,1028.7,35,20.25,
06.10.21 13:13:23,10.08,118.13,96.06,97.56,12.56,80.18,78.2,No Sensor,86.94,84.62,90.44,94.72,73.29,84.77,86.21,92.8,93.68,79.19,88.68,74.41,91.03,83.9,88.25,97.11,97.26,,20.1,1028.7,35,20.25,
06.10.21 13:13:39,10.35,117.97,96.06,99.06,12.67,79.47,78.62,No Sensor,87.52,84.91,90.29,94.87,72.87,85.34,86.36,92.06,94.28,78.91,87.96,74.55,91.47,83.76,87.81,96.96,96.81,,20.1,1028.7,35,20.27,
06.10.21 13:13:54,10.6,118.29,96.06,99.67,13.02,79.9,78.77,No Sensor,87.52,84.91,90,94.58,72.87,83.62,86.07,92.06,93.54,78.77,87.81,73.43,91.03,83.62,87.66,97.11,96.96,,20.1,1028.7,35,20.25,
06.10.21 13:14:09,10.85,118.29,96.21,99.52,12.9,79.19,78.62,No Sensor,87.81,84.19,89.85,94.28,72.46,83.33,85.34,91.91,93.68,78.77,87.52,73.85,90.59,83.33,87.37,97.41,96.81,,20.1,1028.7,35,20.25,
06.10.21 13:14:24,11.1,117.65,96.06,99.06,12.79,78.77,78.91,No Sensor,88.54,84.62,89.42,94.28,72.18,82.47,85.2,92.5,93.39,79.19,86.79,73.85,90.59,83.18,87.08,97.71,96.51,,20.1,1028.7,35,20.27,
06.10.21 13:14:39,11.35,117.97,95.92,99.67,12.79,79.33,79.33,No Sensor,88.68,84.77,88.54,93.83,71.48,81.61,85.2,91.76,93.83,79.19,84.77,73.57,90.88,83.04,87.23,97.71,96.66,,20.1,1028.7,35,20.27,
06.10.21 13:14:54,11.6,117.65,95.77,99.52,13.02,77.35,79.62,No Sensor,89.42,84.77,87.81,94.58,70.66,81.61,84.62,90.88,93.54,80.04,85.06,74.13,90.88,83.47,86.79,98.76,96.96,,20.1,1028.7,35,20.25,
06.10.21 13:15:09,11.85,117.49,96.06,99.06,12.79,77.92,80.47,No Sensor,89.71,84.48,87.37,94.43,70.66,79.9,85.2,91.62,93.39,80.9,85.06,75.81,90.88,83.33,86.36,98.91,96.66,,20.1,1028.7,35,20.27,
06.10.21 13:15:24,12.1,117.49,95.92,99.21,13.02,76.23,80.47,No Sensor,88.1,84.62,86.94,94.13,69.69,78.91,85.2,90.44,92.65,80.9,86.94,75.25,90.88,83.33,86.79,99.06,96.66,,20.1,1028.7,35,20.27,
06.10.21 13:15:39,12.35,117.33,96.36,99.21,12.9,76.51,80.61,No Sensor,88.1,84.34,86.36,94.43,69.83,78.48,84.62,91.03,93.39,81.47,87.37,74.55,90.29,82.9,86.21,99.52,96.81,,20.1,1028.7,35,20.27,
06.10.21 13:15:54,12.6,116.22,95.92,99.52,13.13,75.67,80.33,No Sensor,87.81,84.05,85.92,93.68,69.55,77.78,85.2,90.59,93.68,81.61,87.81,74.41,91.03,83.33,85.92,99.52,96.21,,20.1,1028.7,35,20.25,
06.10.21 13:16:09,12.85,117.49,96.51,99.52,12.67,74.69,80.75,No Sensor,87.23,83.9,85.06,93.68,69.14,76.09,84.34,90.29,93.83,81.04,86.07,74.69,90.29,83.76,85.78,100.27,96.36,,20.1,1028.7,35,20.27,
06.10.21 13:16:24,13.1,117.81,96.06,99.67,13.02,74.69,80.75,No Sensor,87.08,84.05,84.91,94.87,68.86,74.83,84.48,91.76,93.24,82.61,88.39,74.55,90.29,82.9,85.49,100.12,96.81,,20.1,1028.7,35,20.27,
06.10.21 13:16:39,13.35,118.13,96.06,99.06,12.56,74.41,80.33,No Sensor,87.08,83.76,84.48,94.43,68.04,73.99,84.19,91.03,93.24,83.47,86.5,74.83,90.15,82.47,85.92,100.42,96.66,,20.1,1028.7,35,20.27,
06.10.21 13:16:55,13.62,117.65,95.77,99.52,12.79,73.85,79.76,No Sensor,87.37,82.61,84.34,94.58,69.55,73.29,84.19,90.44,93.68,84.62,90.29,74.13,90.15,82.18,85.78,101.03,96.06,,20.1,1028.7,35,20.27,
06.10.21 13:17:10,13.87,117.81,95.47,98.91,12.79,72.32,80.47,No Sensor,86.79,82.32,84.91,94.72,70.79,72.32,84.34,91.32,92.8,86.21,90.44,74.83,89.85,81.9,85.2,100.88,96.51,,20.1,1028.7,35,20.27,
06.10.21 13:17:25,14.12,118.13,95.92,98.91,12.9,72.18,79.05,No Sensor,87.23,81.75,84.91,94.58,71.62,71.35,84.34,90.88,92.21,87.66,88.68,74.83,90.15,81.32,85.06,100.72,96.21,,20.1,1028.7,35,20.27,
06.10.21 13:17:40,14.37,117.97,96.06,99.21,13.13,72.18,78.77,No Sensor,90,82.32,84.91,94.87,68.04,71.48,84.05,90.88,92.8,87.23,90.29,74.69,89.56,81.9,85.06,100.72,96.51,,20.1,1028.7,35,20.27,
06.10.21 13:17:55,14.62,117.33,95.92,99.36,13.02,71.62,78.34,No Sensor,90,81.18,84.91,94.87,67.77,70.79,83.9,91.18,92.65,87.81,88.39,74.97,89.71,80.9,84.91,100.72,96.21,,20.1,1028.7,35,20.27,
06.10.21 13:18:10,14.87,117.97,95.62,99.21,12.9,70.52,78.34,No Sensor,88.68,81.47,85.34,94.43,67.63,69.55,83.33,90.88,92.06,86.79,91.47,74.13,89.85,81.47,84.91,99.67,96.51,,20.1,1028.7,35,20.27,
06.10.21 13:18:25,15.12,117.49,95.92,99.52,12.9,70.24,77.64,No Sensor,88.98,81.04,85.2,95.47,67.22,69.55,83.62,90.88,92.35,86.36,91.32,73.85,89.42,81.75,84.05,98.91,96.06,,20.1,1028.7,35,20.27,
06.10.21 13:18:40,15.37,117.33,95.77,98.91,12.9,69.55,77.21,No Sensor,88.39,81.47,85.49,95.02,66.81,69.55,84.19,90.44,91.47,84.62,90.44,74.41,89.56,81.47,84.34,97.56,96.36,,20.1,1028.7,35,20.29,
06.10.21 13:18:56,15.63,117.81,96.51,99.21,13.02,68.59,77.35,No Sensor,88.25,80.75,86.07,94.43,66.81,70.66,83.47,89.85,91.76,83.62,91.47,74.55,88.83,80.61,84.48,96.96,95.77,,20.1,1028.7,35,20.29,
06.10.21 13:19:11,15.88,117.65,96.06,99.21,12.44,68.73,77.07,No Sensor,87.81,81.47,85.49,94.58,66.54,70.93,83.47,89.56,92.06,81.9,91.32,74.69,88.39,80.33,84.48,96.66,95.92,,20.1,1028.7,35,20.27,
06.10.21 13:19:26,16.13,117.81,96.06,99.52,12.79,68.73,78.2,No Sensor,88.83,80.33,85.34,94.72,66.27,70.93,83.18,89.85,91.76,80.75,92.21,74.69,88.68,80.18,84.48,96.21,95.47,,20.1,1028.7,35,20.29,
06.10.21 13:19:41,16.38,117.81,96.21,98.91,12.79,67.77,77.78,No Sensor,88.1,80.75,85.49,94.43,65.18,71.62,83.04,89.27,91.18,80.33,91.47,75.25,89.12,80.61,84.19,95.17,96.06,,20.1,1028.7,35,20.29,
06.10.21 13:19:56,16.63,117.65,95.77,98.31,12.79,67.9,77.49,No Sensor,87.23,81.04,85.06,94.58,65.45,72.18,83.33,88.83,91.62,78.34,90.88,74.97,88.1,80.33,84.77,94.87,95.77,,20.1,1028.7,35,20.29,
06.10.21 13:20:11,16.88,117.49,96.36,99.06,12.44,67.36,77.49,No Sensor,86.65,80.33,85.34,93.68,65.45,73.71,82.9,89.42,91.18,78.06,90.44,74.83,88.1,80.61,84.62,94.28,95.92,,20.1,1028.7,35,20.27,
06.10.21 13:20:26,17.13,117.33,95.92,99.06,12.56,67.08,76.23,No Sensor,86.5,80.33,84.62,93.83,64.36,72.32,82.61,89.12,91.03,77.07,89.12,75.53,88.25,80.04,84.34,93.83,95.92,,20.1,1028.7,35,20.29,
06.10.21 13:20:41,17.38,117.01,95.92,98.91,12.9,65.99,76.37,No Sensor,86.94,80.47,84.48,93.68,65.04,73.43,82.61,88.83,91.47,76.23,87.66,75.11,88.39,80.47,84.34,94.13,95.92,,20.1,1028.7,35,20.27,
