Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
06.10.21 13:16:54,0.03,89.59,165.28,89.13,0,106.06,96.62,91.14,89.75,90.52,89.59,89.9,86.05,No Sensor,94.73,96.15,95.99,91.45,87.59,No Sensor,107.03,91.77,89.44,102.51,89.28,,20.1,1028.7,35,20.2,
06.10.21 13:17:09,0.28,89.59,166.24,89.28,0,108.82,95.99,92.7,89.59,90.37,89.75,89.9,86.51,No Sensor,93.79,95.36,95.83,92.7,86.97,No Sensor,112.93,90.68,89.13,105.25,90.21,,20.1,1028.7,35,20.24,
06.10.21 13:17:24,0.53,90.06,164.9,89.44,0,109.47,95.52,93.95,89.59,89.75,89.13,89.9,85.75,No Sensor,94.11,95.83,95.05,92.54,87.13,No Sensor,112.6,95.83,89.13,104.12,89.9,,20.1,1028.7,35,20.24,
06.10.21 13:17:39,0.78,89.75,162.81,89.59,0,109.47,95.05,93.79,89.28,90.06,91.14,89.75,86.05,No Sensor,93.48,94.58,95.36,93.17,87.43,No Sensor,112.43,95.99,88.67,103.15,90.21,,20.1,1028.7,35,20.25,
06.10.21 13:17:54,1.03,89.28,161.67,89.13,0,108.82,94.58,94.26,89.13,89.59,95.05,89.44,86.05,No Sensor,92.23,93.95,95.21,93.48,87.43,No Sensor,113.59,94.73,88.67,110.13,90.99,,20.1,1028.7,35,20.27,
06.10.21 13:18:09,1.28,89.59,158.66,89.44,0,108.01,93.79,93.95,88.67,88.98,99.47,89.28,85.14,No Sensor,91.3,93.17,93.64,93.17,87.28,No Sensor,111.77,94.58,88.36,109.31,90.68,,20.1,1028.7,35,20.29,
06.10.21 13:18:24,1.53,89.44,155.67,89.75,0,107.03,93.33,95.21,88.05,88.2,101.39,88.98,85.14,No Sensor,88.67,94.11,92.7,92.86,87.43,No Sensor,108.98,94.58,88.67,102.67,90.52,,20.1,1028.7,35,20.29,
06.10.21 13:18:39,1.78,89.75,153.26,89.44,0,105.89,92.7,95.36,87.28,88.36,101.39,89.13,84.68,No Sensor,87.28,93.48,91.61,91.92,87.13,No Sensor,106.7,93.48,88.36,102.19,90.99,,20.1,1028.7,35,20.31,
06.10.21 13:18:55,2.05,89.28,150.32,89.44,0,103.47,91.61,95.52,86.67,87.59,103.31,88.2,84.07,No Sensor,87.59,93.48,90.52,91.61,86.36,No Sensor,104.44,92.39,87.9,101.71,89.9,,20.1,1028.7,35,20.31,
06.10.21 13:19:10,2.3,89.13,147.58,89.44,0,102.83,91.45,95.21,85.9,86.67,106.06,88.05,84.07,No Sensor,85.6,93.64,90.52,90.99,86.67,No Sensor,100.59,92.39,88.36,101.39,90.06,,20.1,1028.7,35,20.31,
