Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
26.10.21 11:55:40,0.03,100.45,102.22,124.22,3.04,103.19,106.61,117.24,No Sensor,105.14,No Sensor,102.22,No Sensor,91.4,No Sensor,109.24,No Sensor,106.61,No Sensor,96.13,No Sensor,99.49,No Sensor,132.74,No Sensor,,21.4,1003.6,35,21.75,
26.10.21 11:55:55,0.28,100.93,101.74,125.42,3.4,103.52,106.94,117.07,No Sensor,104.66,No Sensor,101.74,No Sensor,90.15,No Sensor,108.58,No Sensor,105.8,No Sensor,96.29,No Sensor,99.97,No Sensor,134.15,No Sensor,,21.4,1003.6,35,21.77,
26.10.21 11:56:10,0.53,101.25,101.74,125.08,3.77,103.19,108.09,117.07,No Sensor,104.49,No Sensor,102.06,No Sensor,87.34,No Sensor,110.23,No Sensor,105.96,No Sensor,96.45,No Sensor,100.77,No Sensor,134.5,No Sensor,,21.4,1003.6,35,21.79,
26.10.21 11:56:25,0.78,99.97,101.74,124.39,3.77,103.19,107.6,117.41,No Sensor,104.33,No Sensor,102.22,No Sensor,85.49,No Sensor,104.49,No Sensor,107.27,No Sensor,96.45,No Sensor,100.61,No Sensor,136.45,No Sensor,,21.4,1003.6,35,21.81,
26.10.21 11:56:40,1.03,100.45,102.06,124.74,3.28,102.71,107.93,117.41,No Sensor,103.84,No Sensor,101.74,No Sensor,83.34,No Sensor,104.01,No Sensor,106.45,No Sensor,96.45,No Sensor,100.45,No Sensor,138.77,No Sensor,,21.4,1003.6,35,21.84,
26.10.21 11:56:55,1.28,100.61,101.9,124.74,3.04,103.52,107.76,117.41,No Sensor,104.17,No Sensor,102.38,No Sensor,80.59,No Sensor,104.01,No Sensor,105.96,No Sensor,96.77,No Sensor,100.93,No Sensor,138.77,No Sensor,,21.4,1003.6,35,21.86,
26.10.21 11:57:10,1.53,100.45,102.06,124.22,3.64,103.03,107.11,117.75,No Sensor,104.33,No Sensor,101.58,No Sensor,79.53,No Sensor,102.87,No Sensor,106.78,No Sensor,96.61,No Sensor,99.65,No Sensor,138.95,No Sensor,,21.4,1003.6,35,21.86,
26.10.21 11:57:25,1.78,100.77,101.74,125.08,3.28,102.71,106.45,117.24,No Sensor,103.68,No Sensor,101.74,No Sensor,78.01,No Sensor,102.06,No Sensor,105.63,No Sensor,96.61,No Sensor,99,No Sensor,139.49,No Sensor,,21.4,1003.6,35,21.9,
26.10.21 11:57:40,2.03,100.61,101.9,124.39,3.52,102.71,106.94,117.58,No Sensor,104.17,No Sensor,101.42,No Sensor,76.36,No Sensor,101.9,No Sensor,105.63,No Sensor,96.29,No Sensor,98.68,No Sensor,140.92,No Sensor,,21.4,1003.6,35,21.91,
26.10.21 11:57:55,2.28,100.29,101.74,124.56,3.64,102.22,106.12,117.58,No Sensor,104.01,No Sensor,101.42,No Sensor,74.86,No Sensor,102.06,No Sensor,106.78,No Sensor,96.13,No Sensor,99,No Sensor,142,No Sensor,,21.4,1003.6,35,21.93,
26.10.21 11:58:10,2.53,100.45,102.06,124.22,3.28,102.06,105.96,117.24,No Sensor,103.68,No Sensor,101.09,No Sensor,74.26,No Sensor,101.9,No Sensor,105.8,No Sensor,96.13,No Sensor,98.52,No Sensor,141.64,No Sensor,,21.4,1003.6,35,21.95,
26.10.21 11:58:25,2.78,100.61,102.06,124.91,2.55,102.22,105.47,116.74,No Sensor,103.36,No Sensor,100.29,No Sensor,72.77,No Sensor,101.25,No Sensor,105.96,No Sensor,96.61,No Sensor,98.84,No Sensor,141.82,No Sensor,,21.4,1003.6,35,21.95,
26.10.21 11:58:40,3.03,100.61,102.06,124.56,2.43,101.9,105.14,117.41,No Sensor,102.87,No Sensor,100.29,No Sensor,70.4,No Sensor,100.61,No Sensor,105.96,No Sensor,96.29,No Sensor,97.89,No Sensor,140.92,No Sensor,,21.4,1003.6,35,21.98,
26.10.21 11:58:55,3.28,100.13,102.38,124.05,1.94,102.06,104.98,117.58,No Sensor,102.87,No Sensor,100.29,No Sensor,69.07,No Sensor,100.61,No Sensor,106.45,No Sensor,96.45,No Sensor,98.36,No Sensor,141.46,No Sensor,,21.4,1003.6,35,22,
26.10.21 11:59:10,3.53,100.61,102.38,124.91,3.77,101.42,104.98,117.41,No Sensor,102.55,No Sensor,99.97,No Sensor,68.04,No Sensor,98.84,No Sensor,105.96,No Sensor,95.5,No Sensor,99,No Sensor,142.18,No Sensor,,21.4,1003.6,35,22,
26.10.21 11:59:25,3.78,100.61,101.74,125.6,2.67,100.77,104.33,117.24,No Sensor,101.74,No Sensor,99.97,No Sensor,67.89,No Sensor,98.68,No Sensor,106.12,No Sensor,96.13,No Sensor,97.09,No Sensor,140.92,No Sensor,,21.4,1003.6,35,22.02,
26.10.21 11:59:40,4.03,100.77,101.9,125.42,3.64,101.58,104.17,117.24,No Sensor,102.06,No Sensor,99,No Sensor,65.41,No Sensor,98.68,No Sensor,105.63,No Sensor,95.97,No Sensor,97.09,No Sensor,140.2,No Sensor,,21.4,1003.6,35,22.04,
