Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
21.10.21 12:09:19,0.03,101.56,110.4,106.12,4.63,91.68,101.89,102.53,93.1,98.02,105.14,125.27,95.95,105.63,117.08,99.95,98.66,95.79,106.44,90.89,104.32,108.58,No Sensor,122.69,101.24,,20,1015.3,35,19.79,
21.10.21 12:09:34,0.28,101.72,111.23,106.12,4.63,94.05,101.4,102.53,92.62,98.02,104.97,124.07,96.27,104.97,117.08,96.27,97.38,95.31,106.61,89.8,105.3,108.58,No Sensor,124.76,102.21,,20,1015.3,35,19.79,
21.10.21 12:09:50,0.55,101.56,110.89,106.12,4.38,94.68,100.59,102.53,90.74,98.18,106.12,122.01,95.63,105.79,117.59,95.31,97.54,95.63,106.61,88.08,106.12,109.07,No Sensor,119.11,100.59,,20,1015.3,35,19.84,
21.10.21 12:10:05,0.8,101.4,110.89,106.44,4.51,95.16,99.95,101.89,89.8,97.07,105.95,120.47,96.59,105.14,117.08,93.1,96.27,95.95,105.14,87.3,106.28,107.92,No Sensor,118.27,99.15,,20,1015.3,35,19.84,
21.10.21 12:10:20,1.05,101.56,111.39,105.46,4.87,95.63,99.31,100.75,89.8,96.59,106.28,117.42,95.79,104.81,116.91,91.05,95.79,95.63,104.81,85.29,104.81,107.92,No Sensor,117.59,97.38,,20,1015.3,35,19.86,
21.10.21 12:10:35,1.3,100.92,110.23,105.79,4.87,96.27,98.66,100.75,87.77,95.95,105.79,116.41,95.16,104.97,115.9,90.42,95.79,95.31,104.65,84.83,105.63,106.94,No Sensor,116.91,97.22,,20,1015.3,35,19.88,
21.10.21 12:10:50,1.55,102.53,109.9,105.46,4.51,95.31,97.86,100.27,87.15,95.79,105.95,116.41,95.47,103.99,115.23,88.7,93.89,95,103.83,82.68,104.65,106.77,No Sensor,115.57,95.47,,20,1015.3,35,19.9,
21.10.21 12:11:05,1.8,101.24,111.23,104.65,4.38,95.31,96.11,98.83,86.37,94.84,105.3,114.23,94.52,104.32,114.9,87.3,93.26,94.52,103.67,81.45,103.83,106.94,No Sensor,113.06,94.2,,20,1015.3,35,19.9,
21.10.21 12:11:20,2.05,101.89,111.06,105.79,4.51,95.31,94.84,98.34,84.98,93.73,106.12,113.39,94.2,104.16,114.9,85.91,92.94,93.89,102.37,80.54,101.72,106.94,No Sensor,111.89,92.47,,20,1015.3,35,19.92,
21.10.21 12:11:35,2.3,101.89,111.39,104.81,4.26,95.31,95,97.7,84.83,92.78,105.63,111.23,93.73,104.48,114.9,84.37,91.84,93.57,101.4,79.47,101.56,105.63,No Sensor,111.56,91.21,,20,1015.3,35,19.93,
