Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
22.10.21 12:17:07,0.03,123.32,128.28,120.22,23.71,136.02,131.29,112.5,141.69,116.34,129.45,131.29,124.14,116.18,117.95,124.47,No Sensor,108.71,113.3,127.61,No Sensor,144.64,No Sensor,115.05,No Sensor,,20,1009.3,35,19.34,
22.10.21 12:17:22,0.28,122.5,127.78,120.05,23.95,136.54,131.63,113.61,141.52,115.85,128.78,131.46,126.29,116.34,117.95,124.31,No Sensor,108.08,112.82,128.11,No Sensor,144.64,No Sensor,115.05,No Sensor,,20,1009.3,35,19.38,
22.10.21 12:17:37,0.53,123.16,128.11,119.73,23.71,136.54,130.45,113.61,141.86,116.18,129.28,131.12,126.45,115.37,117.79,124.31,No Sensor,108.24,112.5,127.95,No Sensor,144.12,No Sensor,114.73,No Sensor,,20,1009.3,35,19.39,
22.10.21 12:17:52,0.78,123.16,128.45,119.73,24.07,139.1,131.29,113.14,141.86,115.05,128.11,129.45,126.12,115.69,117.3,123.81,No Sensor,108.39,112.18,127.78,No Sensor,143.42,No Sensor,114.25,No Sensor,,20,1009.3,35,19.41,
22.10.21 12:18:08,1.05,122.83,127.95,118.76,23.95,138.93,130.79,113.3,141.34,115.37,128.11,129.61,125.46,115.53,117.63,123.65,No Sensor,108.39,111.71,127.45,No Sensor,143.42,No Sensor,114.09,No Sensor,,20,1009.3,35,19.43,
22.10.21 12:18:23,1.3,123.48,127.61,119.08,24.19,139.79,130.45,112.98,141.52,115.53,127.78,129.28,124.31,115.53,117.46,123.98,No Sensor,107.45,111.55,128.11,No Sensor,142.21,No Sensor,114.57,No Sensor,,20,1009.3,35,19.45,
22.10.21 12:18:38,1.55,123.16,127.78,118.76,23.83,139.27,129.95,113.46,141.17,115.21,127.45,129.95,123.32,115.21,117.46,123.32,No Sensor,107.92,111.23,127.28,No Sensor,141.34,No Sensor,113.61,No Sensor,,20,1009.3,35,19.47,
22.10.21 12:18:53,1.8,123.16,127.45,118.76,24.07,140.31,130.12,113.93,141.34,115.85,126.95,129.28,122.17,114.89,116.66,123.65,No Sensor,107.29,110.44,127.95,No Sensor,141.52,No Sensor,113.61,No Sensor,,20,1009.3,35,19.47,
22.10.21 12:19:08,2.05,122.83,127.45,118.59,23.95,138.59,129.61,113.93,141.86,115.21,126.12,128.95,121.03,115.05,116.5,123.32,No Sensor,107.61,111.07,127.61,No Sensor,140.31,No Sensor,112.98,No Sensor,,20,1009.3,35,19.48,
22.10.21 12:19:23,2.3,123.32,127.78,118.11,24.19,139.1,129.61,112.66,141,115.37,126.12,128.45,120.38,114.73,116.18,122.83,No Sensor,107.29,110.12,127.45,No Sensor,140.31,No Sensor,113.61,No Sensor,,20,1009.3,35,19.5,
22.10.21 12:19:38,2.55,123.32,127.95,118.11,24.19,139.62,129.45,112.82,141.34,114.41,126.12,127.95,119.73,115.37,116.02,122.99,No Sensor,107.14,110.28,126.95,No Sensor,139.1,No Sensor,112.34,No Sensor,,20,1009.3,35,19.52,
22.10.21 12:19:53,2.8,122.99,127.78,118.43,24.44,139.96,129.61,112.82,141,114.89,125.46,128.78,118.43,114.25,115.85,122.66,No Sensor,106.98,109.97,127.12,No Sensor,138.07,No Sensor,112.02,No Sensor,,20,1009.3,35,19.54,
22.10.21 12:20:08,3.05,123.32,127.12,118.27,24.07,139.79,129.11,112.66,141.69,115.53,124.64,127.28,117.95,114.25,115.69,122.17,No Sensor,106.51,110.6,127.28,No Sensor,138.42,No Sensor,111.71,No Sensor,,20,1009.3,35,19.54,
22.10.21 12:20:23,3.3,122.83,127.12,118.11,23.71,139.1,129.11,112.34,140.31,115.69,124.8,128.11,117.3,114.09,115.05,122.17,No Sensor,106.51,110.12,127.12,No Sensor,137.05,No Sensor,111.55,No Sensor,,20,1009.3,35,19.55,
22.10.21 12:20:38,3.55,122.99,127.12,118.27,23.95,140.13,129.28,113.3,140.48,114.73,124.47,126.95,116.82,114.41,115.05,122.34,No Sensor,106.04,109.49,126.95,No Sensor,136.54,No Sensor,111.23,No Sensor,,20,1009.3,35,19.57,
22.10.21 12:20:54,3.82,122.99,127.12,117.79,24.32,139.79,129.11,112.5,141,114.57,124.14,127.45,115.53,114.09,114.73,121.52,No Sensor,106.36,109.34,126.78,No Sensor,136.54,No Sensor,110.28,No Sensor,,20,1009.3,35,19.57,
22.10.21 12:21:09,4.07,123.16,127.28,117.95,24.07,139.62,129.28,113.3,141.52,114.41,123.81,126.78,115.21,113.77,114.89,121.68,No Sensor,106.2,109.34,126.78,No Sensor,136.88,No Sensor,111.07,No Sensor,,20,1009.3,35,19.59,
22.10.21 12:21:24,4.32,123.32,127.45,117.95,23.95,138.59,129.28,113.46,140.65,115.05,122.99,126.62,115.05,113.93,114.41,121.52,No Sensor,105.58,108.86,126.12,No Sensor,134.83,No Sensor,110.44,No Sensor,,20,1009.3,35,19.59,
22.10.21 12:21:39,4.57,123.48,127.61,118.11,23.83,138.93,128.78,112.5,141,115.05,123.32,126.78,113.77,114.09,114.25,121.52,No Sensor,105.89,109.49,126.29,No Sensor,135.68,No Sensor,110.12,No Sensor,,20,1009.3,35,19.61,
22.10.21 12:21:54,4.82,123.65,127.12,117.95,24.44,138.07,128.45,112.5,139.96,114.57,122.99,126.29,113.77,114.09,114.25,121.36,No Sensor,106.2,109.18,126.45,No Sensor,135.51,No Sensor,109.65,No Sensor,,20,1009.3,35,19.63,
22.10.21 12:22:09,5.07,123.32,127.45,118.43,24.07,137.05,128.78,112.5,140.65,114.41,122.99,125.96,112.18,113.61,113.46,121.85,No Sensor,106.36,108.08,126.29,No Sensor,135.34,No Sensor,109.65,No Sensor,,20,1009.3,35,19.63,
22.10.21 12:22:24,5.32,123.32,127.12,118.11,24.19,136.19,128.45,112.66,140.48,114.57,121.85,125.79,112.02,113.93,113.61,120.71,No Sensor,104.8,107.61,126.12,No Sensor,134.66,No Sensor,109.18,No Sensor,,20,1009.3,35,19.64,
22.10.21 12:22:39,5.57,123.81,127.28,117.95,23.59,136.19,128.28,112.34,141.52,114.09,122.17,126.45,111.87,113.46,112.82,120.87,No Sensor,105.42,106.83,126.29,No Sensor,133.82,No Sensor,109.18,No Sensor,,20,1009.3,35,19.65,
22.10.21 12:22:54,5.82,123.65,127.28,117.79,24.32,136.19,128.11,112.18,141,114.57,122.17,125.96,111.07,113.93,112.82,120.87,No Sensor,105.42,106.51,125.63,No Sensor,134.16,No Sensor,109.49,No Sensor,,20,1009.3,35,19.65,
22.10.21 12:23:09,6.07,123.32,126.78,117.63,24.07,136.88,127.95,112.82,139.62,114.25,121.52,125.79,111.07,113.77,112.02,120.38,No Sensor,105.73,106.04,126.12,No Sensor,133.14,No Sensor,109.18,No Sensor,,20,1009.3,35,19.65,
22.10.21 12:23:24,6.32,123.48,127.61,117.63,24.07,136.71,127.78,112.82,140.13,114.57,121.19,125.46,109.81,113.3,112.18,120.22,No Sensor,105.11,106.2,125.46,No Sensor,133.31,No Sensor,109.02,No Sensor,,20,1009.3,35,19.68,
