Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
18.10.21 16:42:20,0.03,108.46,123.46,111.61,7.63,115.46,119.01,138.03,119.18,109.12,No Sensor,104.52,106.32,110.11,No Sensor,109.12,114.28,117.15,No Sensor,106.32,No Sensor,108.95,No Sensor,124.5,No Sensor,,20.6,1005.7,35,21.61,
18.10.21 16:42:35,0.28,108.62,123.29,111.78,6.76,115.29,117.83,137.5,117.15,108.95,No Sensor,105.5,105.66,109.45,No Sensor,108.79,113.61,117.66,No Sensor,106.15,No Sensor,107.47,No Sensor,127.96,No Sensor,,20.6,1005.7,35,21.61,
18.10.21 16:42:50,0.53,108.46,122.77,111.78,6.39,115.97,116.98,136.25,115.63,108.62,No Sensor,105.17,103.7,109.45,No Sensor,107.8,112.11,115.97,No Sensor,104.68,No Sensor,105.01,No Sensor,128.84,No Sensor,,20.6,1005.7,35,21.65,
18.10.21 16:43:05,0.78,108.46,122.77,112.28,6.89,114.79,116.81,135.71,114.79,108.95,No Sensor,105.82,102.56,108.79,No Sensor,107.3,111.11,116.98,No Sensor,103.21,No Sensor,105.17,No Sensor,129.19,No Sensor,,20.6,1005.7,35,21.66,
18.10.21 16:43:20,1.03,108.29,122.95,113.28,6.52,114.96,115.8,134.65,113.45,108.46,No Sensor,105.66,100.78,107.96,No Sensor,106.97,110.61,116.64,No Sensor,100.94,No Sensor,101.91,No Sensor,127.96,No Sensor,,20.6,1005.7,35,21.68,
18.10.21 16:43:35,1.28,108.46,122.77,112.61,7.13,114.28,114.45,134.29,111.28,107.96,No Sensor,105.33,99.16,108.29,No Sensor,106.15,110.11,115.29,No Sensor,99.65,No Sensor,100.78,No Sensor,127.62,No Sensor,,20.6,1005.7,35,21.7,
18.10.21 16:43:50,1.53,108.13,122.77,112.61,6.89,114.28,113.78,134.29,110.61,107.14,No Sensor,104.03,96.6,107.63,No Sensor,105.5,110.28,115.29,No Sensor,97.72,No Sensor,99.16,No Sensor,126.23,No Sensor,,20.6,1005.7,35,21.7,
18.10.21 16:44:05,1.78,108.29,122.26,113.45,6.89,113.45,113.61,133.58,109.28,107.8,No Sensor,102.89,94.85,107.47,No Sensor,104.19,109.12,113.95,No Sensor,96.6,No Sensor,97.72,No Sensor,124.5,No Sensor,,20.6,1005.7,35,21.73,
18.10.21 16:44:20,2.03,108.62,122.43,113.95,7.13,113.11,113.11,132.7,107.8,107.96,No Sensor,101.59,93.26,108.46,No Sensor,103.7,108.79,114.28,No Sensor,95,No Sensor,96.6,No Sensor,123.46,No Sensor,,20.6,1005.7,35,21.73,
18.10.21 16:44:35,2.28,108.46,122.26,112.61,7.01,112.11,111.61,131.99,106.15,106.97,No Sensor,100.78,90.74,107.8,No Sensor,102.72,107.96,114.12,No Sensor,93.26,No Sensor,95.48,No Sensor,123.46,No Sensor,,20.6,1005.7,35,21.74,
18.10.21 16:44:50,2.53,108.46,121.92,113.11,6.89,111.78,111.61,131.47,105.82,106.81,No Sensor,98.36,89.17,107.3,No Sensor,102.4,107.47,114.12,No Sensor,92.15,No Sensor,93.73,No Sensor,122.77,No Sensor,,20.6,1005.7,35,21.74,
18.10.21 16:45:05,2.78,108.46,122.43,113.11,7.38,111.11,110.44,131.64,104.03,105.99,No Sensor,98.04,88.07,107.8,No Sensor,101.75,106.81,112.94,No Sensor,91.21,No Sensor,93.1,No Sensor,121.74,No Sensor,,20.6,1005.7,35,21.77,
18.10.21 16:45:20,3.03,108.79,122.09,113.11,6.76,110.61,109.62,131.29,103.37,105.99,No Sensor,96.6,86.98,107.63,No Sensor,101.1,106.65,112.44,No Sensor,90.74,No Sensor,91.84,No Sensor,121.23,No Sensor,,20.6,1005.7,35,21.79,
18.10.21 16:45:35,3.28,108.95,122.09,113.11,7.01,109.95,108.95,130.76,101.75,105.17,No Sensor,95.32,84.81,107.47,No Sensor,100.62,105.01,112.61,No Sensor,89.48,No Sensor,91.68,No Sensor,120.21,No Sensor,,20.6,1005.7,35,21.79,
18.10.21 16:45:50,3.53,108.79,122.26,112.44,6.52,109.78,108.79,129.71,101.26,105.17,No Sensor,94.37,82.96,107.8,No Sensor,99.81,104.84,112.61,No Sensor,88.85,No Sensor,91.21,No Sensor,119.35,No Sensor,,20.6,1005.7,35,21.79,
18.10.21 16:46:05,3.78,108.62,121.92,113.11,7.38,108.95,108.13,129.01,100.29,104.19,No Sensor,93.26,81.89,107.3,No Sensor,99,104.52,112.78,No Sensor,87.76,No Sensor,89.64,No Sensor,118.5,No Sensor,,20.6,1005.7,35,21.79,
18.10.21 16:46:20,4.03,108.29,122.26,112.61,7.13,109.12,107.14,129.19,99.65,103.86,No Sensor,92.78,80.36,107.47,No Sensor,98.68,104.03,111.94,No Sensor,87.29,No Sensor,88.07,No Sensor,117.15,No Sensor,,20.6,1005.7,35,21.81,
18.10.21 16:46:35,4.28,108.29,121.92,112.28,7.26,108.46,106.32,128.66,98.36,102.72,No Sensor,91.36,78.07,107.14,No Sensor,98.2,102.4,111.78,No Sensor,87.76,No Sensor,87.6,No Sensor,116.47,No Sensor,,20.6,1005.7,35,21.81,
