Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
18.10.21 16:28:06,0.03,134.54,117.37,148.01,23.42,120.44,112.57,138.12,124.86,148.54,135.73,139.66,No Sensor,121.09,134.88,134.03,136.58,136.07,136.24,124.36,119.79,119.95,No Sensor,120.93,No Sensor,,20.6,1005.7,35,21.32,
18.10.21 16:28:21,0.28,135.22,116.4,147.48,23.67,120.93,112.73,137.95,124.04,149.07,136.75,139.66,No Sensor,119.31,134.03,134.2,136.41,136.24,135.05,124.36,120.6,119.31,No Sensor,121.91,No Sensor,,20.6,1005.7,35,21.34,
18.10.21 16:28:36,0.53,134.37,116.24,147.66,23.79,120.44,111.78,137.43,122.4,148.89,136.24,139.32,No Sensor,119.14,132.85,133.19,135.73,136.24,134.71,123.05,120.44,118.17,No Sensor,120.28,No Sensor,,20.6,1005.7,35,21.36,
18.10.21 16:28:51,0.78,135.39,115.92,146.61,23.55,120.93,112.09,137.43,121.74,148.01,135.05,137.77,No Sensor,117.05,131.84,132.68,134.71,136.24,134.2,122.89,120.28,118.66,No Sensor,119.63,No Sensor,,20.6,1005.7,35,21.36,
18.10.21 16:29:06,1.03,134.71,115.44,147.13,23.42,120.28,111.3,137.26,120.44,148.01,133.87,137.95,No Sensor,115.12,131.34,132.68,134.37,135.39,134.03,122.07,119.31,117.37,No Sensor,119.63,No Sensor,,20.6,1005.7,35,21.38,
18.10.21 16:29:21,1.28,134.71,115.28,146.96,23.42,120.44,111.14,136.41,120.12,147.13,134.2,136.92,No Sensor,114.16,129.67,132.01,134.37,135.56,133.02,120.44,119.31,117.05,No Sensor,119.31,No Sensor,,20.6,1005.7,35,21.39,
18.10.21 16:29:36,1.53,135.05,115.6,146.25,23.67,119.63,111.46,136.92,118.98,147.31,133.02,137.09,No Sensor,112.57,129.33,131.34,133.53,135.56,132.68,120.77,119.47,117.85,No Sensor,118.01,No Sensor,,20.6,1005.7,35,21.41,
18.10.21 16:29:51,1.78,133.87,114.96,146.08,23.55,120.12,111.14,136.75,118.82,146.96,133.36,136.92,No Sensor,111.3,128.5,130.5,132.18,135.9,131.84,120.12,118.34,117.21,No Sensor,117.85,No Sensor,,20.6,1005.7,35,21.41,
18.10.21 16:30:06,2.03,133.36,114.8,145.9,23.18,118.34,111.14,136.24,118.5,146.78,132.52,135.9,No Sensor,109.73,128.33,130.84,132.18,135.39,132.52,120.6,117.85,117.21,No Sensor,117.69,No Sensor,,20.6,1005.7,35,21.43,
18.10.21 16:30:22,2.3,133.19,114.64,146.25,23.55,118.66,110.99,136.92,116.89,145.9,132.52,135.39,No Sensor,108.31,127.67,130.17,131.51,135.39,132.01,120.12,117.85,117.21,No Sensor,117.05,No Sensor,,20.6,1005.7,35,21.43,
18.10.21 16:30:37,2.55,133.7,114.32,146.08,23.3,118.5,110.2,137.26,116.24,146.25,132.18,134.88,No Sensor,106.9,127.34,129.17,131.34,135.73,131.51,120.44,117.69,117.05,No Sensor,116.56,No Sensor,,20.6,1005.7,35,21.45,
18.10.21 16:30:52,2.8,133.53,113.68,145.03,23.55,117.37,111.46,136.58,115.92,145.9,131.34,135.73,No Sensor,106.59,127,129.17,130.5,135.73,131.67,120.6,117.05,116.56,No Sensor,116.08,No Sensor,,20.6,1005.7,35,21.46,
18.10.21 16:31:07,3.05,132.52,114,145.55,23.42,117.85,110.04,137.26,116.08,145.55,130.67,134.54,No Sensor,105.81,126.51,127.83,129.5,135.73,131.17,121.09,116.89,116.24,No Sensor,115.76,No Sensor,,20.6,1005.7,35,21.47,
18.10.21 16:31:22,3.3,132.18,114,145.73,23.3,118.01,109.57,137.09,115.6,145.73,130.33,133.7,No Sensor,104.72,126.01,128.5,129.33,135.56,131.34,121.26,116.24,117.21,No Sensor,115.6,No Sensor,,20.6,1005.7,35,21.48,
18.10.21 16:31:37,3.55,132.01,114.32,145.21,23.42,117.37,109.88,136.58,114,145.21,130.33,134.2,No Sensor,103.64,125.52,127.5,129.17,135.22,130.67,120.12,116.08,116.24,No Sensor,115.28,No Sensor,,20.6,1005.7,35,21.48,
18.10.21 16:31:52,3.8,132.68,113.84,145.9,23.55,116.89,110.51,136.24,114.16,143.98,130.33,133.87,No Sensor,103.02,124.36,127.17,128.5,135.73,130.67,120.12,115.28,116.4,No Sensor,114.48,No Sensor,,20.6,1005.7,35,21.48,
18.10.21 16:32:07,4.05,132.35,113.37,145.73,23.42,116.08,109.88,137.09,112.73,144.16,129.83,133.36,No Sensor,101.33,123.71,126.67,126.34,136.07,130.17,120.12,114.96,116.56,No Sensor,114.8,No Sensor,,20.6,1005.7,35,21.5,
18.10.21 16:32:22,4.3,132.52,113.21,145.38,23.42,115.76,110.04,136.07,112.57,142.59,130,134.03,No Sensor,101.94,122.72,125.85,125.52,136.07,129.83,119.47,115.28,116.56,No Sensor,114.48,No Sensor,,20.6,1005.7,35,21.5,
18.10.21 16:32:37,4.55,132.52,113.52,145.38,23.55,115.6,109.41,136.41,111.78,143.46,129,134.03,No Sensor,99.95,123.22,126.34,125.52,135.73,129.5,119.95,114.96,116.08,No Sensor,114.64,No Sensor,,20.6,1005.7,35,21.5,
18.10.21 16:32:53,4.82,132.18,113.05,145.21,23.42,115.76,109.25,136.92,111.94,142.25,128.33,134.03,No Sensor,100.26,122.89,126.01,124.04,136.07,129,119.47,114.32,116.24,No Sensor,113.68,No Sensor,,20.6,1005.7,35,21.52,
18.10.21 16:33:08,5.07,132.35,113.21,145.38,23.3,114.96,109.73,136.75,111.14,142.59,129.33,133.87,No Sensor,99.03,122.4,125.52,122.72,136.75,129.5,119.31,114,115.76,No Sensor,113.52,No Sensor,,20.6,1005.7,35,21.53,
18.10.21 16:33:23,5.32,131.17,112.57,145.73,23.42,115.44,109.41,136.58,111.14,143.29,128.33,133.36,No Sensor,98.58,121.91,125.19,121.58,136.58,128.67,119.47,113.84,115.92,No Sensor,113.37,No Sensor,,20.6,1005.7,35,21.54,
18.10.21 16:33:38,5.57,131.51,112.57,145.55,23.18,114.64,109.41,136.92,110.2,143.46,128.5,133.02,No Sensor,97.66,120.93,124.69,120.93,135.9,128.67,118.34,113.52,115.92,No Sensor,113.21,No Sensor,,20.6,1005.7,35,21.54,
18.10.21 16:33:53,5.82,132.01,112.25,145.73,23.42,114.8,108.62,136.58,110.36,142.59,128.67,133.02,No Sensor,97.06,120.93,124.53,119.95,136.24,128.83,119.31,112.89,116.08,No Sensor,113.21,No Sensor,,20.6,1005.7,35,21.55,
18.10.21 16:34:08,6.07,132.01,112.09,145.03,23.55,115.12,108.94,136.24,111.3,141.73,128.5,132.18,No Sensor,94.94,120.6,123.87,120.28,136.24,128.17,118.5,112.73,116.56,No Sensor,112.41,No Sensor,,20.6,1005.7,35,21.54,
18.10.21 16:34:23,6.32,131.84,112.41,144.86,23.67,113.84,108.62,136.24,110.51,141.9,128.83,133.02,No Sensor,94.49,120.12,123.71,119.14,136.24,127.83,118.17,113.05,115.28,No Sensor,112.73,No Sensor,,20.6,1005.7,35,21.55,
18.10.21 16:34:39,6.58,130.5,112.09,145.21,23.42,113.21,108.78,136.24,110.36,142.25,128.83,133.02,No Sensor,94.64,119.95,123.54,118.5,136.07,127.34,118.17,112.41,115.12,No Sensor,112.73,No Sensor,,20.6,1005.7,35,21.57,
18.10.21 16:34:54,6.83,130.84,111.46,143.98,23.06,113.05,108.47,136.58,109.88,141.38,128,133.02,No Sensor,93.74,118.98,123.54,117.05,135.56,127.67,117.53,111.78,114.96,No Sensor,112.41,No Sensor,,20.6,1005.7,35,21.57,
18.10.21 16:35:09,7.08,131.17,111.78,144.86,23.18,113.05,107.68,136.07,109.73,141.38,128.17,132.52,No Sensor,93.14,118.34,123.54,117.69,135.39,128,117.37,112.25,114.64,No Sensor,112.57,No Sensor,,20.6,1005.7,35,21.57,
18.10.21 16:35:24,7.33,131.67,112.09,144.51,23.42,112.89,107.68,135.56,109.88,140.87,128.33,132.68,No Sensor,91.94,118.34,123.38,117.05,135.22,127,117.21,111.3,114.96,No Sensor,112.57,No Sensor,,20.6,1005.7,35,21.57,
18.10.21 16:35:39,7.58,131.34,111.78,144.68,23.42,112.57,107.84,135.73,109.1,140.69,127.83,131.67,No Sensor,91.34,117.53,123.38,115.92,134.71,127.34,117.85,111.3,113.84,No Sensor,112.41,No Sensor,,20.6,1005.7,35,21.57,
18.10.21 16:35:54,7.83,131.17,112.25,145.03,23.42,112.89,107.37,135.9,109.73,141.56,128.33,132.35,No Sensor,90.6,117.85,122.72,116.56,135.22,127,117.53,110.67,114.48,No Sensor,112.09,No Sensor,,20.6,1005.7,35,21.59,
18.10.21 16:36:09,8.08,130.67,111.78,145.38,23.3,112.89,106.9,135.73,109.57,141.21,127.5,132.01,No Sensor,90.3,116.08,122.72,116.24,135.22,126.84,117.21,110.04,114.16,No Sensor,112.41,No Sensor,,20.6,1005.7,35,21.59,
18.10.21 16:36:24,8.33,130.33,111.62,145.55,23.18,112.73,106.43,136.24,109.73,141.9,128,131.84,No Sensor,89.71,115.6,123.22,117.21,134.88,126.51,116.72,109.1,113.68,No Sensor,111.78,No Sensor,,20.6,1005.7,35,21.61,
18.10.21 16:36:39,8.58,130.5,112.09,145.55,23.3,111.94,106.9,135.9,108.94,141.04,128.17,131.51,No Sensor,89.41,115.12,122.89,117.85,134.37,126.51,117.53,109.1,113.84,No Sensor,111.78,No Sensor,,20.6,1005.7,35,21.61,
18.10.21 16:36:54,8.83,131,112.09,145.03,23.42,112.25,106.28,135.39,108.94,141.04,127.5,131.17,No Sensor,88.23,114.16,122.56,118.5,134.54,126.34,116.89,108.31,113.21,No Sensor,111.94,No Sensor,,20.6,1005.7,35,21.61,
18.10.21 16:37:09,9.08,130.17,112.25,145.38,23.55,112.09,106.59,135.73,108.31,140.35,128,131.51,No Sensor,88.08,113.05,121.91,118.17,134.54,125.68,116.56,108.15,113.84,No Sensor,111.94,No Sensor,,20.6,1005.7,35,21.61,
18.10.21 16:37:24,9.33,130.33,112.09,144.68,23.67,111.62,106.12,135.22,107.68,140.52,126.67,130,No Sensor,87.49,111.94,122.23,118.01,133.7,126.18,116.4,108,113.68,No Sensor,111.78,No Sensor,,20.6,1005.7,35,21.63,
18.10.21 16:37:40,9.6,131.34,112.25,145.55,23.67,111.94,105.81,135.22,108.31,139.83,126.84,130.17,No Sensor,87.05,111.94,121.91,118.5,134.37,126.01,116.89,107.06,114,No Sensor,111.46,No Sensor,,20.6,1005.7,35,21.64,
18.10.21 16:37:55,9.85,131.51,112.41,145.21,23.55,111.14,105.35,135.73,108.15,140.35,125.85,128.33,No Sensor,87.05,111.14,121.26,119.14,133.87,126.51,116.56,106.59,114,No Sensor,110.83,No Sensor,,20.6,1005.7,35,21.64,
18.10.21 16:38:10,10.1,131.17,112.73,145.03,23.91,111.94,105.97,135.22,107.53,140.35,126.18,130.33,No Sensor,86.61,110.04,121.42,118.34,134.37,125.85,116.08,106.9,113.84,No Sensor,110.83,No Sensor,,20.6,1005.7,35,21.64,
18.10.21 16:38:25,10.35,131.17,112.41,144.16,23.91,111.78,105.5,135.73,107.53,140,126.01,129.33,No Sensor,86.17,109.57,121.26,118.82,132.35,126.34,115.92,106.28,114.32,No Sensor,111.14,No Sensor,,20.6,1005.7,35,21.64,
18.10.21 16:38:40,10.6,130.67,112.41,144.86,23.91,111.3,105.5,136.07,105.97,140.18,125.35,129.5,No Sensor,85.73,108.78,121.42,117.53,132.52,126.34,115.76,105.97,113.68,No Sensor,111.46,No Sensor,,20.6,1005.7,35,21.66,
18.10.21 16:38:55,10.85,131,112.41,144.33,23.55,110.99,106.12,135.56,107.37,140.18,125.68,128.67,No Sensor,85,108.31,120.28,117.69,134.03,125.68,116.24,106.12,113.52,No Sensor,111.14,No Sensor,,20.6,1005.7,35,21.66,
18.10.21 16:39:10,11.1,131,112.41,144.51,23.79,111.14,106.43,135.39,106.43,140,125.68,129.17,No Sensor,85.29,107.37,120.28,118.01,133.7,126.01,115.92,106.28,113.68,No Sensor,110.99,No Sensor,,20.6,1005.7,35,21.66,
18.10.21 16:39:25,11.35,130.17,111.94,144.16,23.91,110.99,106.43,135.56,106.12,140.35,125.52,129,No Sensor,84.85,107.22,120.44,117.53,133.7,126.01,115.92,106.43,113.68,No Sensor,111.14,No Sensor,,20.6,1005.7,35,21.66,
18.10.21 16:39:40,11.6,130.84,112.41,145.03,24.15,110.67,105.81,135.22,105.5,138.97,125.35,128.17,No Sensor,84.27,106.28,120.28,117.05,134.2,126.01,114.8,105.5,114.32,No Sensor,110.67,No Sensor,,20.6,1005.7,35,21.66,
18.10.21 16:39:56,11.87,130.33,112.25,144.33,24.15,110.83,105.97,135.22,105.5,139.49,124.69,128.33,No Sensor,84.85,104.88,119.79,116.4,133.36,125.85,114.96,105.97,114.32,No Sensor,111.14,No Sensor,,20.6,1005.7,35,21.66,
18.10.21 16:40:11,12.12,131.17,112.41,144.86,23.79,110.36,105.81,136.07,105.5,139.32,124.04,128.17,No Sensor,84.7,104.57,118.98,116.56,134.2,125.68,115.28,106.28,114.64,No Sensor,110.36,No Sensor,,20.6,1005.7,35,21.66,
18.10.21 16:40:26,12.37,130.33,112.41,144.68,24.52,110.04,105.97,135.73,104.72,139.15,124.36,127.5,No Sensor,84.41,104.88,118.66,117.21,134.03,125.85,114.8,106.9,114.48,No Sensor,110.36,No Sensor,,20.6,1005.7,35,21.66,
18.10.21 16:40:41,12.62,131,112.25,144.16,23.79,110.2,105.5,135.05,104.1,138.63,124.2,128.17,No Sensor,84.41,103.64,117.37,116.72,133.53,125.35,115.12,106.59,114.8,No Sensor,110.51,No Sensor,,20.6,1005.7,35,21.68,
18.10.21 16:40:56,12.87,131,112.41,144.86,24.27,110.04,105.81,135.56,104.26,139.49,124.53,127.34,No Sensor,84.7,103.79,116.56,116.24,133.7,125.52,114.16,106.75,114.48,No Sensor,110.67,No Sensor,,20.6,1005.7,35,21.68,
18.10.21 16:41:11,13.12,131.17,112.25,144.86,24.15,109.57,105.81,135.39,104.41,138.63,123.87,127.67,No Sensor,85.14,103.49,116.4,115.92,133.7,125.19,114,107.06,114.96,No Sensor,110.51,No Sensor,,20.6,1005.7,35,21.68,
18.10.21 16:41:26,13.37,130.67,111.78,143.98,24.15,109.73,105.97,135.73,104.26,138.12,123.87,125.68,No Sensor,85.29,103.02,116.08,115.6,134.54,124.53,114.16,107.84,113.84,No Sensor,110.2,No Sensor,,20.6,1005.7,35,21.7,
18.10.21 16:41:41,13.62,130.5,112.09,144.16,24.15,108.94,106.43,134.88,103.95,138.97,123.87,125.19,No Sensor,85.87,103.33,115.76,115.92,133.87,124.2,113.68,107.53,115.12,No Sensor,109.88,No Sensor,,20.6,1005.7,35,21.68,
18.10.21 16:41:56,13.87,130.84,111.94,144.68,23.91,108.94,105.97,134.71,103.64,138.8,123.05,126.18,No Sensor,85.43,103.18,115.6,114.96,133.02,125.19,113.84,107.53,115.12,No Sensor,110.2,No Sensor,,20.6,1005.7,35,21.68,
18.10.21 16:42:12,14.13,130.84,111.94,143.81,24.03,109.41,105.81,135.39,104.26,138.29,122.89,125.85,No Sensor,84.85,102.87,115.28,115.28,133.7,124.2,113.05,107.84,115.12,No Sensor,110.2,No Sensor,,20.6,1005.7,35,21.7,
18.10.21 16:42:27,14.38,130.5,111.78,144.33,24.03,108.15,105.81,134.54,103.95,138.46,122.4,126.18,No Sensor,85,102.56,114.96,114.64,133.87,123.71,113.37,107.84,115.12,No Sensor,109.73,No Sensor,,20.6,1005.7,35,21.7,
18.10.21 16:42:42,14.63,130.67,111.78,144.51,24.27,109.25,105.97,135.05,104.26,138.46,121.91,125.68,No Sensor,85,103.33,114.8,114.32,132.85,123.87,113.21,108.15,114.96,No Sensor,110.04,No Sensor,,20.6,1005.7,35,21.7,
18.10.21 16:42:57,14.88,131,112.25,144.51,24.03,108.47,105.97,135.22,103.95,137.95,122.07,125.85,No Sensor,85.43,103.18,114.16,114.8,133.02,123.87,113.68,108.94,114.64,No Sensor,109.57,No Sensor,,20.6,1005.7,35,21.7,
18.10.21 16:43:12,15.13,130.67,111.78,144.16,24.15,108.94,106.12,134.88,103.64,137.95,121.42,126.01,No Sensor,85,103.33,114.48,114.8,133.02,123.71,112.73,108.15,114.16,No Sensor,109.88,No Sensor,,20.6,1005.7,35,21.7,
18.10.21 16:43:27,15.38,131,112.25,144.86,24.15,108.78,105.5,135.56,103.49,136.92,120.28,124.86,No Sensor,85.87,103.49,114.32,114.32,133.19,123.38,113.21,108.47,115.6,No Sensor,109.88,No Sensor,,20.6,1005.7,35,21.71,
18.10.21 16:43:42,15.63,130.33,112.09,143.98,24.64,108.78,105.66,135.39,103.79,138.29,121.26,124.2,No Sensor,85.43,103.64,114.48,114.64,132.68,123.54,113.05,108,114.16,No Sensor,109.73,No Sensor,,20.6,1005.7,35,21.71,
18.10.21 16:43:57,15.88,131,112.25,144.86,24.03,108.62,105.03,135.56,103.95,137.77,120.77,124.2,No Sensor,84.56,103.33,114.16,115.28,133.87,123.38,112.57,108.78,114.96,No Sensor,109.41,No Sensor,,20.6,1005.7,35,21.71,
18.10.21 16:44:13,16.15,130.5,112.09,144.51,24.03,108.47,104.72,134.88,103.49,137.09,120.28,123.05,No Sensor,83.83,103.79,114.48,114.48,133.36,123.54,112.57,107.68,115.12,No Sensor,109.57,No Sensor,,20.6,1005.7,35,21.72,
18.10.21 16:44:28,16.4,130.5,111.62,144.86,24.03,108.94,104.72,134.54,103.49,138.12,120.44,123.87,No Sensor,83.68,103.33,114.16,114.8,133.53,122.72,112.41,109.1,114.32,No Sensor,109.57,No Sensor,,20.6,1005.7,35,21.72,
18.10.21 16:44:43,16.65,131,112.09,144.86,24.39,108.94,105.03,134.54,102.71,137.43,119.79,126.18,No Sensor,84.12,103.33,113.52,114.8,132.85,122.89,111.94,108.94,114.32,No Sensor,109.41,No Sensor,,20.6,1005.7,35,21.72,
18.10.21 16:44:58,16.9,130.17,112.09,144.16,24.27,108.62,104.41,134.54,102.56,137.95,119.79,126.67,No Sensor,83.97,103.33,114.64,113.68,133.87,123.22,112.09,108.62,114.64,No Sensor,109.25,No Sensor,,20.6,1005.7,35,21.72,
18.10.21 16:45:13,17.15,130.17,112.09,144.68,24.39,109.25,104.57,134.54,103.18,136.92,119.79,126.67,No Sensor,83.97,103.64,114.16,113.05,132.85,122.72,111.94,108.47,114.48,No Sensor,109.41,No Sensor,,20.6,1005.7,35,21.72,
18.10.21 16:45:28,17.4,130.17,112.25,144.68,24.15,109.1,104.57,135.05,103.33,136.07,119.31,126.34,No Sensor,83.83,102.71,114.32,112.57,133.7,122.07,112.09,107.84,115.12,No Sensor,109.25,No Sensor,,20.6,1005.7,35,21.72,
18.10.21 16:45:43,17.65,130.33,112.25,144.33,24.03,108.78,104.26,134.88,102.41,136.92,119.79,126.18,No Sensor,83.83,102.41,114.32,112.41,133.02,122.89,111.78,108.31,114.8,No Sensor,108.62,No Sensor,,20.6,1005.7,35,21.72,
18.10.21 16:45:58,17.9,130.84,112.57,144.33,24.15,108.15,103.95,134.88,102.41,136.24,119.63,125.52,No Sensor,83.97,101.48,114.48,112.73,133.19,122.56,112.09,107.68,114.8,No Sensor,108.62,No Sensor,,20.6,1005.7,35,21.72,
18.10.21 16:46:13,18.15,131.51,112.25,143.81,24.15,108.47,104.57,134.88,102.87,136.92,118.98,125.35,No Sensor,84.12,101.94,114.48,113.05,132.68,122.56,111.78,107.37,114.96,No Sensor,109.1,No Sensor,,20.6,1005.7,35,21.73,
18.10.21 16:46:29,18.42,130.67,112.41,144.16,24.52,108.62,103.95,134.54,101.94,136.92,119.14,125.68,No Sensor,82.95,101.18,114.16,113.05,133.02,122.72,111.62,107.68,114.64,No Sensor,109.25,No Sensor,,20.6,1005.7,35,21.72,
18.10.21 16:46:44,18.67,130.5,112.25,144.16,24.52,109.1,103.95,134.88,102.71,137.6,120.12,125.52,No Sensor,82.95,101.33,114.96,112.89,133.36,122.72,111.3,107.22,114.96,No Sensor,108.94,No Sensor,,20.6,1005.7,35,21.73,
18.10.21 16:46:59,18.92,130.84,112.57,144.33,24.15,108.78,104.26,135.39,102.25,136.75,120.12,125.35,No Sensor,83.25,100.56,114.8,112.57,133.02,122.89,110.99,106.43,114.96,No Sensor,108.62,No Sensor,,20.6,1005.7,35,21.72,
18.10.21 16:47:14,19.17,131,112.73,144.33,24.27,108.94,104.1,135.05,102.1,136.24,120.6,125.52,No Sensor,83.54,100.41,114.8,112.41,133.36,122.4,110.99,107.06,114.16,No Sensor,108.94,No Sensor,,20.6,1005.7,35,21.72,
18.10.21 16:47:29,19.42,131.51,112.41,144.68,23.79,108.15,103.79,135.05,101.18,135.9,120.12,126.18,No Sensor,83.68,99.95,114.64,112.57,133.53,122.72,111.3,107.37,115.28,No Sensor,109.25,No Sensor,,20.6,1005.7,35,21.73,
18.10.21 16:47:44,19.67,131.17,112.57,144.16,23.79,108.31,104.41,134.54,101.48,135.73,120.6,125.68,No Sensor,83.39,99.8,114.8,112.73,132.68,122.56,110.36,106.9,114.64,No Sensor,108.94,No Sensor,,20.6,1005.7,35,21.73,
18.10.21 16:47:59,19.92,131,112.57,144.68,24.15,108.78,104.57,134.54,102.1,135.9,120.6,125.85,No Sensor,83.68,99.34,114.96,112.09,132.68,122.56,111.14,106.43,114.48,No Sensor,109.1,No Sensor,,20.6,1005.7,35,21.73,
18.10.21 16:48:15,20.18,130.84,112.41,144.51,24.03,108.94,104.1,134.71,101.18,135.56,120.77,125.85,No Sensor,83.83,99.19,115.12,111.46,133.36,122.07,110.36,106.43,115.6,No Sensor,108.94,No Sensor,,20.6,1005.7,35,21.73,
18.10.21 16:48:30,20.43,131.17,113.05,143.64,24.15,108.31,104.41,134.37,101.02,135.05,120.77,124.86,No Sensor,84.56,98.42,114.96,111.14,133.02,122.89,110.36,105.66,115.12,No Sensor,108.94,No Sensor,,20.6,1005.7,35,21.73,
18.10.21 16:48:45,20.68,131,112.73,144.51,24.27,108,104.41,134.03,101.18,135.39,121.58,125.19,No Sensor,84.12,98.12,115.28,111.78,132.52,122.72,110.67,106.9,115.12,No Sensor,108.94,No Sensor,,20.6,1005.7,35,21.72,
18.10.21 16:49:00,20.93,131,112.73,144.33,24.27,108.78,104.72,135.05,100.87,135.39,120.28,126.18,No Sensor,83.97,98.12,115.92,111.46,133.02,122.89,110.83,106.12,115.12,No Sensor,109.41,No Sensor,,20.6,1005.7,35,21.73,
18.10.21 16:49:15,21.18,131.17,112.73,144.16,24.39,108.78,104.72,134.2,100.71,135.39,121.42,126.18,No Sensor,83.97,97.66,115.92,111.62,133.19,122.56,110.36,105.81,115.12,No Sensor,109.41,No Sensor,,20.6,1005.7,35,21.73,
18.10.21 16:49:30,21.43,131,112.89,144.16,24.03,108.31,104.88,134.71,100.1,134.2,120.93,125.68,No Sensor,83.83,97.51,115.28,112.41,132.85,122.23,109.57,106.9,115.76,No Sensor,109.57,No Sensor,,20.6,1005.7,35,21.73,
18.10.21 16:49:45,21.68,131,112.41,144.33,24.39,107.68,104.26,134.03,100.26,135.22,120.6,126.01,No Sensor,83.39,97.82,115.92,112.57,132.85,122.07,109.88,106.28,115.28,No Sensor,109.57,No Sensor,,20.6,1005.7,35,21.72,
18.10.21 16:50:01,21.95,130.5,112.41,143.98,24.15,108.15,104.41,133.7,100.41,135.56,120.44,126.84,No Sensor,82.81,97.97,115.76,112.89,133.02,122.4,109.88,106.12,115.28,No Sensor,109.41,No Sensor,,20.6,1005.7,35,21.72,
18.10.21 16:50:16,22.2,130.84,112.57,144.33,24.39,108.15,104.57,134.54,100.26,135.05,121.09,126.67,No Sensor,83.39,98.42,116.24,113.68,133.02,122.56,109.41,105.97,115.6,No Sensor,109.73,No Sensor,,20.6,1005.7,35,21.72,
18.10.21 16:50:31,22.45,130.84,112.57,144.16,24.52,107.68,104.88,134.03,101.18,136.07,121.26,127,No Sensor,82.81,98.27,116.24,113.52,132.18,122.89,109.57,106.28,114.8,No Sensor,109.41,No Sensor,,20.6,1005.7,35,21.73,
18.10.21 16:50:46,22.7,131.34,112.25,143.98,24.27,108.15,104.1,134.37,100.87,134.88,121.42,126.18,No Sensor,83.1,98.27,115.44,114,133.19,121.74,108.78,106.12,115.44,No Sensor,109.73,No Sensor,,20.6,1005.7,35,21.73,
18.10.21 16:51:01,22.95,130.84,112.73,144.33,24.15,107.37,104.41,133.87,99.95,135.56,121.26,127.5,No Sensor,82.52,98.27,115.44,114.16,132.52,121.26,109.1,105.81,115.6,No Sensor,109.25,No Sensor,,20.6,1005.7,35,21.73,
18.10.21 16:51:16,23.2,131,112.89,144.16,24.27,108,104.41,133.19,101.18,135.05,121.42,127,No Sensor,81.94,98.58,115.76,114.48,133.7,121.91,109.1,105.97,115.76,No Sensor,108.94,No Sensor,,20.6,1005.7,35,21.72,
18.10.21 16:51:31,23.45,130.5,112.89,144.51,24.03,107.37,104.57,133.53,100.87,135.39,121.58,127.67,No Sensor,82.37,97.97,115.12,113.84,132.68,122.4,109.41,105.35,115.76,No Sensor,108.94,No Sensor,,20.6,1005.7,35,21.73,
18.10.21 16:51:46,23.7,131,112.41,144.68,24.27,107.84,104.1,133.87,101.48,135.56,121.26,127.17,No Sensor,82.23,98.42,115.6,114.8,132.85,121.91,108.78,105.81,116.08,No Sensor,109.1,No Sensor,,20.6,1005.7,35,21.73,
18.10.21 16:52:02,23.97,130.84,112.41,144.68,24.15,107.68,104.1,133.87,101.48,134.37,121.09,126.51,No Sensor,82.66,97.82,115.76,114.32,132.85,121.74,108,105.5,115.28,No Sensor,108.78,No Sensor,,20.6,1005.7,35,21.72,
18.10.21 16:52:17,24.22,131,112.41,144.51,24.03,108.15,103.95,133.36,101.79,135.9,121.74,126.67,No Sensor,83.68,97.66,115.6,114.64,133.02,121.58,109.1,105.97,115.28,No Sensor,108.62,No Sensor,,20.6,1005.7,35,21.72,
18.10.21 16:52:32,24.47,131.17,112.41,144.51,24.27,108,104.1,133.7,102.25,135.9,121.09,127.5,No Sensor,82.66,97.82,115.44,114.64,132.68,121.58,108.62,105.35,114.48,No Sensor,109.1,No Sensor,,20.6,1005.7,35,21.72,
18.10.21 16:52:47,24.72,130.5,112.25,144.33,24.03,107.68,102.87,133.19,101.02,134.71,120.93,127.34,No Sensor,81.79,97.21,115.76,115.28,132.85,121.91,108.94,105.5,115.12,No Sensor,108.47,No Sensor,,20.6,1005.7,35,21.72,
