Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
10.10.21 11:06:00,0.03,92.03,90.18,103.01,6.9,141.53,89.88,No Sensor,90.34,77.67,98.26,103.01,93.89,100.94,96.54,91.72,No Sensor,103.01,96.54,85.91,No Sensor,95.91,93.73,86.36,No Sensor,,21.5,1026.3,35,20.9,
10.10.21 11:06:15,0.28,91.41,90.34,102.21,7.02,154,89.26,No Sensor,89.72,78.26,99.52,102.53,92.18,100.78,96.54,92.18,No Sensor,102.69,95.91,85.76,No Sensor,95.75,93.89,86.97,No Sensor,,21.5,1026.3,35,20.92,
10.10.21 11:06:30,0.53,91.1,89.57,102.37,7.26,158.81,89.26,No Sensor,88.96,78.26,99.05,102.05,92.8,99.68,96.69,92.03,No Sensor,102.53,95.75,86.21,No Sensor,95.44,93.27,85.61,No Sensor,,21.5,1026.3,35,20.93,
10.10.21 11:06:45,0.78,91.72,89.42,103.01,6.9,158.81,89.72,No Sensor,87.89,79,99.52,100.31,91.1,99.21,96.69,92.03,No Sensor,101.58,95.13,86.67,No Sensor,95.44,93.11,85,No Sensor,,21.5,1026.3,35,20.95,
10.10.21 11:07:00,1.03,91.1,89.26,102.37,7.14,158.44,89.42,No Sensor,87.43,78.7,99.05,99.36,90.03,99.36,96.85,91.72,No Sensor,100.47,95.13,86.82,No Sensor,95.75,92.96,84.4,No Sensor,,21.5,1026.3,35,20.97,
10.10.21 11:07:15,1.28,90.8,89.57,103.01,7.38,158.63,89.26,No Sensor,86.06,80.04,98.26,98.42,89.72,98.58,96.38,91.26,No Sensor,100.15,92.8,86.36,No Sensor,96.22,92.96,82.89,No Sensor,,21.5,1026.3,35,20.98,
10.10.21 11:07:30,1.53,90.64,89.57,102.05,7.26,159.75,88.96,No Sensor,85.15,80.19,97.32,97.95,89.72,98.26,96.54,91.57,No Sensor,98.58,91.41,85.61,No Sensor,96.54,93.42,81.69,No Sensor,,21.5,1026.3,35,20.98,
10.10.21 11:07:45,1.78,90.49,89.26,102.21,7.14,161.43,89.11,No Sensor,84.09,80.19,96.22,96.85,87.43,97.95,96.38,91.26,No Sensor,97.48,90.34,85.76,No Sensor,95.91,93.27,80.79,No Sensor,,21.5,1026.3,35,20.99,
10.10.21 11:08:00,2.03,90.03,89.26,102.69,7.14,163.13,88.34,No Sensor,83.49,80.19,95.75,96.54,87.12,97.63,96.38,91.57,No Sensor,97.16,88.65,84.85,No Sensor,95.44,92.8,79.89,No Sensor,,21.5,1026.3,35,21.02,
10.10.21 11:08:15,2.28,89.57,89.11,102.69,6.78,162.75,88.8,No Sensor,81.54,79.6,94.82,95.6,86.06,97.48,96.69,91.41,No Sensor,95.44,87.58,84.7,No Sensor,95.44,92.65,79.3,No Sensor,,21.5,1026.3,35,21.02,
10.10.21 11:08:30,2.53,90.03,88.96,102.69,6.9,162.94,88.19,No Sensor,81.24,79.6,93.89,94.82,85.15,97.63,96.07,91.1,No Sensor,96.38,85.91,84.55,No Sensor,95.75,92.65,78.56,No Sensor,,21.5,1026.3,35,21.04,
10.10.21 11:08:45,2.78,89.42,88.96,102.69,6.65,161.43,88.34,No Sensor,80.04,79.45,92.96,93.89,84.24,96.54,96.22,91.26,No Sensor,95.44,84.55,84.4,No Sensor,95.6,92.34,77.37,No Sensor,,21.5,1026.3,35,21.02,
10.10.21 11:09:00,3.03,88.96,89.11,102.53,7.02,159.93,88.04,No Sensor,79.74,79.45,92.34,93.58,82.74,96.07,95.91,90.18,No Sensor,93.89,83.64,83.49,No Sensor,95.91,92.18,76.63,No Sensor,,21.5,1026.3,35,21.04,
10.10.21 11:09:15,3.28,89.11,89.11,102.53,6.78,158.07,88.04,No Sensor,79.15,78.41,91.57,92.34,81.84,96.07,95.75,90.18,No Sensor,93.73,83.19,83.64,No Sensor,95.6,92.03,75.6,No Sensor,,21.5,1026.3,35,21.08,
10.10.21 11:09:30,3.53,88.8,89.26,102.85,7.26,155.47,87.58,No Sensor,78.11,78.7,91.72,92.34,80.79,96.69,96.07,90.49,No Sensor,92.49,81.24,83.34,No Sensor,95.44,91.57,75.01,No Sensor,,21.5,1026.3,35,21.08,
