Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
17.10.21 10:39:04,0.03,130.25,123.59,114.64,15.82,110.96,104.66,141.01,103.57,133.12,118.03,101.25,109.54,127.91,146.43,107.96,No Sensor,111.92,112.88,114.16,No Sensor,123.26,No Sensor,127.07,No Sensor,,19.7,1005.3,35,19.5,
17.10.21 10:39:19,0.28,130.09,123.43,114.64,15.58,110.01,104.66,141.19,105.13,133.97,118.84,100.32,107.33,127.74,143.27,108.43,No Sensor,111.76,111.92,113.2,No Sensor,122.77,No Sensor,126.91,No Sensor,,19.7,1005.3,35,19.54,
17.10.21 10:39:34,0.53,129.75,122.77,114.64,15.11,106.7,104.82,139.8,105.6,134.14,118.03,100.78,104.04,126.08,139.63,108.27,No Sensor,111.92,109.69,113.84,No Sensor,123.43,No Sensor,126.08,No Sensor,,19.7,1005.3,35,19.54,
17.10.21 10:39:49,0.78,130.25,123.76,114.32,15.7,106.38,104.98,138.42,106.85,135.68,118.52,100.32,102.02,125.25,136.19,108.74,No Sensor,111.6,108.43,113.36,No Sensor,122.77,No Sensor,125.58,No Sensor,,19.7,1005.3,35,19.55,
17.10.21 10:40:04,1.03,130.25,123.1,114.48,15.46,105.29,104.04,137.73,107.33,136.19,118.84,100.01,99.09,123.76,133.8,109.38,No Sensor,112.24,106.23,112.56,No Sensor,122.6,No Sensor,124.58,No Sensor,,19.7,1005.3,35,19.57,
17.10.21 10:40:19,1.28,130.59,123.59,114.48,15.82,105.76,103.88,137.05,107.33,135.33,119,99.24,95.43,122.77,130.59,109.54,No Sensor,111.44,105.29,112.08,No Sensor,121.45,No Sensor,123.26,No Sensor,,19.7,1005.3,35,19.59,
17.10.21 10:40:34,1.53,130.42,123.26,113.84,15.7,104.51,103.88,135.16,106.85,134.99,118.35,99.55,92.25,121.62,127.57,110.01,No Sensor,111.6,103.11,111.6,No Sensor,123.43,No Sensor,122.93,No Sensor,,19.7,1005.3,35,19.61,
17.10.21 10:40:49,1.78,130.09,122.93,114.32,15.7,104.66,103.11,134.14,107.96,135.51,117.87,100.01,88.81,120.64,125.58,110.33,No Sensor,112.24,102.18,111.76,No Sensor,122.77,No Sensor,122.77,No Sensor,,19.7,1005.3,35,19.61,
17.10.21 10:41:04,2.03,130.42,123.26,114.32,15.82,103.73,102.64,133.12,107.96,135.33,117.06,100.17,85.84,120.15,122.11,110.96,No Sensor,111.6,100.63,111.12,No Sensor,121.95,No Sensor,121.62,No Sensor,,19.7,1005.3,35,19.64,
17.10.21 10:41:19,2.28,130.25,123.59,114.16,15.58,101.87,102.64,131.94,107.33,135.51,117.54,99.24,83.49,118.68,121.45,111.6,No Sensor,111.92,99.86,110.8,No Sensor,123.1,No Sensor,121.29,No Sensor,,19.7,1005.3,35,19.64,
17.10.21 10:41:34,2.53,129.25,123.43,114.48,15.7,100.78,102.49,131.77,108.27,135.33,117.22,99.09,80.14,118.19,118.35,110.96,No Sensor,111.44,98.78,110.8,No Sensor,123.26,No Sensor,120.31,No Sensor,,19.7,1005.3,35,19.66,
17.10.21 10:41:50,2.8,130.42,123.43,114.16,15.82,100.01,102.49,130.42,108.27,135.68,117.06,99.4,77.97,117.22,117.22,111.76,No Sensor,110.49,98.02,110.17,No Sensor,122.77,No Sensor,119.82,No Sensor,,19.7,1005.3,35,19.68,
17.10.21 10:42:05,3.05,130.93,123.43,113.84,16.06,99.24,101.71,129.92,108.27,134.48,116.57,99.09,75.24,116.25,115.12,111.6,No Sensor,111.76,96.95,109.06,No Sensor,122.77,No Sensor,119,No Sensor,,19.7,1005.3,35,19.68,
17.10.21 10:42:20,3.3,130.93,123.43,114.16,15.7,98.48,102.33,129.25,108.9,133.97,116.41,99.24,72.82,114.96,112.88,112.08,No Sensor,110.96,95.73,109.69,No Sensor,122.11,No Sensor,118.19,No Sensor,,19.7,1005.3,35,19.7,
