Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
19.10.21 15:58:25,0.05,104.04,103.23,102.74,13.46,103.39,91.37,97.89,108.15,94.22,99.02,126.43,98.21,111.46,116.84,101.12,No Sensor,89.96,No Sensor,99.34,No Sensor,97.09,No Sensor,101.28,No Sensor,,20.3,1007.8,35,21.48,
19.10.21 15:58:40,0.3,104.37,102.9,103.06,13.33,103.88,91.84,98.7,107.98,94.22,99.02,126.78,97.89,112.13,117.85,100.31,No Sensor,90.74,No Sensor,100.47,No Sensor,97.41,No Sensor,102.09,No Sensor,,20.3,1007.8,35,21.48,
19.10.21 15:58:55,0.55,104.86,103.06,103.72,13.46,103.55,91.21,98.37,107.82,94.06,100.47,126.6,98.37,112.3,117.85,100.15,No Sensor,90.11,No Sensor,100.15,No Sensor,98.05,No Sensor,101.12,No Sensor,,20.3,1007.8,35,21.49,
19.10.21 15:59:10,0.8,104.86,102.9,103.88,13.46,104.04,90.9,98.53,107.49,93.43,99.5,127.3,98.53,110.8,117.51,100.63,No Sensor,89.96,No Sensor,99.18,No Sensor,98.21,No Sensor,100.95,No Sensor,,20.3,1007.8,35,21.49,
19.10.21 15:59:25,1.05,104.86,103.23,103.88,13.71,103.72,88.86,99.02,107.32,93.43,99.5,126.78,98.53,110.8,117.68,99.5,No Sensor,90.43,No Sensor,97.73,No Sensor,97.89,No Sensor,99.82,No Sensor,,20.3,1007.8,35,21.49,
19.10.21 15:59:40,1.3,104.37,103.39,104.04,13.46,102.9,87.92,99.5,106.66,93.11,99.34,126.43,98.86,110.8,117.51,99.66,No Sensor,90.43,No Sensor,97.41,No Sensor,98.53,No Sensor,99.66,No Sensor,,20.3,1007.8,35,21.5,
19.10.21 15:59:55,1.55,104.53,103.55,104.04,13.58,103.06,87.14,98.86,106.99,92.48,98.86,126.08,99.18,109.8,116.5,98.53,No Sensor,89.33,No Sensor,96.61,No Sensor,97.73,No Sensor,99.5,No Sensor,,20.3,1007.8,35,21.49,
19.10.21 16:00:10,1.8,104.7,104.04,104.04,13.2,101.93,86.05,99.5,105.68,91.21,98.37,125.04,98.86,109.14,116.33,97.57,No Sensor,89.49,No Sensor,95.33,No Sensor,97.73,No Sensor,97.89,No Sensor,,20.3,1007.8,35,21.52,
19.10.21 16:00:25,2.05,105.35,103.55,104.21,13.58,101.93,84.5,97.73,105.51,90.9,96.61,125.39,98.37,108.48,116.5,96.61,No Sensor,88.86,No Sensor,95.01,No Sensor,97.41,No Sensor,98.05,No Sensor,,20.3,1007.8,35,21.52,
19.10.21 16:00:40,2.3,105.35,103.72,103.39,13.46,101.76,83.89,97.57,104.7,90.11,96.45,125.39,97.73,108.15,115.99,95.81,No Sensor,88.55,No Sensor,93.43,No Sensor,97.73,No Sensor,97.57,No Sensor,,20.3,1007.8,35,21.52,
